window,trades,win_rate,mean_R,median_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak
1,418,0.4784688995215311,0.1007177033492823,-1.0,42.1,1.1972474377745244,-12.1125,9
2,182,0.4725274725274725,0.08791208791208792,-0.33125000000000004,16.0,1.180028129395218,-9.5875,7
3,154,0.44155844155844154,-0.016639610389610388,-0.4375,-2.5625,0.9671737389911927,-12.600000000000001,13
4,217,0.4930875576036866,0.1318548387096774,-0.025,28.612499999999997,1.302218114602588,-9.699999999999996,6
