window,quality_threshold,rr,trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak
2,0.75,1.2,120,0.55,0.21729166666666666,26.075,1.5090287945339194,-6.024999999999999,5
2,0.75,1.25,120,0.5416666666666666,0.22354166666666667,26.825,1.5136428913355677,-5.4624999999999995,5
2,0.75,1.3,119,0.5294117647058824,0.2294117647058824,27.300000000000004,1.5224880382775114,-5.875,5
2,0.75,1.35,118,0.5169491525423728,0.22150423728813562,26.137500000000003,1.486618571096113,-4.6,5
2,0.75,1.4,117,0.5042735042735043,0.2157051282051282,25.237499999999997,1.4612748457847844,-4.2125,5
2,0.8,1.15,116,0.5517241379310345,0.19148706896551723,22.2125,1.4470440251572327,-5.812499999999998,5
2,0.8,1.2,115,0.5391304347826087,0.1945652173913043,22.374999999999996,1.445495271279244,-7.324999999999999,5
2,0.8,1.25,115,0.5304347826086957,0.20108695652173914,23.125,1.4514397266959493,-6.324999999999999,5
2,0.8,1.3,114,0.5175438596491229,0.2057017543859649,23.45,1.4575609756097558,-6.625000000000001,5
2,0.8,1.35,113,0.5132743362831859,0.21670353982300888,24.487500000000004,1.4735315445975345,-5.1374999999999975,5
2,0.8,1.4,112,0.5089285714285714,0.23113839285714288,25.887500000000003,1.50060430263476,-4.2125,5
2,0.85,1.15,99,0.5454545454545454,0.19255050505050497,19.062499999999993,1.4542746499851058,-5.925,5
2,0.85,1.2,98,0.5408163265306123,0.21403061224489794,20.974999999999998,1.5054216867469885,-6.724999999999999,5
2,0.85,1.25,98,0.5204081632653061,0.19464285714285717,19.075000000000003,1.438505747126437,-8.375,6
2,0.85,1.3,97,0.5051546391752577,0.19536082474226799,18.949999999999996,1.4353819643882826,-9.125,6
2,0.85,1.35,96,0.5104166666666666,0.22799479166666667,21.8875,1.509159639430067,-8.087499999999999,6
2,0.85,1.4,96,0.5,0.22799479166666667,21.8875,1.497584541062802,-7.5875,6
2,0.9,1.15,91,0.5494505494505495,0.19519230769230764,17.762499999999996,1.45942450695118,-5.050000000000001,4
2,0.9,1.2,91,0.5494505494505495,0.2221153846153846,20.2125,1.5227934044616878,-4.449999999999999,4
2,0.9,1.25,91,0.5274725274725275,0.1995879120879121,18.1625,1.4466646172763606,-6.1,5
2,0.9,1.3,90,0.5222222222222223,0.21347222222222226,19.212500000000002,1.4724869351367964,-6.8500000000000005,5
2,0.9,1.35,88,0.5340909090909091,0.2569602272727273,22.612500000000004,1.5805519897304237,-5.8625,5
2,0.9,1.4,88,0.5340909090909091,0.28252840909090904,24.862499999999997,1.6383183568677788,-5.8125,5
3,0.5,1.15,135,0.4888888888888889,0.050370370370370336,6.799999999999995,1.107446178155244,-9.475,10
3,0.5,1.2,135,0.4888888888888889,0.059074074074074064,7.974999999999999,1.1260122457041284,-9.475,10
3,0.5,1.25,134,0.4701492537313433,0.0474813432835821,6.362500000000001,1.098815763929334,-9.475,10
3,0.5,1.3,130,0.46153846153846156,0.03490384615384617,4.537500000000001,1.0715835140997827,-9.475,10
3,0.5,1.35,129,0.4496124031007752,0.02470930232558142,3.187500000000003,1.0495049504950493,-11.075,10
3,0.5,1.4,128,0.4453125,0.026855468749999965,3.4374999999999956,1.0533876917103475,-10.775,10
3,0.55,1.15,129,0.4806201550387597,0.040019379844961206,5.162499999999995,1.0843545751633987,-12.149999999999999,9
3,0.55,1.2,129,0.4806201550387597,0.047965116279069776,6.187500000000001,1.1011029411764708,-11.549999999999997,9
3,0.55,1.25,128,0.4609375,0.03457031249999999,4.424999999999999,1.0710272873194222,-10.95,9
3,0.55,1.3,125,0.448,0.02039999999999999,2.549999999999999,1.0409309791332264,-11.8875,9
3,0.55,1.35,124,0.43548387096774194,0.008870967741935496,1.1000000000000014,1.0173775671406005,-13.9875,9
3,0.55,1.4,123,0.43089430894308944,0.01016260162601626,1.25,1.0197472353870458,-13.7875,9
3,0.6,1.15,123,0.4878048780487805,0.053760162601626006,6.612499999999999,1.1155778894472361,-10.825,8
3,0.6,1.2,123,0.4878048780487805,0.06128048780487806,7.537500000000001,1.1317456849464718,-10.224999999999998,8
3,0.6,1.25,122,0.4672131147540984,0.05000000000000001,6.100000000000001,1.1046087888531617,-9.625,8
3,0.6,1.3,119,0.453781512605042,0.035084033613445365,4.174999999999998,1.0715969989281884,-10.325,8
3,0.6,1.35,119,0.44537815126050423,0.03382352941176471,4.025,1.0678609062170707,-12.124999999999998,8
3,0.6,1.4,118,0.4406779661016949,0.035381355932203366,4.174999999999997,1.070389884088514,-11.8375,8
3,0.65,1.15,106,0.5471698113207547,0.16733490566037734,17.737499999999997,1.403239556692242,-7.325000000000001,6
3,0.65,1.2,105,0.5428571428571428,0.16535714285714287,17.3625,1.3947144075021314,-7.2375,6
3,0.65,1.25,105,0.5238095238095238,0.16214285714285712,17.025,1.377599112836152,-7.1875,6
3,0.65,1.3,102,0.5098039215686274,0.1470588235294118,15.000000000000004,1.3326864430274465,-7.1625,6
3,0.65,1.35,102,0.5,0.14460784313725494,14.750000000000004,1.320043395714673,-9.3125,6
3,0.65,1.4,101,0.49504950495049505,0.1465346534653465,14.799999999999997,1.3211282885815028,-9.225,6
3,0.7,1.15,96,0.53125,0.11848958333333336,11.375000000000002,1.2663934426229506,-7.887499999999999,6
3,0.7,1.2,95,0.5263157894736842,0.11210526315789471,10.649999999999997,1.2494145199063234,-7.587499999999999,6
3,0.7,1.25,95,0.5157894736842106,0.11000000000000003,10.450000000000003,1.2391304347826086,-7.2875,6
3,0.7,1.3,93,0.5053763440860215,0.10134408602150538,9.425,1.2156750572082373,-6.9875,6
3,0.7,1.35,93,0.4946236559139785,0.09596774193548387,8.924999999999999,1.1996644295302017,-9.0375,6
3,0.7,1.4,92,0.4891304347826087,0.09483695652173915,8.725000000000001,1.1951901565995524,-8.7875,6
3,0.75,1.15,84,0.5714285714285714,0.19196428571428567,16.124999999999996,1.4580965909090906,-3.8499999999999996,3
3,0.75,1.2,83,0.5662650602409639,0.18433734939759036,15.3,1.4346590909090915,-3.8000000000000007,3
3,0.75,1.25,83,0.5542168674698795,0.18072289156626506,15.0,1.4143646408839778,-3.75,3
3,0.75,1.3,81,0.5432098765432098,0.1712962962962963,13.875000000000002,1.3832872928176791,-3.6999999999999993,3
3,0.75,1.35,81,0.5308641975308642,0.16388888888888892,13.275000000000002,1.3568548387096775,-4.375000000000001,3
3,0.75,1.4,80,0.525,0.16218749999999996,12.974999999999996,1.348790322580645,-4.325,3
3,0.8,1.15,71,0.5211267605633803,0.0823943661971831,5.85,1.17320503330866,-4.825000000000001,3
3,0.8,1.2,71,0.5211267605633803,0.10492957746478872,7.449999999999999,1.2205773501110293,-4.7250000000000005,3
3,0.8,1.25,71,0.5070422535211268,0.09577464788732394,6.8,1.1955427749820275,-4.675,3
3,0.8,1.3,69,0.5072463768115942,0.1105072463768116,7.625,1.2257586972612877,-4.675,3
3,0.8,1.35,69,0.5072463768115942,0.1315217391304348,9.075000000000001,1.2686898593634348,-4.675,3
3,0.8,1.4,68,0.5,0.1253676470588235,8.524999999999999,1.2524056254626201,-4.675,3
3,0.85,1.15,60,0.5166666666666667,0.08895833333333333,5.3375,1.1889380530973448,-10.0625,4
3,0.85,1.2,60,0.5,0.076875,4.6125,1.1583690987124462,-9.962499999999999,4
3,0.85,1.25,60,0.48333333333333334,0.06104166666666669,3.6625000000000014,1.1215767634854772,-9.8625,4
3,0.85,1.3,57,0.47368421052631576,0.05065789473684214,2.887500000000002,1.0991416309012876,-9.7625,4
3,0.85,1.35,56,0.4642857142857143,0.04709821428571432,2.637500000000002,1.0905579399141632,-9.6625,4
3,0.85,1.4,55,0.45454545454545453,0.04159090909090905,2.287499999999998,1.0785407725321887,-9.5625,4
3,0.9,1.15,52,0.5,0.042548076923076876,2.2124999999999977,1.0850961538461537,-9.8375,6
3,0.9,1.2,51,0.47058823529411764,0.0017156862745097935,0.08749999999999947,1.0032558139534884,-9.7375,6
3,0.9,1.25,51,0.45098039215686275,-0.021813725490196074,-1.1124999999999998,0.9600896860986549,-9.6375,6
3,0.9,1.3,49,0.42857142857142855,-0.0693877551020408,-3.3999999999999995,0.8780269058295966,-9.537500000000001,6
3,0.9,1.35,49,0.42857142857142855,-0.053061224489795875,-2.599999999999998,0.9067264573991035,-9.4375,6
3,0.9,1.4,48,0.4375,-0.016666666666666708,-0.800000000000002,0.9702325581395346,-9.3375,6
4,0.5,1.15,188,0.5053191489361702,0.11289893617021274,21.224999999999994,1.264280155642024,-6.125000000000021,5
4,0.5,1.2,187,0.5026737967914439,0.1250668449197861,23.3875,1.290527950310559,-8.45000000000001,5
4,0.5,1.25,185,0.5027027027027027,0.14074324324324325,26.0375,1.3275157232704402,-9.850000000000001,5
4,0.5,1.3,184,0.4945652173913043,0.13396739130434782,24.65,1.3060211049037866,-11.124999999999993,5
4,0.5,1.35,177,0.4915254237288136,0.14661016949152544,25.950000000000003,1.3346228239845257,-9.624999999999986,5
4,0.5,1.4,177,0.480225988700565,0.13926553672316386,24.650000000000002,1.3098680075424265,-9.550000000000004,8
4,0.55,1.15,179,0.5195530726256983,0.12772346368715082,22.862499999999997,1.3021642160911953,-6.250000000000021,5
4,0.55,1.2,178,0.5168539325842697,0.13974719101123595,24.875,1.327949901120633,-8.45000000000001,5
4,0.55,1.25,177,0.5141242937853108,0.14901129943502828,26.375000000000004,1.347725774555043,-9.850000000000001,5
4,0.55,1.3,176,0.5113636363636364,0.15617897727272725,27.487499999999997,1.362392880685564,-11.125000000000007,5
4,0.55,1.35,169,0.5088757396449705,0.16227810650887575,27.425000000000004,1.3764584763212078,-9.624999999999986,5
4,0.55,1.4,169,0.4970414201183432,0.1539940828402367,26.025,1.3476953907815634,-9.575000000000014,8
4,0.6,1.15,176,0.5,0.10411931818181816,18.324999999999996,1.2376398119630412,-8.049999999999999,5
4,0.6,1.2,175,0.49714285714285716,0.12407142857142858,21.712500000000002,1.2837308069258413,-8.112500000000008,5
4,0.6,1.25,172,0.4941860465116279,0.13292151162790697,22.8625,1.3009213557091148,-8.850000000000001,5
4,0.6,1.3,170,0.49411764705882355,0.1463235294117647,24.875,1.3317772590863621,-9.124999999999993,5
4,0.6,1.35,164,0.4878048780487805,0.14458841463414634,23.712500000000002,1.324940047961631,-7.624999999999986,5
4,0.6,1.4,164,0.47560975609756095,0.12766768292682926,20.9375,1.2792597532510839,-10.900000000000004,8
4,0.65,1.15,165,0.5151515151515151,0.13060606060606056,21.549999999999994,1.3059449866903288,-6.375000000000007,5
4,0.65,1.2,164,0.5121951219512195,0.15114329268292678,24.787499999999994,1.3548675733715103,-7.875000000000007,5
4,0.65,1.25,161,0.5093167701863354,0.16017080745341616,25.7875,1.3721139971139973,-8.962500000000002,5
4,0.65,1.3,158,0.5126582278481012,0.18346518987341776,28.987500000000004,1.4307206537890047,-9.312500000000007,5
4,0.65,1.35,153,0.49673202614379086,0.1647058823529412,25.200000000000003,1.3790898834148173,-8.962499999999991,5
4,0.65,1.4,153,0.48366013071895425,0.14558823529411763,22.275,1.3253012048192774,-9.775000000000004,8
4,0.7,1.15,152,0.5197368421052632,0.12796052631578944,19.449999999999996,1.3000385653683002,-6.199999999999999,5
4,0.7,1.2,151,0.5231788079470199,0.15827814569536422,23.9,1.3744614179396788,-6.100000000000001,5
4,0.7,1.25,148,0.5202702702702703,0.16900337837837837,25.0125,1.3952983010667719,-7.325000000000003,5
4,0.7,1.3,145,0.5241379310344828,0.1925,27.9125,1.4555283557731535,-8.224999999999998,5
4,0.7,1.35,140,0.5071428571428571,0.17955357142857145,25.137500000000003,1.4158395368072783,-7.874999999999993,5
4,0.7,1.4,140,0.4928571428571429,0.15687499999999996,21.962499999999995,1.3516813450760614,-8.437500000000004,8
4,0.75,1.15,143,0.5314685314685315,0.1659090909090909,23.724999999999998,1.4101123595505625,-4.324999999999999,4
4,0.75,1.2,140,0.5357142857142857,0.1883035714285714,26.362499999999997,1.4678349600709852,-4.600000000000001,4
4,0.75,1.25,138,0.5289855072463768,0.190036231884058,26.225,1.4617077464788735,-4.5,4
4,0.75,1.3,133,0.5338345864661654,0.21879699248120302,29.1,1.5408921933085498,-5.224999999999998,4
4,0.75,1.35,130,0.5153846153846153,0.2032692307692308,26.425000000000004,1.4895785085687816,-5.275,4
4,0.75,1.4,130,0.5,0.17730769230769228,23.049999999999997,1.4117909781152302,-6.274999999999999,7
4,0.8,1.15,124,0.5403225806451613,0.1881048387096774,23.324999999999996,1.468844221105528,-4.475,4
4,0.8,1.2,121,0.5537190082644629,0.22985537190082644,27.8125,1.5886243386243388,-4.425000000000001,4
4,0.8,1.25,121,0.5454545454545454,0.23522727272727276,28.462500000000002,1.5898963730569946,-4.375,4
4,0.8,1.3,119,0.5462184873949579,0.2557773109243698,30.437500000000007,1.6441798941798942,-4.324999999999999,4
4,0.8,1.35,117,0.5299145299145299,0.24754273504273505,28.962500000000002,1.6107011070110693,-4.275,4
4,0.8,1.4,116,0.5086206896551724,0.20765086206896546,24.087499999999995,1.4873545776428938,-6.850000000000005,6
4,0.85,1.15,111,0.5495495495495496,0.20180180180180177,22.399999999999995,1.4942084942084946,-5.0,5
4,0.85,1.2,107,0.5700934579439252,0.25876168224299056,27.687499999999993,1.6619844590555894,-4.425000000000001,4
4,0.85,1.25,107,0.5607476635514018,0.2629672897196262,28.137500000000003,1.6570344424985408,-4.324999999999999,4
4,0.85,1.3,106,0.5566037735849056,0.27275943396226415,28.9125,1.6751313485113832,-4.237499999999997,4
4,0.85,1.35,105,0.5428571428571428,0.27226190476190476,28.5875,1.6648255813953485,-5.287499999999994,4
4,0.85,1.4,104,0.5288461538461539,0.2450721153846154,25.4875,1.579261363636364,-5.0375000000000085,5
4,0.9,1.15,103,0.5048543689320388,0.120873786407767,12.450000000000001,1.2755949086884337,-5.0,5
4,0.9,1.2,99,0.5151515151515151,0.15618686868686868,15.462499999999999,1.365112160566706,-5.387500000000001,7
4,0.9,1.25,99,0.5050505050505051,0.15505050505050508,15.350000000000001,1.354094579008074,-5.387500000000001,7
4,0.9,1.3,99,0.494949494949495,0.14772727272727273,14.625,1.3297632468996619,-5.724999999999996,7
4,0.9,1.35,98,0.47959183673469385,0.14081632653061224,13.8,1.3099382369455368,-7.374999999999989,7
4,0.9,1.4,97,0.4639175257731959,0.12319587628865977,11.949999999999998,1.2624931356397586,-6.8750000000000036,7
