window,quality_threshold,rr,trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak
1,0.5,1.15,380,0.4842105263157895,0.04365131578947366,16.58749999999999,1.0863538751870894,-18.262500000000056,8
1,0.5,1.2,371,0.49056603773584906,0.08136792452830188,30.1875,1.1630985344769365,-13.912499999999948,8
1,0.5,1.25,365,0.4821917808219178,0.08654109589041098,31.587500000000006,1.1706625244816642,-18.1125,8
1,0.5,1.3,360,0.46944444444444444,0.07746527777777777,27.887499999999996,1.14894185192603,-17.912500000000055,9
1,0.5,1.35,352,0.45738636363636365,0.0728693181818182,25.650000000000006,1.1380330956545135,-16.212499999999952,9
1,0.5,1.4,348,0.4396551724137931,0.054346264367816075,18.912499999999994,1.100006609822196,-17.71250000000003,9
1,0.55,1.15,359,0.48467966573816157,0.044394150417827266,15.93749999999999,1.0879370991102837,-15.262500000000049,7
1,0.55,1.2,353,0.48158640226628896,0.06363314447592068,22.4625,1.1259020528270158,-12.312500000000028,7
1,0.55,1.25,348,0.47701149425287354,0.07690373563218389,26.762499999999996,1.1508490100753894,-13.3625,7
1,0.55,1.3,345,0.463768115942029,0.06670289855072464,23.012500000000003,1.1275549088893508,-14.412499999999987,8
1,0.55,1.35,340,0.45294117647058824,0.06647058823529414,22.60000000000001,1.1252251004294223,-14.812499999999975,8
1,0.55,1.4,336,0.43154761904761907,0.03917410714285713,13.162499999999996,1.0712401055408973,-16.512500000000024,9
1,0.6,1.15,337,0.5074183976261127,0.0949554896142433,31.999999999999993,1.196545105566219,-10.712500000000052,6
1,0.6,1.2,332,0.5060240963855421,0.11935240963855422,39.625,1.2476755996562228,-9.8,6
1,0.6,1.25,329,0.49848024316109424,0.12727963525835867,41.875,1.2601133628387298,-9.5,6
1,0.6,1.3,326,0.48466257668711654,0.11679447852760737,38.075,1.2321823309703483,-11.412500000000055,6
1,0.6,1.35,321,0.46417445482866043,0.0952102803738318,30.562500000000004,1.1829542053277458,-11.812499999999975,6
1,0.6,1.4,317,0.4416403785488959,0.06600946372239748,20.925,1.122127380170716,-14.312500000000032,9
1,0.65,1.15,318,0.5,0.0758647798742138,24.12499999999999,1.1545855026031242,-10.100000000000001,6
1,0.65,1.2,313,0.4984025559105431,0.09952076677316293,31.15,1.2032792234276857,-9.8,6
1,0.65,1.25,309,0.4886731391585761,0.10210355987055016,31.549999999999997,1.2045546640732636,-9.5,6
1,0.65,1.3,307,0.4755700325732899,0.09250814332247556,28.4,1.1806184911360202,-11.89999999999998,8
1,0.65,1.35,301,0.45182724252491696,0.0629152823920266,18.937500000000004,1.1181378665003117,-11.86249999999998,8
1,0.65,1.4,298,0.42953020134228187,0.033724832214765084,10.049999999999995,1.0610617452722717,-13.112500000000002,9
1,0.7,1.15,299,0.4882943143812709,0.053720735785953155,16.062499999999993,1.1070387338608916,-10.637499999999996,6
1,0.7,1.2,294,0.48639455782312924,0.07648809523809522,22.487499999999994,1.1527294337380083,-9.8,6
1,0.7,1.25,291,0.47766323024054985,0.08088487972508591,23.5375,1.158782359389493,-9.5,6
1,0.7,1.3,289,0.46366782006920415,0.06864186851211074,19.837500000000002,1.131167865112819,-11.487499999999983,7
1,0.7,1.35,286,0.44405594405594406,0.045236013986014005,12.937500000000005,1.0833400434817617,-10.937500000000002,7
1,0.7,1.4,283,0.4204946996466431,0.012897526501766754,3.6499999999999915,1.0228804262654758,-11.599999999999982,8
1,0.75,1.15,280,0.475,0.024285714285714258,6.799999999999992,1.047099567099567,-12.549999999999995,7
1,0.75,1.2,274,0.4781021897810219,0.05456204379562045,14.950000000000003,1.106500445235975,-11.000000000000002,7
1,0.75,1.25,271,0.46863468634686345,0.05682656826568266,15.4,1.1089301503094606,-10.75,7
1,0.75,1.3,267,0.4606741573033708,0.05767790262172283,15.399999999999995,1.108930150309461,-11.699999999999985,7
1,0.75,1.35,264,0.4431818181818182,0.03901515151515153,10.300000000000004,1.0713419913419913,-11.300000000000008,7
1,0.75,1.4,261,0.41762452107279696,0.001963601532567037,0.5124999999999966,1.0034474060371645,-13.312499999999991,8
1,0.8,1.15,247,0.4817813765182186,0.03628542510121455,8.962499999999993,1.0710674992566165,-12.600000000000001,6
1,0.8,1.2,242,0.4834710743801653,0.06368801652892561,15.412499999999998,1.125190374657325,-10.799999999999999,6
1,0.8,1.25,241,0.46887966804979253,0.0546161825726141,13.162499999999998,1.1043710972346121,-12.25,6
1,0.8,1.3,237,0.459915611814346,0.05184599156118143,12.287499999999998,1.0974328476558632,-10.725000000000001,6
1,0.8,1.35,233,0.44206008583690987,0.027628755364806905,6.437500000000009,1.0502488047614398,-12.724999999999998,6
1,0.8,1.4,229,0.40611353711790393,-0.03449781659388648,-7.900000000000005,0.9407796101949027,-14.912499999999998,6
1,0.85,1.15,216,0.4675925925925926,0.0071180555555555355,1.5374999999999956,1.0134942402633025,-16.599999999999998,6
1,0.85,1.2,212,0.4716981132075472,0.039327830188679254,8.337500000000002,1.0751549295774645,-14.799999999999999,6
1,0.85,1.25,211,0.4597156398104265,0.03572274881516588,7.5375,1.0667404537908134,-15.25,6
1,0.85,1.3,209,0.45454545454545453,0.046590909090909086,9.737499999999999,1.0862202545655784,-13.500000000000002,6
1,0.85,1.35,205,0.43414634146341463,0.01603658536585367,3.2875000000000023,1.0286025013594342,-15.45,6
1,0.85,1.4,203,0.39408866995073893,-0.05541871921182266,-11.25,0.9071973602804703,-16.487499999999994,7
1,0.9,1.15,165,0.5151515151515151,0.11159090909090907,18.412499999999998,1.2340696011441288,-9.700000000000001,5
1,0.9,1.2,162,0.5123456790123457,0.13094135802469137,21.212500000000002,1.2731369708675357,-9.600000000000009,5
1,0.9,1.25,160,0.48125,0.086328125,13.8125,1.1691412827185061,-13.0,5
1,0.9,1.3,159,0.4779874213836478,0.10259433962264151,16.3125,1.199755089545385,-12.399999999999991,5
1,0.9,1.35,158,0.4620253164556962,0.08204113924050634,12.962500000000002,1.1549379949200655,-11.800000000000004,6
1,0.9,1.4,157,0.4267515923566879,0.019824840764331206,3.1124999999999994,1.0351050331312563,-11.200000000000001,6
2,0.5,1.15,169,0.514792899408284,0.10976331360946744,18.549999999999997,1.2384318766066844,-7.875000000000002,7
2,0.5,1.2,168,0.5059523809523809,0.11763392857142854,19.762499999999996,1.2522738152225945,-8.9375,7
2,0.5,1.25,168,0.5,0.1271577380952381,21.362499999999997,1.2692610682212067,-8.5375,7
2,0.5,1.3,163,0.48466257668711654,0.12062883435582823,19.6625,1.250517598343685,-8.4125,7
2,0.5,1.35,161,0.4782608695652174,0.12546583850931678,20.200000000000003,1.255858138062064,-7.2,7
2,0.5,1.4,159,0.4716981132075472,0.12798742138364777,20.349999999999994,1.2577580747308426,-7.600000000000001,7
2,0.55,1.15,159,0.5283018867924528,0.13427672955974837,21.34999999999999,1.2983927323549969,-7.0,7
2,0.55,1.2,158,0.5189873417721519,0.14185126582278476,22.412499999999994,1.3109068839951448,-8.1375,7
2,0.55,1.25,158,0.5126582278481012,0.15102848101265823,23.8625,1.326492218231572,-7.7875,7
2,0.55,1.3,154,0.5,0.15137987012987014,23.312500000000004,1.3227201938051563,-7.4375,7
2,0.55,1.35,151,0.4966887417218543,0.16390728476821198,24.750000000000007,1.3451882845188279,-7.0,7
2,0.55,1.4,150,0.4866666666666667,0.15866666666666665,23.799999999999997,1.3273727647867952,-7.600000000000001,7
2,0.6,1.15,152,0.5328947368421053,0.14292763157894733,21.724999999999994,1.3207825765965304,-7.350000000000001,7
2,0.6,1.2,151,0.5231788079470199,0.14991721854304632,22.637499999999996,1.3316242446438384,-8.2375,7
2,0.6,1.25,151,0.5165562913907285,0.15852649006622516,23.9375,1.3456054863743006,-7.6375,7
2,0.6,1.3,148,0.5135135135135135,0.17559121621621623,25.9875,1.3806995055850577,-8.1875,7
2,0.6,1.35,145,0.503448275862069,0.17258620689655174,25.025000000000002,1.364132411786104,-7.0,7
2,0.6,1.4,143,0.48951048951048953,0.1578671328671328,22.574999999999992,1.3237719612764438,-7.600000000000001,7
2,0.65,1.15,143,0.5384615384615384,0.15472027972027966,22.12499999999999,1.3527301713830218,-8.650000000000002,7
2,0.65,1.2,142,0.5352112676056338,0.17632042253521124,25.037499999999998,1.4021280867295725,-9.637500000000001,7
2,0.65,1.25,142,0.528169014084507,0.18441901408450703,26.1875,1.4139498122900613,-9.1375,7
2,0.65,1.3,139,0.5251798561151079,0.20206834532374096,28.087499999999995,1.4511142340895404,-9.787500000000001,7
2,0.65,1.35,136,0.5073529411764706,0.18106617647058823,24.625,1.386426049431149,-8.825,7
2,0.65,1.4,134,0.4925373134328358,0.1639925373134328,21.974999999999994,1.3395133256083434,-7.050000000000001,7
2,0.7,1.15,131,0.5419847328244275,0.16354961832061063,21.424999999999994,1.3739908356971426,-8.8,6
2,0.7,1.2,130,0.5384615384615384,0.1852884615384615,24.087499999999995,1.423889133304004,-9.8375,6
2,0.7,1.25,130,0.5307692307692308,0.19221153846153846,24.9875,1.432122784262862,-9.3875,6
2,0.7,1.3,130,0.5230769230769231,0.2070192307692308,26.9125,1.465211754537597,-8.7875,6
2,0.7,1.35,127,0.5039370078740157,0.18307086614173235,23.250000000000007,1.3919915700737617,-9.174999999999999,6
2,0.7,1.4,126,0.49206349206349204,0.17817460317460312,22.449999999999992,1.3722279792746122,-7.425000000000001,6
2,0.75,1.15,121,0.5537190082644629,0.1947314049586777,23.5625,1.4558645707376063,-5.1875,5
