window,quantile,barrier,horizon,entry_timestamp,exit_timestamp,pnl_points,pnl_R,exit_reason,holding_bars
1,0.7,0.50R,5,2024-12-27 14:31:00-05:00,2024-12-27 14:33:00-05:00,-20.0,-1.0,stop,2
1,0.7,0.50R,5,2024-12-27 15:19:00-05:00,2024-12-27 15:22:00-05:00,10.0,0.5,target,3
1,0.7,0.50R,5,2024-12-27 15:23:00-05:00,2024-12-27 15:25:00-05:00,-20.0,-1.0,stop,2
1,0.7,0.50R,5,2024-12-27 15:31:00-05:00,2024-12-27 15:32:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2024-12-30 09:49:00-05:00,2024-12-30 09:51:00-05:00,-20.0,-1.0,stop,2
1,0.7,0.50R,5,2024-12-30 10:25:00-05:00,2024-12-30 10:26:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2024-12-30 10:27:00-05:00,2024-12-30 10:28:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2024-12-30 15:37:00-05:00,2024-12-30 15:41:00-05:00,-20.0,-1.0,stop,4
1,0.7,0.50R,5,2024-12-30 15:47:00-05:00,2024-12-30 15:51:00-05:00,-20.0,-1.0,stop,4
1,0.7,0.50R,5,2024-12-30 16:07:00-05:00,2024-12-30 16:08:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2024-12-30 16:09:00-05:00,2024-12-30 16:14:00-05:00,-20.0,-1.0,stop,5
1,0.7,0.50R,5,2024-12-30 16:15:00-05:00,2024-12-30 16:16:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2024-12-30 16:17:00-05:00,2024-12-30 16:20:00-05:00,10.0,0.5,target,3
1,0.7,0.50R,5,2024-12-30 16:21:00-05:00,2024-12-30 16:26:00-05:00,1.5,0.075,timeout,5
1,0.7,0.50R,5,2024-12-30 16:27:00-05:00,2024-12-30 16:32:00-05:00,-5.25,-0.2625,timeout,5
1,0.7,0.50R,5,2024-12-31 09:43:00-05:00,2024-12-31 09:44:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2024-12-31 09:45:00-05:00,2024-12-31 09:46:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2024-12-31 10:13:00-05:00,2024-12-31 10:14:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2024-12-31 10:50:00-05:00,2024-12-31 10:52:00-05:00,-20.0,-1.0,stop,2
1,0.7,0.50R,5,2024-12-31 10:54:00-05:00,2024-12-31 10:59:00-05:00,10.0,0.5,target,5
1,0.7,0.50R,5,2024-12-31 11:00:00-05:00,2024-12-31 11:01:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2024-12-31 11:02:00-05:00,2024-12-31 11:03:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2024-12-31 11:04:00-05:00,2024-12-31 11:05:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2024-12-31 11:06:00-05:00,2024-12-31 11:08:00-05:00,10.0,0.5,target,2
1,0.7,0.50R,5,2024-12-31 11:09:00-05:00,2024-12-31 11:10:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2024-12-31 11:11:00-05:00,2024-12-31 11:16:00-05:00,2.0,0.1,timeout,5
1,0.7,0.50R,5,2024-12-31 11:17:00-05:00,2024-12-31 11:20:00-05:00,10.0,0.5,target,3
1,0.7,0.50R,5,2024-12-31 11:21:00-05:00,2024-12-31 11:23:00-05:00,10.0,0.5,target,2
1,0.7,0.50R,5,2024-12-31 11:29:00-05:00,2024-12-31 11:31:00-05:00,10.0,0.5,target,2
1,0.7,0.50R,5,2024-12-31 11:32:00-05:00,2024-12-31 11:33:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2024-12-31 11:34:00-05:00,2024-12-31 11:39:00-05:00,-5.5,-0.275,timeout,5
1,0.7,0.50R,5,2024-12-31 11:40:00-05:00,2024-12-31 11:43:00-05:00,-20.0,-1.0,stop,3
1,0.7,0.50R,5,2024-12-31 12:40:00-05:00,2024-12-31 12:45:00-05:00,-8.5,-0.425,timeout,5
1,0.7,0.50R,5,2024-12-31 12:53:00-05:00,2024-12-31 12:55:00-05:00,-20.0,-1.0,stop,2
1,0.7,0.50R,5,2024-12-31 13:25:00-05:00,2024-12-31 13:26:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2024-12-31 13:32:00-05:00,2024-12-31 13:35:00-05:00,-20.0,-1.0,stop,3
1,0.7,0.50R,5,2024-12-31 13:36:00-05:00,2024-12-31 13:38:00-05:00,10.0,0.5,target,2
1,0.7,0.50R,5,2024-12-31 13:39:00-05:00,2024-12-31 13:44:00-05:00,-20.0,-1.0,stop,5
1,0.7,0.50R,5,2024-12-31 13:46:00-05:00,2024-12-31 13:49:00-05:00,-20.0,-1.0,stop,3
1,0.7,0.50R,5,2024-12-31 16:00:00-05:00,2024-12-31 16:01:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2024-12-31 16:04:00-05:00,2024-12-31 16:08:00-05:00,-20.0,-1.0,stop,4
1,0.7,0.50R,5,2025-01-02 09:41:00-05:00,2025-01-02 09:43:00-05:00,-20.0,-1.0,both_hit,2
1,0.7,0.50R,5,2025-01-02 09:44:00-05:00,2025-01-02 09:45:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2025-01-02 09:46:00-05:00,2025-01-02 09:47:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2025-01-02 10:25:00-05:00,2025-01-02 10:26:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2025-01-02 10:27:00-05:00,2025-01-02 10:28:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-02 10:29:00-05:00,2025-01-02 10:30:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2025-01-02 10:31:00-05:00,2025-01-02 10:32:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-02 10:33:00-05:00,2025-01-02 10:34:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-02 10:35:00-05:00,2025-01-02 10:36:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-02 10:37:00-05:00,2025-01-02 10:38:00-05:00,-20.0,-1.0,both_hit,1
1,0.7,0.50R,5,2025-01-02 10:39:00-05:00,2025-01-02 10:40:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-02 10:41:00-05:00,2025-01-02 10:42:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-02 10:43:00-05:00,2025-01-02 10:44:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-02 10:45:00-05:00,2025-01-02 10:46:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-02 10:47:00-05:00,2025-01-02 10:49:00-05:00,-20.0,-1.0,stop,2
1,0.7,0.50R,5,2025-01-02 11:05:00-05:00,2025-01-02 11:07:00-05:00,-20.0,-1.0,stop,2
1,0.7,0.50R,5,2025-01-02 11:09:00-05:00,2025-01-02 11:10:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2025-01-02 11:23:00-05:00,2025-01-02 11:24:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2025-01-02 12:19:00-05:00,2025-01-02 12:21:00-05:00,10.0,0.5,target,2
1,0.7,0.50R,5,2025-01-02 12:26:00-05:00,2025-01-02 12:27:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-02 12:33:00-05:00,2025-01-02 12:34:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-02 12:35:00-05:00,2025-01-02 12:36:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-02 12:37:00-05:00,2025-01-02 12:38:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-02 12:39:00-05:00,2025-01-02 12:40:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-02 12:41:00-05:00,2025-01-02 12:42:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2025-01-02 12:43:00-05:00,2025-01-02 12:44:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2025-01-02 12:45:00-05:00,2025-01-02 12:46:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-02 12:47:00-05:00,2025-01-02 12:48:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-02 12:49:00-05:00,2025-01-02 12:50:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-02 12:51:00-05:00,2025-01-02 12:52:00-05:00,-20.0,-1.0,both_hit,1
1,0.7,0.50R,5,2025-01-02 12:53:00-05:00,2025-01-02 12:57:00-05:00,-20.0,-1.0,stop,4
1,0.7,0.50R,5,2025-01-02 13:02:00-05:00,2025-01-02 13:03:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-02 13:04:00-05:00,2025-01-02 13:05:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-02 13:06:00-05:00,2025-01-02 13:08:00-05:00,-20.0,-1.0,stop,2
1,0.7,0.50R,5,2025-01-02 13:39:00-05:00,2025-01-02 13:41:00-05:00,10.0,0.5,target,2
1,0.7,0.50R,5,2025-01-02 13:53:00-05:00,2025-01-02 13:55:00-05:00,10.0,0.5,target,2
1,0.7,0.50R,5,2025-01-02 15:44:00-05:00,2025-01-02 15:47:00-05:00,-20.0,-1.0,stop,3
1,0.7,0.50R,5,2025-01-03 10:17:00-05:00,2025-01-03 10:18:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-03 10:21:00-05:00,2025-01-03 10:22:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-03 10:24:00-05:00,2025-01-03 10:25:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2025-01-03 11:13:00-05:00,2025-01-03 11:17:00-05:00,-20.0,-1.0,stop,4
1,0.7,0.50R,5,2025-01-03 16:26:00-05:00,2025-01-03 16:31:00-05:00,6.75,0.3375,timeout,5
1,0.7,0.50R,5,2025-01-06 11:41:00-05:00,2025-01-06 11:44:00-05:00,10.0,0.5,target,3
1,0.7,0.50R,5,2025-01-06 12:28:00-05:00,2025-01-06 12:29:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-06 12:30:00-05:00,2025-01-06 12:33:00-05:00,10.0,0.5,target,3
1,0.7,0.50R,5,2025-01-06 13:09:00-05:00,2025-01-06 13:14:00-05:00,-10.25,-0.5125,timeout,5
1,0.7,0.50R,5,2025-01-06 13:17:00-05:00,2025-01-06 13:18:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-06 13:56:00-05:00,2025-01-06 13:59:00-05:00,10.0,0.5,target,3
1,0.7,0.50R,5,2025-01-06 14:11:00-05:00,2025-01-06 14:16:00-05:00,-9.25,-0.4625,timeout,5
1,0.7,0.50R,5,2025-01-07 10:10:00-05:00,2025-01-07 10:11:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-07 10:12:00-05:00,2025-01-07 10:13:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2025-01-07 10:14:00-05:00,2025-01-07 10:16:00-05:00,10.0,0.5,target,2
1,0.7,0.50R,5,2025-01-07 10:17:00-05:00,2025-01-07 10:18:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-07 10:19:00-05:00,2025-01-07 10:20:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2025-01-07 10:21:00-05:00,2025-01-07 10:22:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2025-01-07 10:23:00-05:00,2025-01-07 10:24:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2025-01-07 10:31:00-05:00,2025-01-07 10:32:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-07 10:33:00-05:00,2025-01-07 10:34:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-07 10:35:00-05:00,2025-01-07 10:36:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-07 10:37:00-05:00,2025-01-07 10:38:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-07 10:39:00-05:00,2025-01-07 10:40:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-07 10:41:00-05:00,2025-01-07 10:42:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2025-01-07 10:43:00-05:00,2025-01-07 10:45:00-05:00,-20.0,-1.0,stop,2
1,0.7,0.50R,5,2025-01-07 10:46:00-05:00,2025-01-07 10:47:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-07 10:48:00-05:00,2025-01-07 10:50:00-05:00,-20.0,-1.0,stop,2
1,0.7,0.50R,5,2025-01-07 10:51:00-05:00,2025-01-07 10:54:00-05:00,-20.0,-1.0,stop,3
1,0.7,0.50R,5,2025-01-07 11:37:00-05:00,2025-01-07 11:39:00-05:00,-20.0,-1.0,stop,2
1,0.7,0.50R,5,2025-01-07 11:51:00-05:00,2025-01-07 11:52:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-07 11:54:00-05:00,2025-01-07 11:55:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-07 11:56:00-05:00,2025-01-07 11:59:00-05:00,10.0,0.5,target,3
1,0.7,0.50R,5,2025-01-07 12:00:00-05:00,2025-01-07 12:01:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2025-01-07 12:02:00-05:00,2025-01-07 12:03:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-07 12:04:00-05:00,2025-01-07 12:06:00-05:00,10.0,0.5,target,2
1,0.7,0.50R,5,2025-01-07 12:07:00-05:00,2025-01-07 12:12:00-05:00,-7.5,-0.375,timeout,5
1,0.7,0.50R,5,2025-01-07 12:13:00-05:00,2025-01-07 12:18:00-05:00,1.25,0.0625,timeout,5
1,0.7,0.50R,5,2025-01-07 12:23:00-05:00,2025-01-07 12:27:00-05:00,10.0,0.5,target,4
1,0.7,0.50R,5,2025-01-07 12:43:00-05:00,2025-01-07 12:46:00-05:00,10.0,0.5,target,3
1,0.7,0.50R,5,2025-01-07 12:47:00-05:00,2025-01-07 12:52:00-05:00,6.0,0.3,timeout,5
1,0.7,0.50R,5,2025-01-07 12:53:00-05:00,2025-01-07 12:56:00-05:00,-20.0,-1.0,stop,3
1,0.7,0.50R,5,2025-01-07 14:57:00-05:00,2025-01-07 15:02:00-05:00,10.0,0.5,target,5
1,0.7,0.50R,5,2025-01-07 15:14:00-05:00,2025-01-07 15:19:00-05:00,4.75,0.2375,timeout,5
1,0.7,0.50R,5,2025-01-07 15:20:00-05:00,2025-01-07 15:21:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-07 15:32:00-05:00,2025-01-07 15:35:00-05:00,10.0,0.5,target,3
1,0.7,0.50R,5,2025-01-08 10:14:00-05:00,2025-01-08 10:15:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-08 10:16:00-05:00,2025-01-08 10:18:00-05:00,-20.0,-1.0,stop,2
1,0.7,0.50R,5,2025-01-08 10:19:00-05:00,2025-01-08 10:21:00-05:00,10.0,0.5,target,2
1,0.7,0.50R,5,2025-01-08 10:22:00-05:00,2025-01-08 10:23:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-08 10:29:00-05:00,2025-01-08 10:30:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-08 10:32:00-05:00,2025-01-08 10:34:00-05:00,-20.0,-1.0,stop,2
1,0.7,0.50R,5,2025-01-08 11:07:00-05:00,2025-01-08 11:08:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-08 12:34:00-05:00,2025-01-08 12:35:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-08 12:36:00-05:00,2025-01-08 12:37:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-08 12:38:00-05:00,2025-01-08 12:39:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-08 12:40:00-05:00,2025-01-08 12:41:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2025-01-08 13:57:00-05:00,2025-01-08 13:58:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2025-01-08 13:59:00-05:00,2025-01-08 14:01:00-05:00,10.0,0.5,target,2
1,0.7,0.50R,5,2025-01-08 14:02:00-05:00,2025-01-08 14:03:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-08 14:04:00-05:00,2025-01-08 14:06:00-05:00,-20.0,-1.0,stop,2
1,0.7,0.50R,5,2025-01-08 14:53:00-05:00,2025-01-08 14:54:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-08 14:55:00-05:00,2025-01-08 14:58:00-05:00,-20.0,-1.0,stop,3
1,0.7,0.50R,5,2025-01-08 14:59:00-05:00,2025-01-08 15:04:00-05:00,-7.0,-0.35,timeout,5
1,0.7,0.50R,5,2025-01-08 15:08:00-05:00,2025-01-08 15:13:00-05:00,10.0,0.5,target,5
1,0.7,0.50R,5,2025-01-08 15:14:00-05:00,2025-01-08 15:16:00-05:00,-20.0,-1.0,stop,2
1,0.7,0.50R,5,2025-01-08 16:44:00-05:00,2025-01-08 16:49:00-05:00,-1.5,-0.075,timeout,5
1,0.7,0.50R,5,2025-01-10 09:39:00-05:00,2025-01-10 09:40:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-10 09:41:00-05:00,2025-01-10 09:42:00-05:00,-20.0,-1.0,both_hit,1
1,0.7,0.50R,5,2025-01-10 09:43:00-05:00,2025-01-10 09:44:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2025-01-10 09:45:00-05:00,2025-01-10 09:46:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-10 09:52:00-05:00,2025-01-10 09:53:00-05:00,-20.0,-1.0,both_hit,1
1,0.7,0.50R,5,2025-01-10 09:54:00-05:00,2025-01-10 09:55:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-10 09:56:00-05:00,2025-01-10 09:58:00-05:00,-20.0,-1.0,stop,2
1,0.7,0.50R,5,2025-01-10 09:59:00-05:00,2025-01-10 10:00:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-10 10:06:00-05:00,2025-01-10 10:07:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-10 10:08:00-05:00,2025-01-10 10:09:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-10 10:10:00-05:00,2025-01-10 10:11:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-10 10:12:00-05:00,2025-01-10 10:13:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2025-01-10 10:14:00-05:00,2025-01-10 10:15:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2025-01-10 10:16:00-05:00,2025-01-10 10:18:00-05:00,-20.0,-1.0,stop,2
1,0.7,0.50R,5,2025-01-10 11:02:00-05:00,2025-01-10 11:03:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-10 11:04:00-05:00,2025-01-10 11:05:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-10 11:06:00-05:00,2025-01-10 11:08:00-05:00,10.0,0.5,target,2
1,0.7,0.50R,5,2025-01-10 11:09:00-05:00,2025-01-10 11:10:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2025-01-10 11:11:00-05:00,2025-01-10 11:12:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-10 11:13:00-05:00,2025-01-10 11:14:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-10 11:15:00-05:00,2025-01-10 11:18:00-05:00,-20.0,-1.0,stop,3
1,0.7,0.50R,5,2025-01-10 11:19:00-05:00,2025-01-10 11:20:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-10 11:21:00-05:00,2025-01-10 11:23:00-05:00,-20.0,-1.0,stop,2
1,0.7,0.50R,5,2025-01-10 11:28:00-05:00,2025-01-10 11:29:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-10 11:30:00-05:00,2025-01-10 11:31:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-10 11:33:00-05:00,2025-01-10 11:38:00-05:00,10.0,0.5,target,5
1,0.7,0.50R,5,2025-01-10 11:40:00-05:00,2025-01-10 11:41:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2025-01-10 12:02:00-05:00,2025-01-10 12:03:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-10 12:04:00-05:00,2025-01-10 12:05:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-10 12:11:00-05:00,2025-01-10 12:16:00-05:00,-20.0,-1.0,stop,5
1,0.7,0.50R,5,2025-01-10 12:18:00-05:00,2025-01-10 12:21:00-05:00,-20.0,-1.0,stop,3
1,0.7,0.50R,5,2025-01-10 14:11:00-05:00,2025-01-10 14:16:00-05:00,-5.5,-0.275,timeout,5
1,0.7,0.50R,5,2025-01-10 14:19:00-05:00,2025-01-10 14:21:00-05:00,10.0,0.5,target,2
1,0.7,0.50R,5,2025-01-10 14:22:00-05:00,2025-01-10 14:25:00-05:00,-20.0,-1.0,stop,3
1,0.7,0.50R,5,2025-01-10 14:26:00-05:00,2025-01-10 14:28:00-05:00,-20.0,-1.0,stop,2
1,0.7,0.50R,5,2025-01-10 14:50:00-05:00,2025-01-10 14:51:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2025-01-10 15:22:00-05:00,2025-01-10 15:27:00-05:00,2.5,0.125,timeout,5
1,0.7,0.50R,5,2025-01-10 15:28:00-05:00,2025-01-10 15:30:00-05:00,10.0,0.5,target,2
1,0.7,0.50R,5,2025-01-10 15:31:00-05:00,2025-01-10 15:32:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-10 16:25:00-05:00,2025-01-10 16:30:00-05:00,-1.5,-0.075,timeout,5
1,0.7,0.50R,5,2025-01-10 16:31:00-05:00,2025-01-10 16:35:00-05:00,10.0,0.5,target,4
1,0.7,0.50R,5,2025-01-10 16:43:00-05:00,2025-01-10 16:48:00-05:00,-4.75,-0.2375,timeout,5
1,0.7,0.50R,5,2025-01-13 09:30:00-05:00,2025-01-13 09:31:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-13 09:42:00-05:00,2025-01-13 09:43:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-13 10:25:00-05:00,2025-01-13 10:26:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-13 10:27:00-05:00,2025-01-13 10:31:00-05:00,-20.0,-1.0,stop,4
1,0.7,0.50R,5,2025-01-13 11:09:00-05:00,2025-01-13 11:10:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-13 11:11:00-05:00,2025-01-13 11:12:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-13 11:13:00-05:00,2025-01-13 11:14:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-13 11:15:00-05:00,2025-01-13 11:18:00-05:00,10.0,0.5,target,3
1,0.7,0.50R,5,2025-01-13 11:19:00-05:00,2025-01-13 11:22:00-05:00,10.0,0.5,target,3
1,0.7,0.50R,5,2025-01-13 11:23:00-05:00,2025-01-13 11:25:00-05:00,10.0,0.5,target,2
1,0.7,0.50R,5,2025-01-13 12:01:00-05:00,2025-01-13 12:02:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-14 09:59:00-05:00,2025-01-14 10:00:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-14 10:01:00-05:00,2025-01-14 10:03:00-05:00,-20.0,-1.0,stop,2
1,0.7,0.50R,5,2025-01-14 10:05:00-05:00,2025-01-14 10:07:00-05:00,-20.0,-1.0,stop,2
1,0.7,0.50R,5,2025-01-14 10:37:00-05:00,2025-01-14 10:38:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-14 10:39:00-05:00,2025-01-14 10:40:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-14 10:41:00-05:00,2025-01-14 10:42:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2025-01-14 10:43:00-05:00,2025-01-14 10:45:00-05:00,-20.0,-1.0,stop,2
1,0.7,0.50R,5,2025-01-14 10:46:00-05:00,2025-01-14 10:47:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2025-01-14 10:49:00-05:00,2025-01-14 10:50:00-05:00,10.0,0.5,target,1
