window,quantile,barrier,horizon,entry_timestamp,exit_timestamp,pnl_points,pnl_R,exit_reason,holding_bars
1,0.7,0.50R,5,2024-12-27 09:44:00-05:00,2024-12-27 09:45:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2024-12-27 09:57:00-05:00,2024-12-27 10:00:00-05:00,10.0,0.5,target,3
1,0.7,0.50R,5,2024-12-27 10:06:00-05:00,2024-12-27 10:07:00-05:00,-20.0,-1.0,both_hit,1
1,0.7,0.50R,5,2024-12-27 10:08:00-05:00,2024-12-27 10:10:00-05:00,-20.0,-1.0,stop,2
1,0.7,0.50R,5,2024-12-27 10:11:00-05:00,2024-12-27 10:12:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2024-12-27 10:13:00-05:00,2024-12-27 10:14:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2024-12-27 10:15:00-05:00,2024-12-27 10:16:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2024-12-27 10:17:00-05:00,2024-12-27 10:18:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2024-12-27 10:19:00-05:00,2024-12-27 10:22:00-05:00,-20.0,-1.0,stop,3
1,0.7,0.50R,5,2024-12-27 10:25:00-05:00,2024-12-27 10:26:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2024-12-27 10:27:00-05:00,2024-12-27 10:28:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2024-12-27 10:29:00-05:00,2024-12-27 10:31:00-05:00,10.0,0.5,target,2
1,0.7,0.50R,5,2024-12-27 10:32:00-05:00,2024-12-27 10:33:00-05:00,10.0,0.5,target,1
1,0.7,0.50R,5,2024-12-27 10:34:00-05:00,2024-12-27 10:38:00-05:00,-20.0,-1.0,stop,4
1,0.7,0.50R,5,2024-12-27 11:15:00-05:00,2024-12-27 11:17:00-05:00,-20.0,-1.0,stop,2
1,0.7,0.50R,5,2024-12-27 11:19:00-05:00,2024-12-27 11:24:00-05:00,-16.5,-0.825,timeout,5
1,0.7,0.50R,5,2024-12-27 11:59:00-05:00,2024-12-27 12:04:00-05:00,5.75,0.2875,timeout,5
1,0.7,0.50R,5,2024-12-27 12:05:00-05:00,2024-12-27 12:08:00-05:00,10.0,0.5,target,3
1,0.7,0.50R,5,2024-12-27 12:09:00-05:00,2024-12-27 12:14:00-05:00,-4.0,-0.2,timeout,5
1,0.7,0.50R,5,2024-12-27 12:15:00-05:00,2024-12-27 12:17:00-05:00,10.0,0.5,target,2
1,0.7,0.50R,5,2024-12-27 12:18:00-05:00,2024-12-27 12:19:00-05:00,-20.0,-1.0,stop,1
1,0.7,0.50R,5,2024-12-27 12:20:00-05:00,2024-12-27 12:21:00-05:00,10.0,0.5,target,1
