entry_timestamp,exit_timestamp,window,hmm_state,setup_quality,setup_quality_bucket,volatility,volatility_percentile,volatility_bucket,pnl_R,pnl_points,exit_reason,holding_bars,past_return_30,past_return_30_quality,directional_pressure_30,directional_pressure_30_quality,close_location_30,close_location_30_quality,normalized_momentum_30,normalized_momentum_30_quality
2024-12-27 09:44:00-05:00,2024-12-27 09:46:00-05:00,1,2,1.0,80-100%,0.003196144956592746,0.9198666491204983,80-100%,1.3,26.0,target,2,-0.007993612474981284,1.0,-0.677641255780945,1.0,0.0,1.0,-2.5010168761253193,1.0
2024-12-27 09:57:00-05:00,2024-12-27 10:01:00-05:00,1,2,0.8607587433313575,80-100%,0.004038849426731579,0.9663639952625346,80-100%,1.3,26.0,target,4,-0.007060705990661856,1.0,-0.37707434802172946,1.0,0.07219917012448132,0.4430349733254298,-1.7481973811476557,1.0
2024-12-27 10:06:00-05:00,2024-12-27 10:07:00-05:00,1,2,1.0,80-100%,0.004325775025222909,0.9744790981269466,80-100%,-1.0,-20.0,stop,1,-0.007746829357858493,1.0,-0.40039177729292713,1.0,0.0,1.0,-1.7908535031729476,1.0
2024-12-27 10:08:00-05:00,2024-12-27 10:10:00-05:00,1,2,1.0,80-100%,0.004386945164558135,0.9757029433697416,80-100%,-1.0,-20.0,stop,2,-0.007936066444779977,1.0,-0.40369802421309525,1.0,0.0,1.0,-1.8090188381872148,1.0
2024-12-27 10:11:00-05:00,2024-12-27 10:13:00-05:00,1,2,0.8051043409916361,80-100%,0.00426203657515556,0.9728736237224196,80-100%,1.3,26.0,target,2,-0.006136483589618718,1.0,-0.3059049206196975,0.5707205050912697,0.022082018927444796,0.8296529968454258,-1.4398007810138849,0.8200438620298482
2024-12-27 10:14:00-05:00,2024-12-27 10:17:00-05:00,1,2,0.6755099439450203,60-80%,0.004308891966809876,0.9741851998069921,80-100%,1.3,26.0,target,3,-0.0056649210023340685,1.0,-0.27967054213548537,0.4031604273741419,0.04261363636363636,0.6712662337662338,-1.3147048118099234,0.6276131146397049
2024-12-27 10:18:00-05:00,2024-12-27 10:19:00-05:00,1,2,1.0,80-100%,0.004328693617754441,0.974531736632013,80-100%,-1.0,-20.0,stop,1,-0.009506502578171747,1.0,-0.47721057560602925,1.0,0.0,1.0,-2.1961597233817054,1.0
2024-12-27 10:20:00-05:00,2024-12-27 10:22:00-05:00,1,2,0.9059233449477352,80-100%,0.0043326928744797395,0.9746063078475238,80-100%,-1.0,-20.0,stop,2,-0.00903829380527513,1.0,-0.4526000484158177,1.0,0.04878048780487805,0.6236933797909407,-2.086068426061801,1.0
2024-12-27 10:33:00-05:00,2024-12-27 10:35:00-05:00,1,2,0.7872106814588793,60-80%,0.003881534247491373,0.9610036408299337,80-100%,-1.0,-20.0,stop,2,-0.005136312265921553,1.0,-0.296093771716569,0.508056284793775,0.0,1.0,-1.3232685681547547,0.6407864410417421
2024-12-27 12:03:00-05:00,2024-12-27 12:09:00-05:00,1,2,0.7695417789757413,60-80%,0.0025820958736452945,0.8313374566828968,80-100%,1.3,26.0,target,6,-0.0046094547501662475,1.0,-0.4030124205855158,1.0,0.11949685534591195,0.07816711590296489,-1.7851601860386435,1.0
