model,tail_percent,rr,horizon,probability_threshold,windows,total_trades,median_WR,mean_WR,median_R,mean_R,median_PF,mean_PF,total_R,worst_DD,worst_streak
xgboost,15.000000000000002,1.35,10,0.54,4,116,0.5371212121212121,0.49772727272727274,0.26223484848484846,0.16965909090909093,1.5958928571428577,1.5854464285714287,20.3,-5.950000000000001,5
xgboost,9.999999999999998,1.35,12,0.52,4,104,0.5370639534883721,0.518531976744186,0.26210029069767443,0.21855014534883727,1.5750000000000002,1.6312500000000003,32.30000000000001,-4.949999999999999,4
xgboost,17.500000000000004,1.2,12,0.58,4,112,0.5725806451612903,0.5756842619745846,0.2596774193548387,0.266505376344086,1.690909090909091,1.7347402597402597,24.399999999999995,-5.4,4
xgboost,9.999999999999998,1.35,10,0.52,4,100,0.5347124824684432,0.513189574567555,0.25657433380084155,0.2059955002337541,1.6357500000000005,1.8585000000000003,24.55,-5.0,5
xgboost,17.500000000000004,1.35,15,0.6,4,59,0.5336206896551725,0.5793103448275863,0.2540086206896552,0.3613793103448276,1.5482142857142858,2.1241071428571434,16.200000000000003,-5.65,5
xgboost,19.999999999999996,1.3,15,0.6,4,70,0.5446428571428572,0.5518913210445469,0.2526785714285714,0.26935003840245775,1.6466666666666665,1.740980392156863,8.200000000000003,-7.4,6
xgboost,15.000000000000002,1.35,12,0.5,4,160,0.5326086956521738,0.47734330886504794,0.2516304347826087,0.12175677583286282,1.5525000000000002,1.3528125000000002,25.650000000000002,-7.600000000000001,6
xgboost,9.999999999999998,1.3,12,0.58,4,79,0.5432900432900433,0.5367965367965368,0.2495670995670996,0.23463203463203466,1.5572916666666667,1.8078125,29.100000000000005,-4.0,4
xgboost,17.500000000000004,1.25,10,0.6,4,79,0.554945054945055,0.5606893106893107,0.24862637362637363,0.261550949050949,1.5625,2.0014880952380953,11.0,-7.25,6
xgboost,9.999999999999998,1.35,10,0.5,4,110,0.5299773755656109,0.5149886877828054,0.24544683257918556,0.2102234162895928,1.625729442970823,1.9378647214854112,26.300000000000004,-5.3,5
xgboost,9.999999999999998,1.2,15,0.58,4,123,0.5638211382113821,0.5319105691056911,0.2404065040650406,0.1702032520325203,1.551282051282051,1.4720695970695972,26.599999999999994,-5.6,5
