trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,losing_streak,avg_holding_bars,window,hypothesis,direction,barrier,horizon
230,0.6260869565217392,-0.010923913043478261,-2.5125,0.9644373673036093,-13.8,5,2.3130434782608695,1,S1_LONG_CONTINUATION,long,0.50R,5
229,0.62882096069869,-0.026801310043668126,-6.137500000000001,0.9204084940833198,-12.625,6,2.8253275109170306,1,S1_LONG_CONTINUATION,long,0.50R,10
228,0.6359649122807017,-0.04100877192982456,-9.35,0.8843179709248375,-14.0125,6,3.043859649122807,1,S1_LONG_CONTINUATION,long,0.50R,15
219,0.5707762557077626,-0.02162100456621004,-4.7349999999999985,0.9379016393442625,-10.295000000000002,5,2.712328767123288,1,S1_LONG_CONTINUATION,long,0.67R,5
218,0.5642201834862385,-0.039174311926605504,-8.54,0.9010141987829615,-13.210000000000004,6,3.555045871559633,1,S1_LONG_CONTINUATION,long,0.67R,10
217,0.5714285714285714,-0.04923963133640554,-10.685000000000002,0.8818684355997789,-14.587500000000006,6,3.9400921658986174,1,S1_LONG_CONTINUATION,long,0.67R,15
216,0.5555555555555556,-0.008275462962962967,-1.787500000000001,0.9768795472918351,-8.5625,6,2.800925925925926,1,S1_LONG_CONTINUATION,long,0.75R,5
215,0.5441860465116279,-0.03796511627906977,-8.1625,0.9085690282833939,-10.625,8,3.7209302325581395,1,S1_LONG_CONTINUATION,long,0.75R,10
214,0.5467289719626168,-0.0467873831775701,-10.012500000000001,0.8933564105977899,-11.9375,8,4.158878504672897,1,S1_LONG_CONTINUATION,long,0.75R,15
206,0.5242718446601942,0.009708737864077673,2.0000000000000004,1.0257069408740362,-10.425,6,3.1941747572815533,1,S1_LONG_CONTINUATION,long,1.00R,5
204,0.5098039215686274,-0.001960784313725491,-0.40000000000000013,0.9954904171364148,-9.425,8,4.490196078431373,1,S1_LONG_CONTINUATION,long,1.00R,10
203,0.5024630541871922,-0.0063423645320197074,-1.2875000000000005,0.9865324267782426,-11.0,8,5.201970443349754,1,S1_LONG_CONTINUATION,long,1.00R,15
262,0.6450381679389313,0.04923664122137404,12.899999999999999,1.1941309255079002,-6.812500000000001,3,2.4236641221374047,1,S1_LONG_CONTINUATION_15,long,0.50R,5
261,0.6475095785440613,0.02399425287356322,6.2625,1.081107333657115,-11.7125,3,3.1264367816091956,1,S1_LONG_CONTINUATION_15,long,0.50R,10
260,0.6653846153846154,0.02254807692307692,5.8625,1.0739164696611507,-11.4,3,3.473076923076923,1,S1_LONG_CONTINUATION_15,long,0.50R,15
247,0.5910931174089069,0.0402834008097166,9.950000000000001,1.1304490331039,-10.430000000000001,4,2.8097165991902835,1,S1_LONG_CONTINUATION_15,long,0.67R,5
244,0.5901639344262295,0.021772540983606547,5.312499999999997,1.0605154492382172,-12.990000000000002,6,3.6434426229508197,1,S1_LONG_CONTINUATION_15,long,0.67R,10
243,0.5925925925925926,0.014660493827160486,3.5624999999999982,1.0391375995605603,-14.307500000000005,6,4.061728395061729,1,S1_LONG_CONTINUATION_15,long,0.67R,15
241,0.5767634854771784,0.05321576763485478,12.825000000000001,1.1667750325097528,-7.774999999999999,4,2.9419087136929463,1,S1_LONG_CONTINUATION_15,long,0.75R,5
238,0.5714285714285714,0.03051470588235294,7.2625,1.0811679240011178,-12.1,6,3.861344537815126,1,S1_LONG_CONTINUATION_15,long,0.75R,10
237,0.569620253164557,0.024789029535864975,5.874999999999999,1.0630618542868644,-13.8125,6,4.345991561181434,1,S1_LONG_CONTINUATION_15,long,0.75R,15
227,0.5374449339207048,0.07610132158590308,17.275,1.2235160925117259,-8.0,7,3.2731277533039647,1,S1_LONG_CONTINUATION_15,long,1.00R,5
