trades,wins,losses,win_rate,mean_R,median_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak,average_holding_bars,profitable_days,losing_days,daily_sharpe,window,quantile,tail_percent,rr,target_points,horizon
288,189,99,0.65625,0.004036458333333332,0.5,1.1624999999999996,1.0124548011249497,-10.075000000000001,5,1.65625,15,19,0.18625057393233976,1,0.9,9.999999999999998,0.5,10.0,5
287,190,97,0.662020905923345,-0.00505226480836237,0.5,-1.4500000000000002,0.9849663037843442,-9.45,5,1.735191637630662,16,18,-0.22590073780597056,1,0.9,9.999999999999998,0.5,10.0,10
287,190,97,0.662020905923345,-0.006968641114982578,0.5,-2.0,0.979381443298969,-10.0,5,1.7421602787456445,16,18,-0.3090558577166291,1,0.9,9.999999999999998,0.5,10.0,15
275,165,110,0.6,0.02456363636363637,0.67,6.755000000000002,1.0654316503208623,-9.580000000000002,5,1.8836363636363636,19,18,0.8146868604465736,1,0.9,9.999999999999998,0.67,13.4,5
273,166,107,0.608058608058608,0.02067765567765568,0.67,5.645000000000001,1.053469097797774,-10.830000000000004,5,1.9633699633699633,20,17,0.6759897764077039,1,0.9,9.999999999999998,0.67,13.4,10
273,166,107,0.608058608058608,0.015457875457875463,0.67,4.2200000000000015,1.0394392523364486,-10.830000000000004,5,1.9853479853479854,20,17,0.4994871903270308,1,0.9,9.999999999999998,0.67,13.4,15
271,157,114,0.5793357933579336,0.03966789667896679,0.75,10.75,1.101069455870255,-8.0,5,1.944649446494465,20,17,1.251772329846405,1,0.9,9.999999999999998,0.75,15.0,5
268,157,111,0.585820895522388,0.030503731343283585,0.75,8.175,1.0746064339493497,-8.0,5,2.048507462686567,20,17,0.9486988548458257,1,0.9,9.999999999999998,0.75,15.0,10
268,157,111,0.585820895522388,0.025186567164179104,0.75,6.75,1.0608108108108107,-8.25,5,2.0708955223880596,20,17,0.7697272030567318,1,0.9,9.999999999999998,0.75,15.0,15
247,122,125,0.4939271255060729,0.031325910931174095,-0.025,7.737500000000001,1.0696209650208077,-11.875,8,2.3522267206477734,15,16,0.9622685044417707,1,0.9,9.999999999999998,1.0,20.0,5
241,125,116,0.5186721991701245,0.04813278008298755,1.0,11.6,1.1029509651652984,-10.0,6,2.6390041493775933,16,14,1.5168368242909747,1,0.9,9.999999999999998,1.0,20.0,10
240,126,114,0.525,0.053281249999999995,1.0,12.7875,1.1129513083802582,-10.0,6,2.7291666666666665,17,13,1.6370424284605531,1,0.9,9.999999999999998,1.0,20.0,15
244,114,130,0.4672131147540984,0.022438524590163968,-0.21875,5.4750000000000085,1.0477280156914022,-13.862500000000008,8,2.4795081967213113,17,20,0.5941337880276774,1,0.9,9.999999999999998,1.1,22.0,5
237,116,121,0.48945147679324896,0.03533755274261607,-0.45,8.375000000000007,1.0709520279572167,-13.762500000000003,6,2.80168776371308,19,18,0.9384585437517767,1,0.9,9.999999999999998,1.1,22.0,10
236,117,118,0.4957627118644068,0.04412076271186443,-0.33125,10.412500000000005,1.0884946350791456,-13.4,6,2.919491525423729,21,16,1.1357290231948354,1,0.9,9.999999999999998,1.1,22.0,15
237,110,127,0.4641350210970464,0.04799578059071728,-0.2875,11.374999999999996,1.100976475810031,-15.962500000000013,8,2.5949367088607596,17,20,1.12075883925962,1,0.9,9.999999999999998,1.2,24.0,5
228,109,119,0.4780701754385965,0.0625548245614035,-0.53125,14.2625,1.1238601823708203,-14.262500000000014,6,2.986842105263158,19,18,1.3965339967861197,1,0.9,9.999999999999998,1.2,24.0,10
227,109,117,0.4801762114537445,0.06272026431718063,-1.0,14.2375,1.1229092478687812,-13.800000000000015,6,3.140969162995595,20,17,1.377177452165421,1,0.9,9.999999999999998,1.2,24.0,15
230,101,129,0.4391304347826087,0.029456521739130433,-0.43125,6.7749999999999995,1.0595211948166046,-19.54999999999999,8,2.739130434782609,15,22,0.6613709114467284,1,0.9,9.999999999999998,1.3,26.0,5
221,98,123,0.4434389140271493,0.03003393665158372,-1.0,6.637500000000003,1.0562619198982837,-20.03749999999999,6,3.248868778280543,18,19,0.6367434130358335,1,0.9,9.999999999999998,1.3,26.0,10
219,97,121,0.4429223744292237,0.020034246575342463,-1.0,4.387499999999999,1.0366120788567854,-22.19999999999999,7,3.4383561643835616,18,19,0.4029736158761581,1,0.9,9.999999999999998,1.3,26.0,15
223,91,132,0.4080717488789238,0.013845291479820634,-0.6625,3.0875000000000012,1.0262710061689002,-17.7875,9,2.8789237668161434,16,21,0.3060386931866463,1,0.9,9.999999999999998,1.5,30.0,5
214,86,128,0.40186915887850466,0.010630841121495324,-1.0,2.2749999999999995,1.018691588785047,-17.3375,8,3.467289719626168,17,20,0.23121601460291075,1,0.9,9.999999999999998,1.5,30.0,10
211,83,127,0.3933649289099526,-0.012677725118483415,-1.0,-2.6750000000000007,0.9785828662930344,-19.5,8,3.748815165876777,16,19,-0.2492993250641831,1,0.9,9.999999999999998,1.5,30.0,15
219,83,136,0.3789954337899543,-0.0013127853881278603,-1.0,-0.2875000000000014,0.9976342316395803,-19.775,11,3.0730593607305936,15,22,-0.028333840085887758,1,0.9,9.999999999999998,1.75,35.0,5
210,74,136,0.3523809523809524,-0.02125,-1.0,-4.4625,0.9651843183148039,-17.5875,10,3.7666666666666666,14,23,-0.44647302767391944,1,0.9,9.999999999999998,1.75,35.0,10
207,72,134,0.34782608695652173,-0.041908212560386474,-1.0,-8.675,0.9342304776345716,-19.75,8,4.0772946859903385,14,22,-0.822812524659307,1,0.9,9.999999999999998,1.75,35.0,15
212,80,132,0.37735849056603776,0.02606132075471698,-1.0,5.5249999999999995,1.0470112741969795,-18.462500000000002,11,3.2735849056603774,15,20,0.4985765960747821,1,0.9,9.999999999999998,2.0,40.0,5
204,67,137,0.3284313725490196,-0.019669117647058816,-1.0,-4.012499999999998,0.9687225957322421,-15.9875,13,4.0245098039215685,12,21,-0.36674475047629257,1,0.9,9.999999999999998,2.0,40.0,10
200,64,135,0.32,-0.0415,-1.0,-8.3,0.9375470278404815,-19.0,9,4.37,14,19,-0.7118440397196365,1,0.9,9.999999999999998,2.0,40.0,15
390,257,133,0.658974358974359,0.0046474358974359,0.5,1.8125000000000009,1.014482620854974,-12.7875,4,1.6743589743589744,20,22,0.24844462290009872,1,0.875,12.5,0.5,10.0,5
388,256,132,0.6597938144329897,-0.006604381443298969,0.5,-2.5625,0.9803733843944471,-13.6125,4,1.7551546391752577,21,21,-0.3584680014496162,1,0.875,12.5,0.5,10.0,10
388,256,132,0.6597938144329897,-0.01014819587628866,0.5,-3.9375,0.9701563240170535,-14.4375,4,1.7731958762886597,21,21,-0.5446645382222093,1,0.875,12.5,0.5,10.0,15
374,224,150,0.5989304812834224,0.02280748663101605,0.67,8.530000000000003,1.0614664024500091,-16.169999999999945,5,1.8770053475935828,23,21,0.8376708703820037,1,0.875,12.5,0.67,13.4,5
369,223,146,0.6043360433604336,0.01525067750677507,0.67,5.627500000000001,1.0392981843575422,-16.842499999999966,5,1.997289972899729,24,20,0.5556512283792048,1,0.875,12.5,0.67,13.4,10
