setup_quality_bucket,trades,win_rate,mean_R,median_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak
00-20%,12,0.5833333333333334,0.325,0.75,3.9000000000000004,1.9512195121951221,-2.0,2
20-40%,137,0.4306569343065693,-0.00985401459854016,-0.6375,-1.3500000000000019,0.9809992962702321,-15.25,8
40-60%,224,0.46875,0.042801339285714265,-0.31875,9.587499999999995,1.087878093492209,-11.299999999999985,8
60-80%,223,0.4663677130044843,0.07757847533632285,-0.4125,17.299999999999997,1.156685157930488,-17.29999999999999,8
80-100%,375,0.496,0.1459,-0.0375,54.712500000000006,1.3033053842422564,-10.062499999999996,5
