model,tail_percent,rr,horizon,probability_threshold,windows,positive_windows,median_R,median_PF,total_trades,median_WR,worst_DD,worst_streak,all_positive
baseline,9.999999999999998,1.2,10,0.0,4,4,0.14117734991628797,1.3290838023308937,535,0.5133939248983497,-14.262500000000014,6,True
baseline,9.999999999999998,1.2,12,0.0,4,4,0.16049489359099806,1.3726028490828148,531,0.5325954011741683,-14.412500000000014,6,True
baseline,9.999999999999998,1.2,15,0.0,4,4,0.1593688845401174,1.36112173944539,529,0.5212818003913895,-13.800000000000015,6,True
baseline,9.999999999999998,1.25,10,0.0,4,4,0.16544306506849316,1.3863963615930324,530,0.5147382583170255,-18.0875,6,True
baseline,9.999999999999998,1.25,12,0.0,4,4,0.17278609360410832,1.4180961760689148,526,0.5341591591591592,-18.6625,6,True
baseline,9.999999999999998,1.25,15,0.0,4,4,0.16868990384615384,1.3826101121119085,524,0.5157657657657657,-20.25,7,True
baseline,9.999999999999998,1.3,10,0.0,4,4,0.14364898989898991,1.3307132144341445,522,0.4976010101010101,-20.03749999999999,6,True
baseline,9.999999999999998,1.3,12,0.0,4,4,0.1509929279064216,1.3674042748492,517,0.5171210750742989,-20.61249999999999,6,True
baseline,9.999999999999998,1.3,15,0.0,4,4,0.14574507389162564,1.3296180738015995,514,0.4971821756225426,-22.19999999999999,7,True
baseline,9.999999999999998,1.35,10,0.0,4,4,0.1539930555555556,1.3494775573263944,515,0.4930555555555556,-19.8875,6,True
baseline,9.999999999999998,1.35,12,0.0,4,4,0.14906659786304033,1.3528426829268292,510,0.5128340134263525,-20.4625,6,True
baseline,9.999999999999998,1.35,15,0.0,4,3,0.14043389724310779,1.3052258206409997,506,0.49448621553884714,-22.05,7,False
baseline,12.5,1.2,10,0.0,4,4,0.10503833950290851,1.2361187218374183,701,0.5048387096774194,-8.175,6,True
baseline,12.5,1.2,12,0.0,4,4,0.10982730263157894,1.2470708571030704,694,0.5164473684210527,-8.712499999999999,7,True
baseline,12.5,1.2,15,0.0,4,4,0.11590513781107842,1.2556932063840258,688,0.5093100526268843,-10.362499999999997,7,True
baseline,12.5,1.25,10,0.0,4,4,0.11069918453639385,1.2563659235799478,695,0.5056277056277056,-10.875,6,True
baseline,12.5,1.25,12,0.0,4,4,0.11654001103752759,1.2602128871858078,688,0.5124734777856362,-10.375,7,True
baseline,12.5,1.25,15,0.0,4,4,0.12045252883762202,1.2637993414667659,682,0.5036014405762305,-11.0,7,True
baseline,12.5,1.3,10,0.0,4,4,0.11054258241758241,1.2465549860604082,688,0.48854087089381204,-11.325,6,True
baseline,12.5,1.3,12,0.0,4,4,0.12035322875554663,1.2675905416345143,680,0.5056414029923963,-10.0,7,True
baseline,12.5,1.3,15,0.0,4,4,0.11837539069681925,1.2543552706998564,673,0.49327771649200225,-11.1625,7,True
baseline,12.5,1.35,10,0.0,4,4,0.10200429553264606,1.2312824641004372,672,0.48267326732673266,-11.6875,6,True
baseline,12.5,1.35,12,0.0,4,4,0.11141412447331875,1.2515496906279924,664,0.4936696977012419,-9.799999999999999,7,True
baseline,12.5,1.35,15,0.0,4,4,0.10184859154929579,1.2168351302785263,654,0.4772727272727273,-10.962499999999999,7,True
baseline,15.000000000000002,1.2,10,0.0,4,3,0.12048421245665511,1.264460040404814,863,0.5025423446252334,-11.7375,7,False
baseline,15.000000000000002,1.2,12,0.0,4,3,0.12223637462456964,1.2837943742145068,847,0.5139283587169233,-11.9125,7,False
baseline,15.000000000000002,1.2,15,0.0,4,4,0.12844282146371,1.282361264059388,840,0.508938166956785,-12.7625,9,True
baseline,15.000000000000002,1.25,10,0.0,4,3,0.12823150988411725,1.2779644382998494,852,0.49510906612133604,-12.475000000000001,7,False
baseline,15.000000000000002,1.25,12,0.0,4,4,0.1338915595890616,1.3076395771492146,839,0.5095330369037526,-12.675,7,True
baseline,15.000000000000002,1.25,15,0.0,4,4,0.13486706084880362,1.285896203117195,832,0.5048669142680284,-13.2375,9,True
baseline,15.000000000000002,1.3,10,0.0,4,3,0.12793824788574235,1.2725547890272297,841,0.4848931466470155,-12.875,7,False
baseline,15.000000000000002,1.3,12,0.0,4,3,0.13839198435972627,1.3020618614482775,827,0.5001518724985706,-12.024999999999999,7,False
baseline,15.000000000000002,1.3,15,0.0,4,4,0.13238569361063465,1.275484003019053,818,0.4941663093196112,-12.587499999999999,9,True
baseline,15.000000000000002,1.35,10,0.0,4,3,0.13461507271449427,1.2831835071006963,828,0.47796940044331515,-14.975,7,False
baseline,15.000000000000002,1.35,12,0.0,4,3,0.14204624717781167,1.2957573044364235,815,0.4901797022705997,-15.5375,7,False
baseline,15.000000000000002,1.35,15,0.0,4,3,0.13537919719450686,1.2775023335558267,803,0.48510732299988957,-14.799999999999997,9,False
baseline,17.500000000000004,1.2,10,0.0,4,4,0.0953752668115301,1.2203614860649616,1030,0.5015287579562717,-13.0875,10,True
baseline,17.500000000000004,1.2,12,0.0,4,4,0.10202443000020124,1.2340720952184838,1012,0.5066105890165618,-11.500000000000002,10,True
baseline,17.500000000000004,1.2,15,0.0,4,4,0.09605025532444886,1.2083985646672226,1003,0.4931913480300577,-13.199999999999996,13,True
baseline,17.500000000000004,1.25,10,0.0,4,4,0.10527623013020208,1.2318620765195072,1016,0.4914993040365878,-12.6875,10,True
baseline,17.500000000000004,1.25,12,0.0,4,4,0.10494967787636243,1.2383021196654633,1001,0.4942038427333457,-11.1,10,True
baseline,17.500000000000004,1.25,15,0.0,4,4,0.1043937713036208,1.225539668863306,991,0.48835938002443885,-12.5625,13,True
baseline,17.500000000000004,1.3,10,0.0,4,3,0.10269484249055721,1.213863993579181,1001,0.4787975546123593,-11.8875,10,False
