entry_timestamp,exit_timestamp,session_id,quality,vol_percentile,stop_points,rr,horizon,raw_points,net_points,net_R,exit_reason,holding_bars,window,validation_start,validation_end,open,high,low,close,volume,market_period,past_return_1,past_return_3,past_return_5,past_return_10,past_return_15,past_return_30,realized_vol_5,realized_vol_15,realized_vol_30,realized_vol_60,vol_ratio_5_30,vol_ratio_5_60,variance_ratio_5_30,variance_ratio_5_60,mfe_points,mae_points,mfe_R,mae_R,time_to_mfe,time_to_mae,max_favorable_bar,max_adverse_bar,first_bar_return_points,worst_close_to_close_points,best_close_to_close_points,failure_type,entry_hour,entry_minute,entry_time_minutes,time_bucket
2021-05-06 17:14:00+00:00,2021-05-06 17:34:00+00:00,2021-05-05,0.9977525830778488,0.4739338852701669,25.0,1.75,20,-7.75,-8.86,-0.3544,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,13548.5,13550.5,13532.25,13532.5,3160,RTH,-0.0011631880044548869,-0.0014214905889168878,-0.0014214905889168798,-0.0024171760346013006,-0.0021775645726545296,-0.002822541606190133,0.0011903782520831607,0.001499001451543808,0.0019458509949801543,0.003073399998051639,0.6117520072986377,0.3873164094611157,2.245443110603475,1.8001680124542079,16.25,10.25,0.65,0.41,10,20,10,20,-6.0,-7.75,10.5,TIMEOUT_LOSS,13,14,794,13:00-13:30
2021-05-06 17:41:00+00:00,2021-05-06 18:01:00+00:00,2021-05-05,0.9094552229569572,0.5438644933210814,25.0,1.75,20,17.0,15.89,0.6356,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,13523.25,13525.0,13510.25,13513.0,2342,RTH,-0.0007767277959716121,-0.002069934944738023,-0.002199163726013533,-0.001442014633046992,-0.0014420146330468438,-0.002863505221963712,0.0012221434851539287,0.0014223841194544182,0.0021827436566813976,0.002679465309695699,0.5599115963127126,0.4561146885281843,1.8810059741126999,2.4964873090939514,24.5,13.0,0.98,0.52,17,3,17,3,0.25,-10.25,20.5,TIMEOUT_WIN,13,41,821,13:30-14:00
2021-05-07 16:14:00+00:00,2021-05-07 16:34:00+00:00,2021-05-06,1.0,0.4060447494330501,25.0,1.75,20,14.75,13.64,0.5456,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,13762.75,13763.5,13757.75,13759.5,1458,RTH,-0.00023617255239717346,-0.0007991282662832179,-0.0014161993760831394,-0.0012891864478108996,-0.0021779383540990707,-0.0028303959675017756,0.0007249022637062778,0.0011187150756420531,0.0017383589994043715,0.0026840990158053667,0.4170037742230788,0.27007284732704623,1.0433528862977552,0.875272114360056,21.25,12.5,0.85,0.5,16,2,16,2,-7.75,-10.75,18.25,TIMEOUT_WIN,12,14,734,12:00-12:30
2021-05-07 16:35:00+00:00,2021-05-07 16:55:00+00:00,2021-05-06,1.0,0.426812542153459,25.0,1.75,20,-3.25,-4.359999999999999,-0.1743999999999999,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,13745.0,13745.75,13733.0,13734.25,2148,RTH,-0.0007642199869738801,-0.0005095448782699979,-0.0005459310078814632,-0.001400624143261833,-0.00210928344409027,-0.0029081940630694726,0.0009516526928415612,0.0013674614323299827,0.001801070293571912,0.0026567825084235835,0.5283817606886558,0.35819743988235964,1.675123710170664,1.5396648712593204,15.75,6.25,0.63,0.25,9,20,9,20,-1.25,-4.0,11.75,TIMEOUT_LOSS,12,35,755,12:30-13:00
2021-05-07 18:01:00+00:00,2021-05-07 18:08:00+00:00,2021-05-06,0.7770225312476939,0.5199507511802969,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,7,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,13671.5,13672.75,13662.0,13670.75,3763,RTH,-5.486015234214308e-05,-0.0012427583521003437,-0.0009322135261128652,-0.0022103089729699735,-0.0027028524225224185,-0.002502215856747395,0.0008996179430899646,0.0015976367359718322,0.0020980054950324456,0.0034427629559497254,0.42879675254427874,0.2613069661201216,1.1031999299551163,0.8193759665148287,1.5,27.25,0.06,1.09,1,7,1,7,-8.0,-26.0,-8.0,STOP,14,1,841,14:00-14:30
2021-05-10 17:55:00+00:00,2021-05-10 18:15:00+00:00,2021-05-09,1.0,0.4279803910030373,25.0,1.75,20,43.75,42.64,1.7056,target,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,13472.0,13473.75,13462.75,13463.5,2191,RTH,-0.0006311373675746989,-0.0006311373675746794,-0.0011505986237363341,-0.0014473125195413532,-0.0013731422988508169,-0.003133200557214096,0.0008278935221902063,0.0013759047313594102,0.0018046345730886257,0.0024833254100940266,0.45875964837206323,0.33338100549571537,1.2627624898467544,1.3337147379040104,55.0,21.0,2.2,0.84,20,3,20,3,0.75,-17.25,50.75,TARGET,13,55,835,13:30-14:00
2021-05-17 17:31:00+00:00,2021-05-17 17:51:00+00:00,2021-05-16,0.8767274041889735,0.4062756032754086,25.0,1.75,20,5.25,4.140000000000001,0.1656,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,13209.75,13212.0,13204.25,13207.25,1035,RTH,-0.00020819729607994246,-0.0010027339527741022,-0.0003595862903891521,-7.571312301301038e-05,-0.0008325292339097488,-0.0024766292707078023,0.0007916435077446587,0.0013113662577204485,0.0017390691754081374,0.002435435040250723,0.4552110513711279,0.3250521958750994,1.2433026077424458,1.267907160518688,24.75,22.0,0.99,0.88,10,5,10,5,2.0,-18.75,17.0,TIMEOUT_WIN,13,31,811,13:30-14:00
2021-05-18 15:45:00+00:00,2021-05-18 16:05:00+00:00,2021-05-17,1.0,0.4263236751931703,25.0,1.75,20,-7.0,-8.11,-0.3243999999999999,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,13340.0,13343.25,13330.0,13330.75,2214,RTH,-0.0006749030083141076,-0.00016876845945073887,-0.0010121837790125813,-0.0008248196174809483,-0.0024724206717017605,-0.004173339764785795,0.0009872665525920243,0.0014306523850405742,0.001799771279356984,0.0025590220083105096,0.5485511208650643,0.38579838289230933,1.8054499932139096,1.7860847069078507,4.5,16.75,0.18,0.67,15,4,15,4,-4.5,-15.5,2.0,TIMEOUT_LOSS,11,45,705,11:30-12:00
2021-05-18 18:23:00+00:00,2021-05-18 18:41:00+00:00,2021-05-17,0.8013228570463733,0.4227024384502917,25.0,1.75,20,43.75,42.64,1.7056,target,18,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,13314.75,13317.5,13304.5,13305.0,2389,RTH,-0.0007513148362430663,-0.0014645414660757708,-0.002008503964834668,-0.002121010996642816,-0.0019897515621826014,-0.0022147571882721734,0.001070432166259797,0.0013080818006294857,0.0017885543125262015,0.002206622563908625,0.5984901653603631,0.4850998008303349,2.1491428681984495,2.8238618011875665,54.75,9.25,2.19,0.37,18,5,18,5,-3.0,-8.0,52.5,TARGET,14,23,863,14:00-14:30
2021-05-18 19:50:00+00:00,2021-05-18 19:59:00+00:00,2021-05-17,0.760319988741285,0.4835030033632236,25.0,1.75,20,43.75,42.64,1.7056,target,9,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,13259.25,13260.0,13244.25,13251.25,3642,RTH,-0.0006035344669347316,-0.0018283435969595713,-0.0028447377442004495,-0.0034465582693985948,-0.00367214762253773,-0.0023366698027073207,0.0013604928720249668,0.0016588988463937346,0.001978001628016294,0.0024633461673675538,0.6878118059940038,0.5522946348538795,2.838510482788398,3.660352364260562,47.5,7.25,1.9,0.29,9,1,9,1,-3.75,-3.75,38.75,TARGET,15,50,950,15:30-16:00
