sample,trades,original_total_R,strategy_total_R,delta_R,original_mean_R,strategy_mean_R,delta_mean_R,original_win_rate,strategy_win_rate,delta_win_rate,original_PF,strategy_PF,original_max_DD,strategy_max_DD,delta_max_DD,model_trades,recovered,failed_recovery,changed_trades
FULL_DATASET,537,23.257200000000015,49.26520000000001,26.007999999999992,0.04330949720670394,0.09174152700186221,0.04843202979515827,0.4543761638733706,0.5065176908752328,0.0521415270018622,1.0958786193795425,1.2375600347188738,-16.793599999999984,-16.581599999999987,0.2119999999999962,195,46,149,195
DEVELOPMENT,320,7.812000000000005,14.920000000000003,7.107999999999999,0.024412500000000014,0.046625000000000014,0.0222125,0.453125,0.484375,0.03125,1.0606804411993167,1.1271310642881003,-14.59959999999999,-16.581599999999987,-1.9819999999999975,95,19,76,95
HOLDOUT_OOS,217,15.445200000000009,34.345200000000006,18.9,0.07117603686635948,0.15827281105990787,0.08709677419354839,0.45622119815668205,0.5391705069124424,0.08294930875576034,1.135687503733665,1.381525158630006,-12.029199999999982,-7.7644000000000055,4.264799999999976,100,27,73,100
