mae_threshold,trades,wins,losses,win_rate,mean_final_R
0.6,195,47,148,0.24102564102564103,-0.6827692307692307
0.7,195,47,148,0.24102564102564103,-0.6827692307692307
0.75,195,47,148,0.24102564102564103,-0.6827692307692307
0.8,186,40,146,0.21505376344086022,-0.7473655913978495
0.85,175,36,139,0.2057142857142857,-0.8077714285714284
0.9,166,31,135,0.18674698795180722,-0.8566265060240963
0.95,157,27,130,0.17197452229299362,-0.9208917197452229
1.0,147,21,126,0.14285714285714285,-1.0277551020408162
