filter,trades,wins,losses,win_rate,mean_R,median_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak,windows_with_trades,positive_windows,positive_window_pct,mean_window_R,worst_window_R,best_window_R
BASELINE,537,244,293,0.4543761638733706,0.04330949720670394,-0.2043999999999999,23.257200000000015,1.0958786193795425,-16.793599999999984,9,22,13,0.5909090909090909,1.057145454545455,-12.893999999999998,14.166400000000003
VOL_40_60,537,244,293,0.4543761638733706,0.04330949720670394,-0.2043999999999999,23.257200000000015,1.0958786193795425,-16.793599999999984,9,22,13,0.5909090909090909,1.057145454545455,-12.893999999999998,14.166400000000003
EXCLUDE_10_00_10_30,517,233,284,0.4506769825918762,0.04134468085106387,-0.2143999999999999,21.37520000000002,1.0913042438242606,-14.840399999999981,9,22,12,0.5454545454545454,0.9716000000000009,-12.891999999999996,13.234000000000002
entry_past_return_15_BOTTOM25,135,63,72,0.4666666666666667,0.13893333333333338,-0.0944,18.756000000000007,1.310649123504393,-9.353599999999995,6,17,12,0.7058823529411765,1.1032941176470592,-5.176,7.754000000000001
entry_vol_ratio_5_60_TOP25,135,62,73,0.45925925925925926,0.11256296296296298,-0.2143999999999999,15.196000000000002,1.2392272186293716,-9.624799999999986,5,13,5,0.38461538461538464,1.168923076923077,-2.173199999999999,12.9064
entry_variance_ratio_5_60_TOP25,135,62,73,0.45925925925925926,0.11256296296296298,-0.2143999999999999,15.196000000000002,1.2392272186293716,-9.624799999999986,5,13,5,0.38461538461538464,1.168923076923077,-2.173199999999999,12.9064
entry_past_return_5_BOTTOM25,135,64,71,0.4740740740740741,0.11093333333333336,-0.1244,14.976000000000003,1.233334995263499,-7.894399999999999,7,14,6,0.42857142857142855,1.0697142857142858,-4.053199999999999,12.498800000000001
entry_vol_ratio_5_60_BOTTOM25,135,67,68,0.4962962962962963,0.09500740740740743,-0.0343999999999999,12.826000000000002,1.2456184698348498,-12.579199999999995,11,15,9,0.6,0.8550666666666672,-4.708,5.4132000000000025
entry_variance_ratio_5_60_BOTTOM25,135,67,68,0.4962962962962963,0.09500740740740743,-0.0343999999999999,12.826000000000002,1.2456184698348498,-12.579199999999995,11,15,9,0.6,0.8550666666666672,-4.708,5.4132000000000025
entry_vol_ratio_5_30_TOP25,135,63,72,0.4666666666666667,0.09382222222222222,-0.2143999999999999,12.666,1.1995374688075018,-6.630399999999993,6,14,7,0.5,0.9047142857142857,-2.5816,9.452000000000002
entry_variance_ratio_5_30_TOP25,135,63,72,0.4666666666666667,0.09382222222222222,-0.2143999999999999,12.666,1.1995374688075018,-6.630399999999993,6,14,7,0.5,0.9047142857142857,-2.5816,9.452000000000002
EXCLUDE_10_00_10_30_14_30_PLUS,416,187,229,0.4495192307692308,0.0262490384615385,-0.2443999999999999,10.919600000000017,1.057231327857374,-20.09199999999997,8,22,11,0.5,0.4963454545454553,-11.643199999999998,12.462399999999999
VOL_40_60_AND_13_00_14_30,145,69,76,0.47586206896551725,0.07180689655172415,-0.2443999999999999,10.412,1.1627780452876915,-10.139199999999995,6,16,9,0.5625,0.6507500000000002,-3.932,4.4916
TIME_13:00-14:30,145,69,76,0.47586206896551725,0.07180689655172415,-0.2443999999999999,10.412,1.1627780452876915,-10.139199999999995,6,16,9,0.5625,0.6507500000000002,-3.932,4.4916
TIME_14:30-15:30,59,27,32,0.4576271186440678,0.1667864406779661,-0.0944,9.8404,1.4394840738160315,-5.9936,6,13,7,0.5384615384615384,0.7569538461538463,-3.6264,11.3628
TIME_10:30-11:30,70,34,36,0.4857142857142857,0.10074285714285722,-0.11439999999999989,7.052000000000005,1.2312252446029952,-6.5844,5,15,7,0.4666666666666667,0.47013333333333324,-3.2359999999999998,3.4112
TIME_09:30-10:00,55,24,31,0.43636363636363634,0.10050909090909095,-0.8144,5.528000000000002,1.1842273648288368,-7.289199999999994,7,14,7,0.5,0.39485714285714313,-3.1332,9.422800000000002
entry_past_return_10_TOP25,135,63,72,0.4666666666666667,0.03671111111111113,-0.1543999999999999,4.956000000000003,1.0899834413037792,-9.155199999999997,7,16,5,0.3125,0.3097500000000002,-5.6396,9.6944
entry_past_return_30_BOTTOM25,135,63,72,0.4666666666666667,0.03515555555555556,-0.1843999999999999,4.746,1.0810633544446493,-11.346399999999996,5,19,10,0.5263157894736842,0.2497894736842105,-6.0004,7.9196
entry_past_return_10_BOTTOM25,135,56,79,0.4148148148148148,0.02834074074074077,-0.4244,3.826000000000004,1.054588828837056,-7.5956,6,18,9,0.5,0.2125555555555556,-5.422800000000001,5.6596
entry_past_return_15_TOP25,135,62,73,0.45925925925925926,0.028118518518518567,-0.1244,3.7960000000000065,1.065210818536639,-8.9424,6,15,9,0.6,0.2530666666666666,-6.5804,4.218400000000001
QUALITY_BOTTOM25,135,56,79,0.4148148148148148,0.025970370370370383,-0.2244,3.5060000000000016,1.056991820227057,-11.387999999999998,8,22,11,0.5,0.15936363636363637,-6.0196000000000005,6.0948
entry_vol_ratio_5_30_BOTTOM25,135,62,73,0.45925925925925926,0.017081481481481475,-0.1543999999999999,2.305999999999999,1.0402294439055706,-11.589999999999993,8,17,8,0.47058823529411764,0.1356470588235295,-2.6192,5.3132
entry_variance_ratio_5_30_BOTTOM25,135,62,73,0.45925925925925926,0.017081481481481475,-0.1543999999999999,2.305999999999999,1.0402294439055706,-11.589999999999993,8,17,8,0.47058823529411764,0.1356470588235295,-2.6192,5.3132
entry_past_return_30_TOP25,135,61,74,0.45185185185185184,0.016044444444444462,-0.3243999999999999,2.166000000000002,1.034112599928184,-9.973999999999982,6,8,4,0.5,0.27075000000000027,-4.3755999999999995,9.5932
TIME_10:00-10:30,20,11,9,0.55,0.09409999999999999,0.08059999999999999,1.8819999999999997,1.2224691474774223,-4.504,4,8,4,0.5,0.23524999999999996,-3.1332,1.8123999999999998
TIME_15:30-16:00,42,19,23,0.4523809523809524,0.014647619047619062,-0.20439999999999997,0.6152000000000006,1.0294055790298837,-6.202799999999998,6,11,6,0.5454545454545454,0.05592727272727274,-3.1332,4.0724
VOL_60_80,0,0,0,,,,0.0,,,0,0,0,,,,
VOL_60_80_AND_13_00_14_30,0,0,0,,,,0.0,,,0,0,0,,,,
entry_past_return_5_TOP25,135,58,77,0.42962962962962964,-0.0027703703703703415,-0.1543999999999999,-0.3739999999999961,0.9934361552015836,-10.662399999999995,7,16,7,0.4375,-0.023374999999999813,-4.5952,4.0716
QUALITY_TOP25,146,64,82,0.4383561643835616,-0.009673972602739719,-0.3243999999999999,-1.412399999999999,0.9794113188184396,-11.1512,7,12,5,0.4166666666666667,-0.11769999999999986,-5.3308,3.918400000000001
TIME_11:30-13:00,120,51,69,0.425,-0.051399999999999994,-0.26439999999999997,-6.167999999999999,0.8901779800440139,-13.191199999999997,10,15,7,0.4666666666666667,-0.4111999999999997,-9.257199999999997,7.3364
