mae_boundary_R,trades_reaching_boundary,finished_positive,finished_negative,post_boundary_failure_pct,post_boundary_survival_pct,mean_final_R,total_final_R,mean_crossing_bar
0.7,195,47,148,0.7589743589743589,0.24102564102564103,-0.6827692307692307,-133.14,3.805128205128205
0.75,195,47,148,0.7589743589743589,0.24102564102564103,-0.6827692307692307,-133.14,4.097435897435897
0.8,186,40,146,0.7849462365591398,0.21505376344086022,-0.7473655913978495,-139.01000000000002,4.811827956989247
0.85,175,36,139,0.7942857142857143,0.2057142857142857,-0.8077714285714284,-141.35999999999996,5.577142857142857
0.9,166,31,135,0.8132530120481928,0.18674698795180722,-0.8566265060240963,-142.2,5.9156626506024095
0.95,157,27,130,0.8280254777070064,0.17197452229299362,-0.9208917197452229,-144.57999999999998,6.369426751592357
1.0,147,21,126,0.8571428571428571,0.14285714285714285,-1.0277551020408162,-151.07999999999998,7.040816326530612
