attribution,trades,original_total_R,strategy_total_R,delta_R,mean_delta_R
LOSING_TRADE_IMPROVED,112,-109.27279999999996,-35.300000000000004,73.97279999999999,0.6604714285714285
LOSING_TRADE_WORSENED,56,-54.68639999999999,-79.11,-24.4236,-0.4361357142857143
UNCHANGED_LOSS,125,-78.60999999999999,-78.60999999999999,0.0,0.0
UNCHANGED_WIN,217,236.76520000000005,236.76520000000005,0.0,0.0
WINNING_TRADE_IMPROVED,3,0.42679999999999996,1.4,0.9732000000000001,0.3244
WINNING_TRADE_WORSENED,24,28.6344,4.12,-24.514400000000002,-1.0214333333333334
