mae_threshold,horizon,recovery_level,development_difference,development_reached_pct,development_reached_wr,holdout_difference,holdout_reached_pct,holdout_reached_wr
0.6,1,-0.5,,0.4631578947368421,0.3181818181818182,,0.48,0.3125
0.6,1,-0.4,,0.2736842105263158,0.3076923076923077,,0.3,0.4
0.6,1,-0.3,,0.15789473684210525,0.3333333333333333,,0.21,0.38095238095238093
0.6,1,-0.2,,0.12631578947368421,0.3333333333333333,,0.11,0.6363636363636364
0.6,2,-0.5,,0.5368421052631579,0.29411764705882354,,0.59,0.3220338983050847
0.6,2,-0.4,,0.3894736842105263,0.32432432432432434,,0.46,0.391304347826087
0.6,2,-0.3,,0.24210526315789474,0.30434782608695654,,0.37,0.32432432432432434
0.6,2,-0.2,,0.17894736842105263,0.29411764705882354,,0.27,0.4074074074074074
0.6,3,-0.5,,0.6,0.2982456140350877,,0.63,0.3492063492063492
0.6,3,-0.4,,0.47368421052631576,0.3111111111111111,,0.51,0.39215686274509803
0.6,3,-0.3,,0.3684210526315789,0.37142857142857144,,0.46,0.34782608695652173
0.6,3,-0.2,,0.29473684210526313,0.42857142857142855,,0.34,0.4411764705882353
0.6,3,-0.1,,0.2,0.47368421052631576,,0.29,0.5172413793103449
0.6,3,0.0,,0.15789473684210525,0.6,,0.2,0.5
0.6,4,-0.5,,0.631578947368421,0.31666666666666665,,0.68,0.3382352941176471
0.6,4,-0.4,,0.4842105263157895,0.32608695652173914,,0.54,0.4074074074074074
0.6,4,-0.3,,0.37894736842105264,0.3611111111111111,,0.5,0.38
0.6,4,-0.2,,0.3473684210526316,0.3939393939393939,,0.39,0.4358974358974359
0.6,4,-0.1,,0.2631578947368421,0.48,,0.33,0.48484848484848486
0.6,4,0.0,,0.2,0.5789473684210527,,0.26,0.5
0.6,4,0.1,,0.14736842105263157,0.6428571428571429,,0.22,0.45454545454545453
0.6,4,0.2,,0.1368421052631579,0.6923076923076923,,0.18,0.5555555555555556
0.6,4,0.3,,0.10526315789473684,0.7,,0.12,0.6666666666666666
0.6,5,-0.5,,0.6526315789473685,0.3064516129032258,,0.71,0.3380281690140845
0.6,5,-0.4,,0.5157894736842106,0.32653061224489793,,0.56,0.4107142857142857
0.6,5,-0.3,,0.42105263157894735,0.375,,0.52,0.38461538461538464
0.6,5,-0.2,,0.3894736842105263,0.40540540540540543,,0.43,0.4418604651162791
0.6,5,-0.1,,0.30526315789473685,0.4482758620689655,,0.37,0.4864864864864865
0.6,5,0.0,,0.25263157894736843,0.5,,0.29,0.5172413793103449
0.6,5,0.1,,0.18947368421052632,0.5,,0.24,0.4583333333333333
0.6,5,0.2,,0.16842105263157894,0.5625,,0.2,0.55
0.6,5,0.3,,0.1368421052631579,0.6153846153846154,,0.14,0.7142857142857143
0.6,5,0.4,,0.11578947368421053,0.5454545454545454,,0.13,0.6923076923076923
0.6,6,-0.5,,0.6631578947368421,0.30158730158730157,,0.76,0.34210526315789475
0.6,6,-0.4,,0.5578947368421052,0.32075471698113206,,0.63,0.4126984126984127
0.6,6,-0.3,,0.4421052631578947,0.38095238095238093,,0.57,0.40350877192982454
0.6,6,-0.2,,0.4105263157894737,0.38461538461538464,,0.49,0.46938775510204084
0.6,6,-0.1,,0.3473684210526316,0.45454545454545453,,0.4,0.475
0.6,6,0.0,,0.28421052631578947,0.48148148148148145,,0.34,0.5
0.6,6,0.1,,0.22105263157894736,0.5238095238095238,,0.28,0.5
0.6,6,0.2,,0.18947368421052632,0.5555555555555556,,0.26,0.5384615384615384
0.6,6,0.3,,0.1368421052631579,0.6153846153846154,,0.17,0.7058823529411765
0.6,6,0.4,,0.11578947368421053,0.5454545454545454,,0.15,0.7333333333333333
0.6,8,-0.5,,0.6842105263157895,0.2923076923076923,,0.77,0.33766233766233766
0.6,8,-0.4,,0.6105263157894737,0.3103448275862069,,0.64,0.40625
0.6,8,-0.3,,0.49473684210526314,0.3829787234042553,,0.61,0.39344262295081966
0.6,8,-0.2,,0.4421052631578947,0.42857142857142855,,0.54,0.4444444444444444
0.6,8,-0.1,,0.37894736842105264,0.5,,0.47,0.46808510638297873
0.6,8,0.0,,0.3263157894736842,0.5161290322580645,,0.39,0.48717948717948717
0.6,8,0.1,,0.2736842105263158,0.5384615384615384,,0.35,0.45714285714285713
