year,trades,total_R,mean_R,win_rate,profit_factor,max_drawdown_R,gross_profit_R,gross_loss_R,contribution_pct
2024,89,13.678800000000003,0.15369438202247193,0.5393258426966292,1.3728371910467612,-5.1532,50.3672,36.6884,39.827399461933545
2025,38,10.974400000000001,0.2888,0.6052631578947368,1.8785986486053734,-5.576399999999998,23.4652,12.4908,31.9532278164052
2026,90,9.692,0.10768888888888889,0.5111111111111111,1.237307059468777,-7.7644,50.5336,40.8416,28.219372721661244
