mae_threshold,deadline,recovery_level,trades,mae_triggered,recovered,failed,no_mae,recovery_rate,recovered_win_rate,failed_win_rate,win_rate_separation,recovered_mean_R,failed_mean_R,mean_R_separation,recovered_total_R,failed_total_R,recovered_PF,failed_PF
0.9,5,-0.5,100,92,47,45,8,0.5108695652173914,0.3404255319148936,0.1111111111111111,0.2293144208037825,-0.3029787234042553,-1.2646666666666668,0.9616879432624115,-14.24,-56.910000000000004,0.5969431078403624,0.09709662065683008
0.9,5,-0.4,100,92,37,55,8,0.40217391304347827,0.40540540540540543,0.10909090909090909,0.29631449631449636,-0.13135135135135134,-1.2052727272727275,1.0739213759213762,-4.859999999999999,-66.29,0.806374501992032,0.09514059514059515
0.9,5,-0.3,100,92,31,61,8,0.33695652173913043,0.45161290322580644,0.11475409836065574,0.3368588048651507,-0.03774193548387094,-1.1472131147540983,1.1094711792702274,-1.1699999999999993,-69.97999999999999,0.9444708115804464,0.0945788588433174
0.9,5,-0.2,100,92,29,63,8,0.31521739130434784,0.4827586206896552,0.1111111111111111,0.3716475095785441,0.011379310344827582,-1.1346031746031746,1.1459824849480023,0.32999999999999985,-71.48,1.016862544711293,0.09277827135423278
0.9,5,-0.1,100,92,27,65,8,0.29347826086956524,0.48148148148148145,0.12307692307692308,0.35840455840455837,0.04148148148148151,-1.1118461538461537,1.1533276353276352,1.1200000000000008,-72.27,1.0601826974744764,0.09379310344827585
0.9,5,0.0,100,92,24,68,8,0.2608695652173913,0.5416666666666666,0.11764705882352941,0.4240196078431372,0.14708333333333337,-1.098235294117647,1.2453186274509804,3.530000000000001,-74.67999999999999,1.2179012345679014,0.09104186952288218
0.9,5,0.1,100,92,18,74,8,0.1956521739130435,0.5,0.16216216216216217,0.33783783783783783,0.36944444444444435,-1.0513513513513513,1.4207957957957955,6.649999999999999,-77.8,1.703703703703704,0.12495782251715218
0.9,5,0.2,100,92,17,75,8,0.18478260869565216,0.5294117647058824,0.16,0.36941176470588233,0.4105882352941176,-1.0417333333333332,1.4523215686274509,6.979999999999999,-78.13,1.7653508771929824,0.12449574181981174
0.9,5,0.3,100,92,12,80,8,0.13043478260869565,0.5833333333333334,0.175,0.4083333333333334,0.8366666666666666,-1.0148750000000002,1.8515416666666669,10.04,-81.19000000000001,3.4487804878048784,0.13865902821981752
0.9,5,0.4,100,92,10,82,8,0.10869565217391304,0.6,0.18292682926829268,0.4170731707317073,0.984,-0.9876829268292684,1.9716829268292684,9.84,-80.99000000000001,3.703296703296704,0.14495354729729729
