rank,year,total_R,contribution_to_total_pct,share_of_positive_year_R_pct
1,2024,13.678800000000003,39.827399461933545,39.827399461933545
2,2025,10.974400000000001,31.9532278164052,31.9532278164052
3,2026,9.692,28.219372721661244,28.219372721661244
