feature,bucket,trades,mean_R,median_R,total_R,win_rate
early_1_MFE_R,"(-0.031, 0.06]",121,-0.3137388429752066,-0.8244,-37.962399999999995,0.2727272727272727
early_1_MFE_R,"(0.06, 0.13]",99,-0.04248080808080807,-0.2443999999999999,-4.205599999999999,0.46464646464646464
early_1_MFE_R,"(0.13, 0.26]",114,0.004371929824561422,-0.1194,0.49840000000000206,0.4649122807017544
early_1_MFE_R,"(0.26, 0.44]",97,0.07941443298969073,-0.0644,7.703200000000001,0.4948453608247423
early_1_MFE_R,"(0.44, 1.46]",106,0.5398452830188679,0.6206,57.223600000000005,0.6037735849056604
early_1_MAE_R,"(-0.081, 0.08]",116,0.44999655172413794,0.3006,52.199600000000004,0.603448275862069
early_1_MAE_R,"(0.08, 0.17]",104,0.17127307692307692,0.1006,17.8124,0.5288461538461539
early_1_MAE_R,"(0.17, 0.27]",109,-0.003023853211009161,-0.1843999999999999,-0.32959999999999856,0.44954128440366975
early_1_MAE_R,"(0.27, 0.39]",101,-0.021528712871287114,-0.3544,-2.1743999999999986,0.44554455445544555
early_1_MAE_R,"(0.39, 1.21]",107,-0.4135588785046729,-1.0444,-44.2508,0.2336448598130841
early_1_close_R,"(-0.941, -0.24]",112,-0.4827035714285714,-1.0444,-54.062799999999996,0.21428571428571427
early_1_close_R,"(-0.24, -0.076]",103,-0.10692427184466019,-0.4144,-11.0132,0.4077669902912621
early_1_close_R,"(-0.076, 0.06]",111,0.138572972972973,0.0056,15.381600000000002,0.5045045045045045
early_1_close_R,"(0.06, 0.25]",105,0.15302857142857143,0.0556,16.068,0.5428571428571428
early_1_close_R,"(0.25, 1.3]",106,0.5366377358490566,0.5756,56.8836,0.6132075471698113
early_1_range_R,"(0.069, 0.312]",108,0.06356296296296299,-0.04939999999999995,6.8648000000000025,0.48148148148148145
early_1_range_R,"(0.312, 0.41]",109,-0.040363302752293564,-0.2244,-4.399599999999999,0.44036697247706424
early_1_range_R,"(0.41, 0.52]",109,0.09807706422018349,-0.0544,10.6904,0.48623853211009177
early_1_range_R,"(0.52, 0.716]",103,-0.01847766990291261,-0.6644,-1.9031999999999991,0.42718446601941745
early_1_range_R,"(0.716, 1.85]",108,0.11115555555555556,-0.6494,12.004800000000001,0.4351851851851852
early_1_favorable,"(-0.001, 1.0]",537,0.04330949720670393,-0.2043999999999999,23.257200000000008,0.4543761638733706
early_2_MFE_R,"(-0.031, 0.09]",115,-0.4364,-1.0444,-50.186,0.24347826086956523
early_2_MFE_R,"(0.09, 0.22]",115,-0.10292173913043477,-0.3243999999999999,-11.835999999999999,0.4
early_2_MFE_R,"(0.22, 0.34]",96,-0.07919166666666666,-0.1793999999999999,-7.602399999999999,0.4583333333333333
early_2_MFE_R,"(0.34, 0.61]",104,0.1759846153846154,-0.04439999999999995,18.302400000000002,0.49038461538461536
early_2_MFE_R,"(0.61, 3.04]",107,0.6970018691588785,1.7056,74.5792,0.7009345794392523
early_2_MAE_R,"(-0.081, 0.12]",112,0.5264928571428571,0.3456,58.9672,0.6517857142857143
early_2_MAE_R,"(0.12, 0.24]",111,0.21911351351351355,0.1256,24.321600000000004,0.5405405405405406
early_2_MAE_R,"(0.24, 0.36]",103,0.1797747572815534,0.1256,18.5168,0.5339805825242718
early_2_MAE_R,"(0.36, 0.54]",104,-0.20709230769230766,-0.8294,-21.537599999999998,0.34615384615384615
early_2_MAE_R,"(0.54, 1.52]",107,-0.5328112149532711,-1.0444,-57.0108,0.18691588785046728
early_2_close_R,"(-1.1709999999999998, -0.368]",108,-0.6723629629629629,-1.0444,-72.6152,0.14814814814814814
early_2_close_R,"(-0.368, -0.12]",113,-0.1514796460176991,-0.4144,-17.117199999999997,0.36283185840707965
early_2_close_R,"(-0.12, 0.09]",103,0.03676504854368933,0.0056,3.7868000000000013,0.5048543689320388
early_2_close_R,"(0.09, 0.33]",106,0.2980528301886793,0.1306,31.593600000000002,0.5849056603773585
early_2_close_R,"(0.33, 2.66]",107,0.7253196261682243,1.2456,77.6092,0.6822429906542056
early_2_range_R,"(0.179, 0.45]",109,0.09945321100917431,-0.0343999999999999,10.8404,0.48623853211009177
early_2_range_R,"(0.45, 0.57]",108,-0.0017148148148148027,-0.10439999999999999,-0.1851999999999987,0.46296296296296297
early_2_range_R,"(0.57, 0.73]",109,-0.15063853211009173,-0.5144,-16.4196,0.3944954128440367
early_2_range_R,"(0.73, 0.99]",108,0.005137037037037041,-0.7243999999999999,0.5548000000000004,0.42592592592592593
early_2_range_R,"(0.99, 3.09]",103,0.2763766990291262,0.1256,28.4668,0.5048543689320388
early_2_favorable,"(-0.001, 1.0]",537,0.04330949720670393,-0.2043999999999999,23.257200000000008,0.4543761638733706
early_3_MFE_R,"(-0.031, 0.11]",117,-0.48508376068376063,-1.0444,-56.754799999999996,0.20512820512820512
early_3_MFE_R,"(0.11, 0.25]",100,-0.26489999999999997,-0.4144,-26.49,0.35
early_3_MFE_R,"(0.25, 0.44]",106,-0.07609811320754716,-0.23439999999999994,-8.066399999999998,0.4528301886792453
early_3_MFE_R,"(0.44, 0.71]",108,0.27763703703703707,0.2106,29.984800000000003,0.5740740740740741
early_3_MFE_R,"(0.71, 4.23]",106,0.7979584905660377,1.7056,84.5836,0.7075471698113207
early_3_MAE_R,"(-0.081, 0.15]",114,0.5904245614035089,0.49060000000000004,67.3084,0.6929824561403509
early_3_MAE_R,"(0.15, 0.29]",109,0.3398201834862385,0.2856,37.0404,0.5963302752293578
early_3_MAE_R,"(0.29, 0.436]",99,0.09721616161616163,-0.2043999999999999,9.624400000000001,0.46464646464646464
early_3_MAE_R,"(0.436, 0.69]",110,-0.20185454545454543,-0.5593999999999999,-22.203999999999997,0.34545454545454546
early_3_MAE_R,"(0.69, 2.15]",105,-0.6524952380952381,-1.0444,-68.512,0.1523809523809524
early_3_close_R,"(-2.061, -0.42]",110,-0.7472181818181819,-1.0444,-82.194,0.10909090909090909
early_3_close_R,"(-0.42, -0.14]",111,-0.10169729729729729,-0.4044,-11.2884,0.38738738738738737
early_3_close_R,"(-0.14, 0.09]",103,-0.12158446601941747,-0.3544,-12.5232,0.39805825242718446
early_3_close_R,"(0.09, 0.4]",107,0.32354392523364484,0.2356,34.6192,0.6261682242990654
early_3_close_R,"(0.4, 3.41]",106,0.8928641509433963,1.7056,94.6436,0.7641509433962265
early_3_range_R,"(0.189, 0.56]",110,0.07023636363636364,0.0056,7.726000000000001,0.509090909090909
early_3_range_R,"(0.56, 0.72]",120,-0.1217333333333333,-0.26439999999999997,-14.607999999999997,0.38333333333333336
early_3_range_R,"(0.72, 0.9]",94,-0.07652765957446808,-0.25939999999999996,-7.193599999999999,0.44680851063829785
early_3_range_R,"(0.9, 1.15]",106,0.03522264150943397,-0.6194,3.733600000000001,0.42452830188679247
early_3_range_R,"(1.15, 4.28]",107,0.31401121495327106,0.3156,33.5992,0.514018691588785
early_3_favorable,"(-0.001, 1.0]",537,0.04330949720670393,-0.2043999999999999,23.257200000000008,0.4543761638733706
early_5_MFE_R,"(-0.031, 0.14]",112,-0.59315,-1.0444,-66.4328,0.16964285714285715
early_5_MFE_R,"(0.14, 0.314]",103,-0.2510019417475728,-0.5444,-25.853199999999998,0.36893203883495146
early_5_MFE_R,"(0.314, 0.55]",109,-0.17972110091743115,-0.3544,-19.589599999999997,0.3944954128440367
