feature,bucket,trades,mean_R,median_R,total_R,win_rate
early_5_MFE_R,"(0.55, 0.948]",105,0.3074095238095238,0.2256,32.278,0.580952380952381
early_5_MFE_R,"(0.948, 4.23]",108,0.9523592592592592,1.7056,102.8548,0.7685185185185185
early_5_MAE_R,"(-0.021, 0.182]",108,0.7211555555555555,0.7406,77.8848,0.7314814814814815
early_5_MAE_R,"(0.182, 0.38]",111,0.46541981981981984,0.3756,51.6616,0.6666666666666666
early_5_MAE_R,"(0.38, 0.56]",104,0.05973461538461541,-0.21439999999999992,6.212400000000002,0.4519230769230769
early_5_MAE_R,"(0.56, 0.84]",109,-0.2632073394495413,-0.7044,-28.6896,0.29357798165137616
early_5_MAE_R,"(0.84, 3.86]",105,-0.7982095238095238,-1.0444,-83.812,0.11428571428571428
early_5_close_R,"(-3.671, -0.518]",108,-0.8130111111111111,-1.0444,-87.8052,0.1111111111111111
early_5_close_R,"(-0.518, -0.21]",110,-0.30803636363636366,-0.5444,-33.884,0.3090909090909091
early_5_close_R,"(-0.21, 0.13]",105,-0.04239999999999998,-0.2443999999999999,-4.451999999999998,0.42857142857142855
early_5_close_R,"(0.13, 0.52]",107,0.2769084112149533,0.2256,29.6292,0.5794392523364486
early_5_close_R,"(0.52, 3.83]",107,1.1193383177570093,1.7056,119.7692,0.8504672897196262
early_5_range_R,"(0.259, 0.71]",110,-0.06803636363636362,-0.10439999999999999,-7.483999999999997,0.43636363636363634
early_5_range_R,"(0.71, 0.904]",105,0.031980952380952395,-0.0644,3.3580000000000014,0.4666666666666667
early_5_range_R,"(0.904, 1.15]",111,-0.024490090090090077,-0.3444,-2.7183999999999986,0.44144144144144143
early_5_range_R,"(1.15, 1.46]",105,-0.09373333333333332,-1.0444,-9.841999999999999,0.4095238095238095
early_5_range_R,"(1.46, 4.28]",106,0.3768264150943397,1.1256,39.9436,0.5188679245283019
early_5_favorable,"(-0.001, 1.0]",537,0.04330949720670393,-0.2043999999999999,23.257200000000008,0.4543761638733706
early_8_MFE_R,"(-0.031, 0.182]",108,-0.6855111111111112,-1.0444,-74.0352,0.12037037037037036
early_8_MFE_R,"(0.182, 0.4]",109,-0.39678532110091747,-0.8144,-43.2496,0.3211009174311927
early_8_MFE_R,"(0.4, 0.66]",107,-0.11215700934579438,-0.4044,-12.000799999999998,0.411214953271028
early_8_MFE_R,"(0.66, 1.23]",108,0.22310000000000002,0.1456,24.094800000000003,0.5833333333333334
early_8_MFE_R,"(1.23, 5.0]",105,1.2233142857142858,1.7056,128.448,0.8476190476190476
early_8_MAE_R,"(-0.021, 0.22]",111,0.8092036036036037,0.8556,89.8216,0.7747747747747747
early_8_MAE_R,"(0.22, 0.444]",104,0.5330038461538462,0.4906,55.4324,0.6634615384615384
early_8_MAE_R,"(0.444, 0.69]",109,0.12926972477064222,-0.0343999999999999,14.090400000000002,0.48623853211009177
early_8_MAE_R,"(0.69, 0.978]",105,-0.2956380952380952,-0.7644,-31.041999999999998,0.3142857142857143
early_8_MAE_R,"(0.978, 5.75]",108,-0.9726407407407407,-1.0444,-105.0452,0.027777777777777776
early_8_close_R,"(-5.171, -0.58]",111,-0.9194450450450451,-1.0444,-102.0584,0.04504504504504504
early_8_close_R,"(-0.58, -0.21]",105,-0.5043047619047619,-0.8244,-52.952,0.21904761904761905
early_8_close_R,"(-0.21, 0.18]",109,-0.025776146788990806,-0.1144,-2.809599999999998,0.45871559633027525
early_8_close_R,"(0.18, 0.708]",104,0.4458884615384615,0.3156,46.3724,0.6730769230769231
early_8_close_R,"(0.708, 3.99]",108,1.2472666666666667,1.7056,134.7048,0.8888888888888888
early_8_range_R,"(0.349, 0.86]",109,-0.10109724770642199,-0.1843999999999999,-11.019599999999997,0.42201834862385323
early_8_range_R,"(0.86, 1.11]",107,-0.12271775700934578,-0.3044,-13.130799999999999,0.411214953271028
early_8_range_R,"(1.11, 1.42]",108,-0.15115925925925924,-0.4094,-16.3252,0.4166666666666667
early_8_range_R,"(1.42, 1.82]",106,0.026826415094339633,-0.7794,2.8436000000000012,0.4339622641509434
early_8_range_R,"(1.82, 5.77]",107,0.5690579439252337,1.7056,60.8892,0.5887850467289719
early_8_favorable,"(-0.001, 1.0]",537,0.04330949720670393,-0.2043999999999999,23.257200000000008,0.4543761638733706
