mae_threshold_R,decision_bar,outcome,trades,pct
0.85,12,LOSS,148,0.9024390243902439
0.85,12,WIN,16,0.0975609756097561
0.85,14,LOSS,151,0.9041916167664671
0.85,14,WIN,16,0.09580838323353294
0.9,1,LOSS,7,0.875
0.9,1,WIN,1,0.125
0.9,2,LOSS,30,0.9375
0.9,2,WIN,2,0.0625
0.9,3,LOSS,48,0.9230769230769231
0.9,3,WIN,4,0.07692307692307693
0.9,4,LOSS,70,0.9333333333333333
0.9,4,WIN,5,0.06666666666666667
0.9,5,LOSS,85,0.9139784946236559
0.9,5,WIN,8,0.08602150537634409
0.9,6,LOSS,101,0.9181818181818182
0.9,6,WIN,9,0.08181818181818182
0.9,7,LOSS,111,0.9173553719008265
0.9,7,WIN,10,0.08264462809917356
0.9,8,LOSS,128,0.927536231884058
0.9,8,WIN,10,0.07246376811594203
0.9,10,LOSS,136,0.9251700680272109
0.9,10,WIN,11,0.07482993197278912
0.9,12,LOSS,142,0.9281045751633987
0.9,12,WIN,11,0.0718954248366013
0.9,14,LOSS,146,0.9299363057324841
0.9,14,WIN,11,0.07006369426751592
0.95,1,LOSS,7,0.875
0.95,1,WIN,1,0.125
0.95,2,LOSS,24,0.9230769230769231
0.95,2,WIN,2,0.07692307692307693
0.95,3,LOSS,41,0.9111111111111111
0.95,3,WIN,4,0.08888888888888889
0.95,4,LOSS,60,0.9375
0.95,4,WIN,4,0.0625
0.95,5,LOSS,76,0.926829268292683
0.95,5,WIN,6,0.07317073170731707
0.95,6,LOSS,92,0.9387755102040817
0.95,6,WIN,6,0.061224489795918366
0.95,7,LOSS,100,0.9345794392523364
0.95,7,WIN,7,0.06542056074766354
0.95,8,LOSS,113,0.9416666666666667
0.95,8,WIN,7,0.058333333333333334
0.95,10,LOSS,127,0.9477611940298507
0.95,10,WIN,7,0.05223880597014925
0.95,12,LOSS,133,0.95
0.95,12,WIN,7,0.05
0.95,14,LOSS,138,0.9517241379310345
0.95,14,WIN,7,0.04827586206896552
1.0,1,LOSS,4,1.0
1.0,2,LOSS,17,1.0
1.0,3,LOSS,34,1.0
1.0,4,LOSS,54,1.0
1.0,5,LOSS,69,1.0
1.0,6,LOSS,83,1.0
1.0,7,LOSS,95,0.9895833333333334
1.0,7,WIN,1,0.010416666666666666
1.0,8,LOSS,101,0.9901960784313726
1.0,8,WIN,1,0.00980392156862745
1.0,10,LOSS,118,0.9915966386554622
1.0,10,WIN,1,0.008403361344537815
1.0,12,LOSS,125,0.9920634920634921
1.0,12,WIN,1,0.007936507936507936
1.0,14,LOSS,131,0.9924242424242424
1.0,14,WIN,1,0.007575757575757576
