mae_threshold,horizon,recovery_level,development_reached_trades,development_reached_pct,development_reached_WR,development_not_reached_trades,development_not_reached_WR,development_WR_difference,development_reached_mean_R,development_not_reached_mean_R,development_mean_R_difference,holdout_reached_trades,holdout_reached_pct,holdout_reached_WR,holdout_not_reached_trades,holdout_not_reached_WR,holdout_WR_difference,holdout_reached_mean_R,holdout_not_reached_mean_R,holdout_mean_R_difference
0.6,2.0,0.0,4,0.042105263157894736,0.75,91,0.18681318681318682,0.5631868131868132,0.44000000000000006,-0.760989010989011,1.200989010989011,14,0.14,0.5714285714285714,86,0.22093023255813954,0.35049833887043186,0.08714285714285715,-0.7775581395348837,0.8647009966777409
0.6,2.0,0.1,3,0.031578947368421054,0.6666666666666666,92,0.1956521739130435,0.47101449275362317,0.5,-0.749891304347826,1.249891304347826,10,0.1,0.6,90,0.23333333333333334,0.36666666666666664,0.30799999999999994,-0.7636666666666666,1.0716666666666665
0.6,2.0,0.2,3,0.031578947368421054,0.6666666666666666,92,0.1956521739130435,0.47101449275362317,0.5,-0.749891304347826,1.249891304347826,8,0.08,0.5,92,0.25,0.25,0.13124999999999998,-0.7249999999999999,0.8562499999999998
0.6,2.0,0.3,1,0.010526315789473684,0.0,94,0.2127659574468085,-0.2127659574468085,-2.71,-0.6891489361702128,-2.020851063829787,5,0.05,0.8,95,0.24210526315789474,0.5578947368421053,1.1320000000000001,-0.7506315789473683,1.8826315789473684
0.6,2.0,0.4,1,0.010526315789473684,0.0,94,0.2127659574468085,-0.2127659574468085,-2.71,-0.6891489361702128,-2.020851063829787,4,0.04,0.75,96,0.25,0.5,1.325,-0.7390625000000001,2.0640625
0.6,3.0,-0.5,53,0.5578947368421052,0.3018867924528302,42,0.09523809523809523,0.20664869721473494,-0.33830188679245277,-1.1800000000000002,0.8416981132075474,56,0.56,0.375,44,0.13636363636363635,0.23863636363636365,-0.23535714285714285,-1.1925,0.9571428571428571
0.6,3.0,-0.4,43,0.45263157894736844,0.32558139534883723,52,0.11538461538461539,0.21019677996422184,-0.3113953488372093,-1.0403846153846155,0.7289892665474061,48,0.48,0.3958333333333333,52,0.15384615384615385,0.24198717948717946,-0.1920833333333333,-1.0851923076923078,0.8931089743589745
0.6,3.0,-0.3,34,0.35789473684210527,0.38235294117647056,61,0.11475409836065574,0.2675988428158148,-0.3023529411764706,-0.9378688524590165,0.6355159112825459,42,0.42,0.38095238095238093,58,0.1896551724137931,0.19129720853858784,-0.1869047619047619,-0.996551724137931,0.8096469622331691
0.6,3.0,-0.2,28,0.29473684210526313,0.42857142857142855,67,0.11940298507462686,0.30916844349680167,-0.21249999999999997,-0.9185074626865672,0.7060074626865673,34,0.34,0.4411764705882353,66,0.18181818181818182,0.25935828877005346,0.05000000000000004,-1.0204545454545453,1.0704545454545453
0.6,3.0,-0.1,19,0.2,0.47368421052631576,76,0.14473684210526316,0.3289473684210526,-0.19631578947368425,-0.8389473684210528,0.6426315789473686,29,0.29,0.5172413793103449,71,0.16901408450704225,0.3482272948033026,0.23586206896551717,-1.0209859154929577,1.2568479844584748
