filter,window,trades,wins,losses,win_rate,mean_R,median_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak
TIME_10:30-11:30,7,1,0,1,0.0,-0.4244,-0.4244,-0.4244,0.0,0.0,1
TIME_10:30-11:30,8,3,2,1,0.6666666666666666,-0.011066666666666633,0.2556,-0.033199999999999896,0.9582074521651562,0.0,1
TIME_10:30-11:30,9,4,1,3,0.25,-0.3569,-1.0444,-1.4276,0.5443635899399974,-3.1332,3
TIME_10:30-11:30,10,1,1,0,1.0,0.8956000000000001,0.8956000000000001,0.8956000000000001,inf,0.0,0
TIME_10:30-11:30,11,15,5,10,0.3333333333333333,-0.2157333333333333,-0.4443999999999999,-3.2359999999999998,0.6107770026461391,-2.8527999999999993,3
TIME_10:30-11:30,12,6,3,3,0.5,-0.01106666666666665,0.010600000000000054,-0.0663999999999999,0.9707900756642617,-1.9775999999999998,2
TIME_10:30-11:30,13,1,0,1,0.0,-1.0444,-1.0444,-1.0444,0.0,0.0,1
TIME_10:30-11:30,14,3,2,1,0.6666666666666666,1.1222666666666667,1.7056,3.3668,76.828828828829,-0.044399999999999995,1
TIME_10:30-11:30,17,2,2,0,1.0,1.7056,1.7056,3.4112,inf,0.0,0
TIME_10:30-11:30,18,3,2,1,0.6666666666666666,0.6522666666666667,1.2956,1.9567999999999999,2.8736116430486405,-1.0444,1
TIME_10:30-11:30,20,7,3,4,0.42857142857142855,0.13417142857142858,-1.0444,0.9392,1.2248180773649942,-2.0888,2
TIME_10:30-11:30,22,5,2,3,0.4,-0.08039999999999999,-1.0444,-0.4019999999999999,0.8716966679433168,-2.1075999999999997,2
TIME_11:30-13:00,1,13,6,7,0.46153846153846156,0.12175384615384617,-0.1743999999999999,1.5828000000000002,1.3501150238895772,-2.6732,4
TIME_11:30-13:00,3,14,5,9,0.35714285714285715,-0.27082857142857136,-0.4494,-3.7915999999999994,0.48410797866550553,-5.0828,4
TIME_11:30-13:00,4,1,1,0,1.0,0.0456,0.0456,0.0456,inf,0.0,0
TIME_11:30-13:00,5,5,3,2,0.6,0.1856,0.1656,0.9279999999999999,1.7939767282683092,-1.0444,1
TIME_11:30-13:00,6,19,12,7,0.631578947368421,0.3861263157894737,0.3756,7.3364,2.6228101221022833,-3.6264,3
TIME_11:30-13:00,9,7,2,5,0.2857142857142857,-0.4186857142857144,-0.2244,-2.9308000000000005,0.15829982768523837,-2.7064000000000004,3
TIME_11:30-13:00,10,7,2,5,0.2857142857142857,-0.32439999999999997,-0.4044,-2.2708,0.36957245974458636,-2.4932,3
TIME_11:30-13:00,11,6,0,6,0.0,-0.7210666666666666,-0.9494,-4.3264,0.0,-3.2819999999999996,6
TIME_11:30-13:00,12,7,4,3,0.5714285714285714,0.16702857142857144,0.0256,1.1692,1.5585706095929674,-1.0444,1
TIME_11:30-13:00,14,12,8,4,0.6666666666666666,0.5189333333333335,0.9156,6.227200000000002,2.4906166219839143,-2.0887999999999995,2
TIME_11:30-13:00,15,1,0,1,0.0,-1.0444,-1.0444,-1.0444,0.0,0.0,1
TIME_11:30-13:00,16,1,1,0,1.0,1.7056,1.7056,1.7056,inf,0.0,0
TIME_11:30-13:00,18,7,3,4,0.42857142857142855,-0.10582857142857138,-1.0444,-0.7407999999999997,0.8226733052470317,-3.1332,3
TIME_11:30-13:00,20,13,2,11,0.15384615384615385,-0.7120923076923075,-1.0444,-9.257199999999997,0.19421329340900392,-8.212799999999998,7
TIME_11:30-13:00,22,7,2,5,0.2857142857142857,-0.11439999999999996,-1.0444,-0.8007999999999997,0.8098765432098766,-4.212,5
TIME_13:00-14:30,1,11,7,4,0.6363636363636364,0.4083272727272727,0.4056,4.4916,2.560884070058383,-1.0444,1
