mae_threshold,horizon,feature,winner_mean,loser_mean,winner_minus_loser,winner_n,loser_n
1.0,12,h12_close_R,0.716190476190476,-1.3103968253968257,2.026587301587302,21,126
0.95,12,h12_close_R,0.7044444444444443,-1.2760769230769229,1.980521367521367,27,130
0.9,12,h12_close_R,0.7887096774193549,-1.1825925925925929,1.9713022700119478,31,135
0.85,12,h12_close_R,0.7444444444444444,-1.1617985611510793,1.9062430055955235,36,139
1.0,12,h12_close_improvement_R,1.6128571428571428,-0.28952380952380957,1.9023809523809523,21,126
0.8,12,h12_close_R,0.7452500000000001,-1.077945205479452,1.8231952054794522,40,146
0.9,12,h12_close_improvement_R,1.503548387096774,-0.3029629629629629,1.806511350059737,31,135
0.95,12,h12_close_improvement_R,1.4970370370370372,-0.2966153846153846,1.7936524216524217,27,130
0.85,12,h12_close_improvement_R,1.4325,-0.3355395683453237,1.7680395683453238,36,139
0.8,12,h12_close_improvement_R,1.41225,-0.298972602739726,1.711222602739726,40,146
0.75,12,h12_close_R,0.6629787234042552,-1.0295945945945946,1.6925733179988498,47,148
0.7,12,h12_close_R,0.652340425531915,-1.0337162162162161,1.686056641748131,47,148
0.6,12,h12_close_R,0.5940425531914894,-1.0291891891891891,1.6232317423806784,47,148
0.95,10,h10_close_R,0.42185185185185187,-1.1974615384615384,1.6193133903133903,27,130
0.9,10,h10_close_R,0.47580645161290314,-1.0972592592592592,1.5730657108721622,31,135
1.0,10,h10_close_R,0.34380952380952384,-1.2277777777777776,1.5715873015873014,21,126
0.75,12,h12_close_improvement_R,1.2672340425531916,-0.2967567567567568,1.5639907993099484,47,148
0.7,12,h12_close_improvement_R,1.2240425531914896,-0.32837837837837835,1.552420931569868,47,148
0.85,10,h10_close_R,0.4466666666666667,-1.0841726618705034,1.5308393285371702,36,139
0.6,12,h12_close_improvement_R,1.1342553191489362,-0.3878378378378378,1.522093156986774,47,148
0.9,12,h12_max_close_R,1.0877419354838707,-0.4324444444444445,1.5201863799283153,31,135
0.95,12,h12_max_close_R,1.001111111111111,-0.5108461538461538,1.5119572649572648,27,130
1.0,12,h12_max_close_R,0.9557142857142857,-0.555,1.5107142857142857,21,126
0.9,8,h8_close_R,0.4622580645161291,-1.036962962962963,1.4992210274790922,31,135
