threshold_R,group,trades,mean_time_to_adverse,median_time_to_adverse
0.5,RECOVERY,73,3.5205479452054793,3.0
0.5,FAILURE,226,3.15929203539823,3.0
0.75,RECOVERY,27,4.222222222222222,4.0
0.75,FAILURE,168,4.0773809523809526,4.0
1.0,RECOVERY,1,7.0,7.0
1.0,FAILURE,101,4.475247524752476,4.0
