window,trades,triggered_trades,recovery_exits,benchmark_R,strategy_R,delta_R,benchmark_WR,strategy_WR,benchmark_PF,strategy_PF,benchmark_DD,strategy_DD
12,19,19,1,-17.270000000000003,-18.14,-0.8699999999999974,0.2631578947368421,0.2631578947368421,0.24814976055724858,0.2102742707879843,-16.51,-17.380000000000003
13,1,1,0,1.46,1.46,0.0,1.0,1.0,inf,inf,0.0,0.0
14,20,20,2,-6.62,-7.0600000000000005,-0.4400000000000004,0.3,0.3,0.4380305602716469,0.400679117147708,-7.8100000000000005,-7.670000000000002
15,3,3,0,-3.53,-3.53,0.0,0.0,0.0,0.0,0.0,-2.8699999999999997,-2.8699999999999997
16,2,2,0,1.15,1.15,0.0,0.5,0.5,2.4935064935064934,2.4935064935064934,-0.77,-0.77
18,9,9,0,-6.6899999999999995,-6.6899999999999995,0.0,0.2222222222222222,0.2222222222222222,0.053748231966053744,0.053748231966053744,-4.489999999999999,-4.489999999999999
19,2,2,1,-0.41999999999999993,-3.12,-2.7,0.5,0.5,0.8839779005524863,0.13812154696132597,0.0,0.0
20,33,33,3,-26.269999999999996,-23.339999999999996,2.9299999999999997,0.2727272727272727,0.3333333333333333,0.3101365546218487,0.3476802683063164,-27.070000000000004,-24.140000000000004
21,1,1,1,3.94,0.5,-3.44,1.0,1.0,inf,inf,0.0,0.0
22,10,10,0,-11.400000000000002,-11.400000000000002,0.0,0.1,0.1,0.03307888040712468,0.03307888040712468,-8.63,-8.63
