scenario,mae_threshold,recovery_level,deadline_bars,trades,total_R,mean_R,win_rate,profit_factor,max_drawdown_R,gross_profit_R,gross_loss_R,recovery_universe,frozen_universe,is_frozen
1,0.6,0.0,4,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.3815251586300057,-7.7644000000000055,124.366,90.0208,195,342,False
2,0.6,0.0,6,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.3815251586300057,-7.7644000000000055,124.366,90.0208,195,342,False
3,0.6,0.0,8,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.3815251586300057,-7.7644000000000055,124.366,90.0208,195,342,False
4,0.6,0.0,10,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.3815251586300057,-7.7644000000000055,124.366,90.0208,195,342,False
5,0.6,0.0,12,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.3815251586300057,-7.7644000000000055,124.366,90.0208,195,342,False
6,0.6,0.1,4,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.3815251586300057,-7.7644000000000055,124.366,90.0208,195,342,False
7,0.6,0.1,6,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.3815251586300057,-7.7644000000000055,124.366,90.0208,195,342,False
8,0.6,0.1,8,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.3815251586300057,-7.7644000000000055,124.366,90.0208,195,342,False
9,0.6,0.1,10,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.3815251586300057,-7.7644000000000055,124.366,90.0208,195,342,False
10,0.6,0.1,12,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.3815251586300057,-7.7644000000000055,124.366,90.0208,195,342,False
11,0.6,0.2,4,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.3815251586300057,-7.7644000000000055,124.366,90.0208,195,342,False
12,0.6,0.2,6,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.3815251586300057,-7.7644000000000055,124.366,90.0208,195,342,False
13,0.6,0.2,8,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.3815251586300057,-7.7644000000000055,124.366,90.0208,195,342,False
14,0.6,0.2,10,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.3815251586300057,-7.7644000000000055,124.366,90.0208,195,342,False
15,0.6,0.2,12,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.3815251586300057,-7.7644000000000055,124.366,90.0208,195,342,False
16,0.6,0.3,4,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.3815251586300057,-7.7644000000000055,124.366,90.0208,195,342,False
17,0.6,0.3,6,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.3815251586300057,-7.7644000000000055,124.366,90.0208,195,342,False
18,0.6,0.3,8,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.3815251586300057,-7.7644000000000055,124.366,90.0208,195,342,False
19,0.6,0.3,10,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.3815251586300057,-7.7644000000000055,124.366,90.0208,195,342,False
20,0.6,0.3,12,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.3815251586300057,-7.7644000000000055,124.366,90.0208,195,342,False
21,0.6,0.4,4,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.3815251586300057,-7.7644000000000055,124.366,90.0208,195,342,False
22,0.6,0.4,6,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.3815251586300057,-7.7644000000000055,124.366,90.0208,195,342,False
23,0.6,0.4,8,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.3815251586300057,-7.7644000000000055,124.366,90.0208,195,342,False
24,0.6,0.4,10,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.3815251586300057,-7.7644000000000055,124.366,90.0208,195,342,False
