entry_timestamp,exit_timestamp,session_id,candidate,quality,rr,raw_points,net_points,net_R,exit_reason,holding_bars,vol_percentile,vol_bucket,window,selected_model
2021-06-18 14:57:00-04:00,2021-06-18 15:12:00-04:00,2021-06-17,B,0.7624352100292899,1.3,-7.75,-8.86,-0.44299999999999995,timeout,15,0.4087715804053993,40-60,1,B
2021-06-18 16:36:00-04:00,2021-06-18 16:51:00-04:00,2021-06-17,B,0.8132950680285933,1.3,11.5,10.39,0.5195000000000001,timeout,15,0.5434142985180022,40-60,1,B
2021-06-23 10:51:00-04:00,2021-06-23 11:06:00-04:00,2021-06-22,B,0.7853359302912575,1.3,17.75,16.64,0.8320000000000001,timeout,15,0.32716211444970533,20-40,1,B
2021-07-01 11:22:00-04:00,2021-07-01 11:35:00-04:00,2021-06-30,B,0.8816301198578425,1.3,-20.0,-21.11,-1.0554999999999999,stop,13,0.5048660588996823,40-60,1,B
2021-07-14 10:34:00-04:00,2021-07-14 10:42:00-04:00,2021-07-13,B,0.8196968935964513,1.3,-20.0,-21.11,-1.0554999999999999,stop,8,0.42279488316932073,40-60,1,B
2021-07-14 11:36:00-04:00,2021-07-14 11:42:00-04:00,2021-07-13,B,0.7907157635837332,1.3,26.0,24.89,1.2445,target,6,0.5629962248436071,40-60,1,B
2021-07-14 11:59:00-04:00,2021-07-14 12:01:00-04:00,2021-07-13,B,0.8999175334437166,1.3,-20.0,-21.11,-1.0554999999999999,stop,2,0.5640147022877267,40-60,1,B
2021-07-15 10:45:00-04:00,2021-07-15 10:50:00-04:00,2021-07-14,B,0.9346899252255719,1.3,26.0,24.89,1.2445,target,5,0.8498402122054337,80-100,1,B
2021-07-15 11:55:00-04:00,2021-07-15 12:03:00-04:00,2021-07-14,B,0.7641524608544235,1.3,26.0,24.89,1.2445,target,8,0.42534334006282876,40-60,1,B
2021-07-16 10:08:00-04:00,2021-07-16 10:21:00-04:00,2021-07-15,B,0.9410375777115754,1.3,26.0,24.89,1.2445,target,13,0.576630242895554,40-60,1,B
2021-07-16 11:15:00-04:00,2021-07-16 11:30:00-04:00,2021-07-15,B,0.7750495841422259,1.3,3.0,1.8900000000000001,0.0945,timeout,15,0.5880734028010393,40-60,1,B
2021-07-16 14:51:00-04:00,2021-07-16 15:06:00-04:00,2021-07-15,B,0.7787087278704822,1.3,12.0,10.89,0.5445,timeout,15,0.3993834816538263,20-40,1,B
2021-07-16 15:47:00-04:00,2021-07-16 16:02:00-04:00,2021-07-15,B,0.8287627728220555,1.3,-8.5,-9.61,-0.4805,timeout,15,0.3961967788953367,20-40,1,B
2021-07-19 12:11:00-04:00,2021-07-19 12:16:00-04:00,2021-07-18,B,0.8206964120266604,1.3,-20.0,-21.11,-1.0554999999999999,stop,5,0.4834553997410804,40-60,1,B
2021-07-19 12:21:00-04:00,2021-07-19 12:23:00-04:00,2021-07-18,B,0.764332088869619,1.3,-20.0,-21.11,-1.0554999999999999,stop,2,0.5238504784580704,40-60,1,B
2021-07-27 09:57:00-04:00,2021-07-27 10:00:00-04:00,2021-07-26,B,0.8663047725210671,1.3,26.0,24.89,1.2445,target,3,0.5498148634334912,40-60,1,B
2021-07-27 10:41:00-04:00,2021-07-27 10:46:00-04:00,2021-07-26,B,1.0,1.3,-20.0,-21.11,-1.0554999999999999,stop,5,0.8462823310006428,80-100,1,B
2021-07-27 13:12:00-04:00,2021-07-27 13:20:00-04:00,2021-07-26,B,0.8449161220498735,1.3,26.0,24.89,1.2445,target,8,0.5317402837251831,40-60,1,B
2021-07-28 16:18:00-04:00,2021-07-28 16:33:00-04:00,2021-07-27,B,0.7975848529913714,1.3,8.5,7.390000000000001,0.36950000000000005,timeout,15,0.4577852415828497,40-60,1,B
2021-07-29 16:38:00-04:00,2021-07-29 16:53:00-04:00,2021-07-28,B,0.861471333156634,1.3,10.75,9.64,0.48200000000000004,timeout,15,0.4709349170280375,40-60,1,B
2021-08-03 10:12:00-04:00,2021-08-03 10:19:00-04:00,2021-08-02,B,0.8461224489795918,1.3,-20.0,-21.11,-1.0554999999999999,stop,7,0.8171493495324057,80-100,1,B
2022-06-09 13:40:00-04:00,2022-06-09 13:55:00-04:00,2022-06-08,A,0.7964593660440427,1.25,0.5,-0.6099999999999999,-0.030499999999999992,timeout,15,0.5731392679845554,40-60,5,A
2022-07-13 16:23:00-04:00,2022-07-13 16:38:00-04:00,2022-07-12,A,0.765065791236806,1.25,-1.5,-2.61,-0.1305,timeout,15,0.4905250796249177,40-60,5,A
2022-07-18 13:43:00-04:00,2022-07-18 13:48:00-04:00,2022-07-17,A,0.9401350620887183,1.25,25.0,23.89,1.1945000000000001,target,5,0.580736997562321,40-60,5,A
2022-07-25 16:30:00-04:00,2022-07-25 16:45:00-04:00,2022-07-24,A,0.7807962109500891,1.25,-14.5,-15.61,-0.7805,timeout,15,0.482375758438462,40-60,5,A
2022-07-26 11:49:00-04:00,2022-07-26 12:04:00-04:00,2022-07-25,A,0.7603809192144039,1.25,5.5,4.390000000000001,0.21950000000000003,timeout,15,0.5284825892777708,40-60,5,A
2022-07-26 14:33:00-04:00,2022-07-26 14:48:00-04:00,2022-07-25,A,0.7863166044009061,1.25,-3.25,-4.359999999999999,-0.21799999999999997,timeout,15,0.5960125264675006,40-60,5,A
2022-08-02 16:05:00-04:00,2022-08-02 16:20:00-04:00,2022-08-01,A,0.7412628531319155,1.25,7.5,6.390000000000001,0.3195,timeout,15,0.5652746392412946,40-60,5,A
2022-11-16 13:56:00-05:00,2022-11-16 14:11:00-05:00,2022-11-15,A,0.7737983364681742,1.25,-0.25,-1.3599999999999999,-0.06799999999999999,timeout,15,0.5145831213586435,40-60,7,A
2022-12-09 16:17:00-05:00,2022-12-09 16:32:00-05:00,2022-12-08,A,0.6828644425908276,1.25,5.0,3.89,0.1945,timeout,15,0.5759149564917341,40-60,7,A
2022-12-16 16:25:00-05:00,2022-12-16 16:40:00-05:00,2022-12-15,A,0.8075776774751298,1.25,-8.5,-9.61,-0.4805,timeout,15,0.5875230591597397,40-60,7,A
2022-12-19 11:08:00-05:00,2022-12-19 11:17:00-05:00,2022-12-18,A,0.7992400239574837,1.25,-20.0,-21.11,-1.0554999999999999,stop,9,0.5930749527757256,40-60,7,A
2023-02-16 16:21:00-05:00,2023-02-16 16:36:00-05:00,2023-02-15,A,0.7816611691711457,1.25,-3.0,-4.109999999999999,-0.20549999999999996,timeout,15,0.4294604894056209,40-60,8,A
2023-03-07 13:07:00-05:00,2023-03-07 13:22:00-05:00,2023-03-06,A,0.6936409793398404,1.25,1.0,-0.10999999999999988,-0.005499999999999994,timeout,15,0.5598745611404174,40-60,8,A
2023-03-09 13:37:00-05:00,2023-03-09 13:48:00-05:00,2023-03-08,A,0.9806222248967562,1.25,25.0,23.89,1.1945000000000001,target,11,0.5434757678940033,40-60,8,A
2023-03-10 13:20:00-05:00,2023-03-10 13:26:00-05:00,2023-03-09,A,0.7826504407013001,1.25,25.0,23.89,1.1945000000000001,target,6,0.5332121875055134,40-60,8,A
2023-03-28 10:41:00-04:00,2023-03-28 10:56:00-04:00,2023-03-27,A,0.7601218522364425,1.25,-9.25,-10.36,-0.518,timeout,15,0.5070041107249342,40-60,8,A
2023-04-03 10:56:00-04:00,2023-04-03 11:10:00-04:00,2023-04-02,A,0.6713061654259258,1.25,25.0,23.89,1.1945000000000001,target,14,0.41367036573102095,40-60,8,A
2023-04-05 10:50:00-04:00,2023-04-05 11:01:00-04:00,2023-04-04,A,0.7907954527969824,1.25,25.0,23.89,1.1945000000000001,target,11,0.5049840334503626,40-60,8,A
2023-05-08 14:06:00-04:00,2023-05-08 14:07:00-04:00,2023-05-07,A,0.7036323476850007,1.25,25.0,23.89,1.1945000000000001,target,1,0.18380232695513676,0-20,9,A
2023-05-09 10:28:00-04:00,2023-05-09 10:39:00-04:00,2023-05-08,A,0.7985654693330506,1.25,-20.0,-21.11,-1.0554999999999999,stop,11,0.17999991248758418,0-20,9,A
2023-05-11 15:39:00-04:00,2023-05-11 15:54:00-04:00,2023-05-10,A,0.654024103739815,1.25,-9.0,-10.11,-0.5055,timeout,15,0.18237149895641444,0-20,9,A
2023-05-15 13:41:00-04:00,2023-05-15 13:56:00-04:00,2023-05-14,A,0.8484152924572325,1.25,-16.25,-17.36,-0.868,timeout,15,0.1567697417071047,0-20,9,A
2023-05-19 16:27:00-04:00,2023-05-19 16:42:00-04:00,2023-05-18,A,0.7083225719056643,1.25,-0.5,-1.6099999999999999,-0.08049999999999999,timeout,15,0.05208301427765064,0-20,9,A
2023-05-22 11:48:00-04:00,2023-05-22 12:03:00-04:00,2023-05-21,A,0.731209560679099,1.25,-14.0,-15.11,-0.7555,timeout,15,0.18434490393324554,0-20,9,A
