result,mae_threshold,recovery_level,recovery_horizon,trades,wins,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,losses,positive_window_pct,worst_window_R,best_window_R,triggered_trades,recovery_exits,losses_rescued,winners_damaged,delta_R,mean_delta_R,benchmark_R,benchmark_win_rate,benchmark_profit_factor,benchmark_max_drawdown_R,development_window_positive_pct
BENCHMARK_HOLDOUT,,,,100,27,0.27,-0.6564999999999999,-65.64999999999999,0.3409296255396045,-64.88999999999997,,,,,,,,,,,,,,,
RECOVERY_EXIT_HOLDOUT,0.7,-0.1,12.0,100,29,0.29,-0.6227999999999999,-62.279999999999994,0.09895833333333336,-61.52,71.0,0.2,-20.52,1.46,100.0,50.0,26.0,24.0,3.3699999999999988,0.03369999999999999,-65.64999999999999,0.27,0.3409296255396045,-64.88999999999997,0.2
