outcome,trades,mean_R,median_R,mean_MFE_R,median_MFE_R,mean_MAE_R,median_MAE_R,mean_time_to_MFE,median_time_to_MFE,mean_time_to_MAE,median_time_to_MAE,mean_first_bar_return
LOSS,293,-0.827881228668942,-1.0444,0.4492491467576792,0.36,1.0231058020477815,1.04,4.037542662116041,2.0,9.98976109215017,9.0,-1.908703071672355
WIN,244,1.0894524590163934,1.3155999999999999,1.5187704918032787,1.6549999999999998,0.4049180327868852,0.37,12.401639344262295,13.0,4.55327868852459,3.0,2.9077868852459017
