window,mae_threshold,trades,triggered_trades,benchmark_R,strategy_R,delta_R,benchmark_WR,strategy_WR,benchmark_PF,strategy_PF,benchmark_losses,strategy_losses
21,0.8,1,1,-1.0444,0.21,1.2544,0.0,1.0,0.0,inf,1,0
22,0.8,10,10,-10.443999999999999,9.160000000000002,19.604,0.0,1.0,0.0,inf,10,0
1,0.9,8,3,-1.5352000000000001,4.1080000000000005,5.6432,0.5,0.875,0.5825538394605179,8.54592211609111,4,1
2,0.9,1,1,-1.0444,0.99,2.0343999999999998,0.0,1.0,0.0,inf,1,0
3,0.9,14,12,-13.141599999999997,8.5012,21.642799999999998,0.0,0.7857142857142857,0.0,6.634411452810181,14,3
4,0.9,1,0,0.0456,0.0456,0.0,1.0,1.0,inf,inf,0,0
5,0.9,7,7,-7.310799999999999,4.74,12.050799999999999,0.0,1.0,0.0,inf,7,0
6,0.9,17,15,-10.294799999999999,13.0112,23.305999999999997,0.17647058823529413,0.9411764705882353,0.24919046646634974,20.583383503913304,14,1
8,0.9,1,0,-0.7944,-0.7944,0.0,0.0,0.0,0.0,0.0,1,1
9,0.9,19,14,-10.513599999999999,12.698,23.211599999999997,0.10526315789473684,0.7894736842105263,0.2449729978168448,20.020371479928112,17,4
10,0.9,12,9,-7.4628,10.7868,18.2496,0.16666666666666666,0.9166666666666666,0.2114539306846999,27.67359050445104,10,1
11,0.9,15,13,-12.255999999999998,12.4812,24.737199999999998,0.06666666666666667,0.9333333333333333,0.04187122799337067,42.00262812089356,14,1
12,0.9,19,16,-8.9736,17.556800000000003,26.5304,0.2631578947368421,1.0,0.3862778355309953,inf,14,0
13,0.9,1,1,-1.0444,0.94,1.9844,0.0,1.0,0.0,inf,1,0
14,0.9,20,18,-12.137999999999998,18.3112,30.449199999999998,0.2,0.95,0.2736260053619303,inf,16,0
15,0.9,3,3,-3.1332,2.64,5.7732,0.0,1.0,0.0,inf,3,0
16,0.9,2,2,-1.8588,1.39,3.2488,0.0,1.0,0.0,inf,2,0
18,0.9,9,8,-8.9096,5.7456,14.655199999999999,0.0,0.8888888888888888,0.0,8.516483516483516,9,1
19,0.9,2,2,0.6612,1.31,0.6488,0.5,1.0,1.6330907698199923,inf,1,0
20,0.9,33,31,-23.7052,25.731199999999998,49.4364,0.12121212121212122,0.9696969696969697,0.1906062634015761,45.796657381615596,29,1
21,0.9,1,1,-1.0444,0.21,1.2544,0.0,1.0,0.0,inf,1,0
22,0.9,10,10,-10.443999999999999,8.89,19.334,0.0,1.0,0.0,inf,10,0
1,1.0,8,3,-1.5352000000000001,4.618,6.1532,0.5,0.875,0.5825538394605179,9.482733284349745,4,1
2,1.0,1,1,-1.0444,0.99,2.0343999999999998,0.0,1.0,0.0,inf,1,0
3,1.0,14,11,-13.141599999999997,9.0368,22.178399999999996,0.0,0.7857142857142857,0.0,6.466247278006292,14,3
4,1.0,1,0,0.0456,0.0456,0.0,1.0,1.0,inf,inf,0,0
5,1.0,7,7,-7.310799999999999,5.0,12.310799999999999,0.0,1.0,0.0,inf,7,0
6,1.0,17,13,-10.294799999999999,13.5624,23.8572,0.17647058823529413,0.8823529411764706,0.24919046646634974,12.505259586019683,14,2
8,1.0,1,0,-0.7944,-0.7944,0.0,0.0,0.0,0.0,0.0,1,1
9,1.0,19,12,-10.513599999999999,13.0692,23.5828,0.10526315789473684,0.7368421052631579,0.2449729978168448,10.388793103448277,17,5
10,1.0,12,8,-7.4628,9.212399999999999,16.675199999999997,0.16666666666666666,0.8333333333333334,0.2114539306846999,9.308441558441558,10,2
11,1.0,15,11,-12.255999999999998,10.2824,22.5384,0.06666666666666667,0.8,0.04187122799337067,8.890116635972989,14,3
12,1.0,19,14,-8.9736,19.668,28.641599999999997,0.2631578947368421,1.0,0.3862778355309953,inf,14,0
13,1.0,1,1,-1.0444,0.94,1.9844,0.0,1.0,0.0,inf,1,0
14,1.0,20,16,-12.137999999999998,20.3824,32.520399999999995,0.2,1.0,0.2736260053619303,inf,16,0
15,1.0,3,3,-3.1332,2.66,5.793200000000001,0.0,1.0,0.0,inf,3,0
16,1.0,2,1,-1.8588,-0.12440000000000007,1.7344,0.0,0.5,0.0,0.8472495088408644,2,1
18,1.0,9,7,-8.9096,3.9511999999999996,12.8608,0.0,0.7777777777777778,0.0,3.471353515136353,9,2
19,1.0,2,1,0.6612,2.6656,2.0044,0.5,1.0,1.6330907698199923,inf,1,0
20,1.0,33,27,-23.7052,37.7236,61.428799999999995,0.12121212121212122,0.9393939393939394,0.1906062634015761,35.64695077149155,29,2
21,1.0,1,1,-1.0444,0.21,1.2544,0.0,1.0,0.0,inf,1,0
22,1.0,10,10,-10.443999999999999,10.240000000000002,20.684,0.0,1.0,0.0,inf,10,0
1,1.1,8,3,-1.5352000000000001,4.698,6.2332,0.5,0.875,0.5825538394605179,9.629684055841293,4,1
2,1.1,1,1,-1.0444,0.99,2.0343999999999998,0.0,1.0,0.0,inf,1,0
3,1.1,14,11,-13.141599999999997,10.556799999999999,23.698399999999996,0.0,0.7857142857142857,0.0,7.385676264214856,14,3
4,1.1,1,0,0.0456,0.0456,0.0,1.0,1.0,inf,inf,0,0
5,1.1,7,7,-7.310799999999999,7.71,15.020799999999998,0.0,1.0,0.0,inf,7,0
6,1.1,17,12,-10.294799999999999,12.128,22.4228,0.17647058823529413,0.8235294117647058,0.24919046646634974,6.455199712126663,14,3
8,1.1,1,0,-0.7944,-0.7944,0.0,0.0,0.0,0.0,0.0,1,1
9,1.1,19,11,-10.513599999999999,12.254800000000001,22.7684,0.10526315789473684,0.6842105263157895,0.2449729978168448,6.029880151042523,17,6
10,1.1,12,7,-7.4628,7.4479999999999995,14.910799999999998,0.16666666666666666,0.75,0.2114539306846999,4.459037711313394,10,3
11,1.1,15,10,-12.255999999999998,8.378,20.634,0.06666666666666667,0.7333333333333333,0.04187122799337067,4.568751064917363,14,4
12,1.1,19,14,-8.9736,19.858000000000004,28.8316,0.2631578947368421,1.0,0.3862778355309953,inf,14,0
13,1.1,1,1,-1.0444,0.94,1.9844,0.0,1.0,0.0,inf,1,0
14,1.1,20,13,-12.137999999999998,14.5792,26.7172,0.2,0.85,0.2736260053619303,5.653134175922379,16,3
15,1.1,3,3,-3.1332,3.15,6.2832,0.0,1.0,0.0,inf,3,0
16,1.1,2,0,-1.8588,-1.8588,0.0,0.0,0.0,0.0,0.0,2,2
18,1.1,9,6,-8.9096,3.4968,12.4064,0.0,0.6666666666666666,0.0,2.3229418886198547,9,3
19,1.1,2,1,0.6612,2.6656,2.0044,0.5,1.0,1.6330907698199923,inf,1,0
20,1.1,33,27,-23.7052,42.613600000000005,66.31880000000001,0.12121212121212122,0.9393939393939394,0.1906062634015761,40.13813372520205,29,2
21,1.1,1,1,-1.0444,0.21,1.2544,0.0,1.0,0.0,inf,1,0
22,1.1,10,9,-10.443999999999999,8.9656,19.409599999999998,0.0,0.9,0.0,9.584450402144771,10,1
