window,mae_threshold,trades,triggered_trades,benchmark_R,strategy_R,delta_R,benchmark_WR,strategy_WR,benchmark_PF,strategy_PF,benchmark_losses,strategy_losses
1,0.5,8,8,-1.5352000000000001,4.37,5.905200000000001,0.5,1.0,0.5825538394605179,inf,4,0
2,0.5,1,1,-1.0444,0.32,1.3644,0.0,1.0,0.0,inf,1,0
3,0.5,14,14,-13.141599999999997,7.899999999999999,21.041599999999995,0.0,1.0,0.0,inf,14,0
4,0.5,1,1,0.0456,0.32,0.2744,1.0,1.0,inf,inf,0,0
5,0.5,7,7,-7.310799999999999,4.11,11.4208,0.0,1.0,0.0,inf,7,0
6,0.5,17,17,-10.294799999999999,7.93,18.2248,0.17647058823529413,1.0,0.24919046646634974,inf,14,0
8,0.5,1,1,-0.7944,0.24,1.0344,0.0,1.0,0.0,inf,1,0
9,0.5,19,19,-10.513599999999999,9.33,19.8436,0.10526315789473684,1.0,0.2449729978168448,inf,17,0
10,0.5,12,12,-7.4628,6.409999999999999,13.872799999999998,0.16666666666666666,1.0,0.2114539306846999,inf,10,0
11,0.5,15,15,-12.255999999999998,8.6,20.855999999999998,0.06666666666666667,1.0,0.04187122799337067,inf,14,0
12,0.5,19,19,-8.9736,10.990000000000002,19.9636,0.2631578947368421,1.0,0.3862778355309953,inf,14,0
13,0.5,1,1,-1.0444,0.94,1.9844,0.0,1.0,0.0,inf,1,0
14,0.5,20,20,-12.137999999999998,9.67,21.808,0.2,0.95,0.2736260053619303,inf,16,0
15,0.5,3,3,-3.1332,2.35,5.4832,0.0,1.0,0.0,inf,3,0
16,0.5,2,2,-1.8588,1.02,2.8788,0.0,1.0,0.0,inf,2,0
18,0.5,9,9,-8.9096,5.1,14.009599999999999,0.0,1.0,0.0,inf,9,0
19,0.5,2,2,0.6612,0.82,0.15879999999999994,0.5,1.0,1.6330907698199923,inf,1,0
20,0.5,33,33,-23.7052,18.44,42.1452,0.12121212121212122,0.9696969696969697,0.1906062634015761,50.837837837837846,29,1
21,0.5,1,1,-1.0444,0.21,1.2544,0.0,1.0,0.0,inf,1,0
22,0.5,10,10,-10.443999999999999,6.5,16.944,0.0,1.0,0.0,inf,10,0
1,0.6,8,8,-1.5352000000000001,5.17,6.7052,0.5,1.0,0.5825538394605179,inf,4,0
2,0.6,1,1,-1.0444,0.29,1.3344,0.0,1.0,0.0,inf,1,0
3,0.6,14,14,-13.141599999999997,8.95,22.091599999999996,0.0,1.0,0.0,inf,14,0
4,0.6,1,1,0.0456,0.32,0.2744,1.0,1.0,inf,inf,0,0
5,0.6,7,7,-7.310799999999999,4.15,11.460799999999999,0.0,1.0,0.0,inf,7,0
6,0.6,17,17,-10.294799999999999,10.22,20.5148,0.17647058823529413,1.0,0.24919046646634974,inf,14,0
8,0.6,1,1,-0.7944,0.42,1.2144,0.0,1.0,0.0,inf,1,0
9,0.6,19,19,-10.513599999999999,11.21,21.723599999999998,0.10526315789473684,1.0,0.2449729978168448,inf,17,0
10,0.6,12,12,-7.4628,7.590000000000001,15.052800000000001,0.16666666666666666,1.0,0.2114539306846999,inf,10,0
11,0.6,15,15,-12.255999999999998,9.559999999999999,21.815999999999995,0.06666666666666667,1.0,0.04187122799337067,inf,14,0
12,0.6,19,19,-8.9736,12.440000000000001,21.413600000000002,0.2631578947368421,1.0,0.3862778355309953,inf,14,0
13,0.6,1,1,-1.0444,0.94,1.9844,0.0,1.0,0.0,inf,1,0
14,0.6,20,20,-12.137999999999998,11.379999999999999,23.517999999999997,0.2,0.95,0.2736260053619303,inf,16,0
15,0.6,3,3,-3.1332,2.35,5.4832,0.0,1.0,0.0,inf,3,0
16,0.6,2,2,-1.8588,1.02,2.8788,0.0,1.0,0.0,inf,2,0
18,0.6,9,9,-8.9096,5.34,14.2496,0.0,1.0,0.0,inf,9,0
19,0.6,2,2,0.6612,0.82,0.15879999999999994,0.5,1.0,1.6330907698199923,inf,1,0
20,0.6,33,33,-23.7052,20.81,44.5152,0.12121212121212122,1.0,0.1906062634015761,inf,29,0
21,0.6,1,1,-1.0444,0.21,1.2544,0.0,1.0,0.0,inf,1,0
22,0.6,10,10,-10.443999999999999,7.119999999999999,17.564,0.0,1.0,0.0,inf,10,0
1,0.7,8,8,-1.5352000000000001,5.29,6.825200000000001,0.5,1.0,0.5825538394605179,inf,4,0
2,0.7,1,1,-1.0444,0.29,1.3344,0.0,1.0,0.0,inf,1,0
3,0.7,14,14,-13.141599999999997,9.19,22.331599999999995,0.0,1.0,0.0,inf,14,0
4,0.7,1,1,0.0456,0.32,0.2744,1.0,1.0,inf,inf,0,0
5,0.7,7,7,-7.310799999999999,4.38,11.6908,0.0,1.0,0.0,inf,7,0
6,0.7,17,17,-10.294799999999999,11.81,22.104799999999997,0.17647058823529413,1.0,0.24919046646634974,inf,14,0
8,0.7,1,1,-0.7944,0.38,1.1743999999999999,0.0,1.0,0.0,inf,1,0
9,0.7,19,19,-10.513599999999999,12.13,22.6436,0.10526315789473684,1.0,0.2449729978168448,inf,17,0
10,0.7,12,12,-7.4628,8.35,15.8128,0.16666666666666666,1.0,0.2114539306846999,inf,10,0
11,0.7,15,15,-12.255999999999998,10.76,23.016,0.06666666666666667,1.0,0.04187122799337067,inf,14,0
12,0.7,19,19,-8.9736,13.49,22.4636,0.2631578947368421,1.0,0.3862778355309953,inf,14,0
13,0.7,1,1,-1.0444,0.94,1.9844,0.0,1.0,0.0,inf,1,0
14,0.7,20,20,-12.137999999999998,12.57,24.708,0.2,0.95,0.2736260053619303,inf,16,0
15,0.7,3,3,-3.1332,2.62,5.7532,0.0,1.0,0.0,inf,3,0
16,0.7,2,2,-1.8588,1.39,3.2488,0.0,1.0,0.0,inf,2,0
18,0.7,9,9,-8.9096,5.95,14.8596,0.0,1.0,0.0,inf,9,0
19,0.7,2,2,0.6612,1.31,0.6488,0.5,1.0,1.6330907698199923,inf,1,0
20,0.7,33,33,-23.7052,22.53,46.235200000000006,0.12121212121212122,1.0,0.1906062634015761,inf,29,0
21,0.7,1,1,-1.0444,0.21,1.2544,0.0,1.0,0.0,inf,1,0
22,0.7,10,10,-10.443999999999999,7.35,17.793999999999997,0.0,1.0,0.0,inf,10,0
1,0.75,8,8,-1.5352000000000001,5.57,7.1052,0.5,1.0,0.5825538394605179,inf,4,0
2,0.75,1,1,-1.0444,0.29,1.3344,0.0,1.0,0.0,inf,1,0
3,0.75,14,14,-13.141599999999997,9.92,23.0616,0.0,1.0,0.0,inf,14,0
4,0.75,1,1,0.0456,0.32,0.2744,1.0,1.0,inf,inf,0,0
5,0.75,7,7,-7.310799999999999,5.13,12.4408,0.0,1.0,0.0,inf,7,0
6,0.75,17,17,-10.294799999999999,12.370000000000001,22.6648,0.17647058823529413,1.0,0.24919046646634974,inf,14,0
8,0.75,1,1,-0.7944,0.38,1.1743999999999999,0.0,1.0,0.0,inf,1,0
9,0.75,19,19,-10.513599999999999,12.979999999999999,23.493599999999997,0.10526315789473684,1.0,0.2449729978168448,inf,17,0
10,0.75,12,12,-7.4628,8.35,15.8128,0.16666666666666666,1.0,0.2114539306846999,inf,10,0
11,0.75,15,15,-12.255999999999998,10.9,23.156,0.06666666666666667,1.0,0.04187122799337067,inf,14,0
12,0.75,19,19,-8.9736,13.94,22.9136,0.2631578947368421,1.0,0.3862778355309953,inf,14,0
13,0.75,1,1,-1.0444,0.94,1.9844,0.0,1.0,0.0,inf,1,0
14,0.75,20,20,-12.137999999999998,13.809999999999999,25.947999999999997,0.2,0.95,0.2736260053619303,inf,16,0
15,0.75,3,3,-3.1332,2.62,5.7532,0.0,1.0,0.0,inf,3,0
16,0.75,2,2,-1.8588,1.39,3.2488,0.0,1.0,0.0,inf,2,0
18,0.75,9,9,-8.9096,5.94,14.849599999999999,0.0,1.0,0.0,inf,9,0
19,0.75,2,2,0.6612,1.31,0.6488,0.5,1.0,1.6330907698199923,inf,1,0
20,0.75,33,33,-23.7052,22.580000000000002,46.2852,0.12121212121212122,1.0,0.1906062634015761,inf,29,0
21,0.75,1,1,-1.0444,0.21,1.2544,0.0,1.0,0.0,inf,1,0
22,0.75,10,10,-10.443999999999999,7.91,18.354,0.0,1.0,0.0,inf,10,0
1,0.8,8,7,-1.5352000000000001,5.1556,6.690799999999999,0.5,1.0,0.5825538394605179,inf,4,0
2,0.8,1,1,-1.0444,0.29,1.3344,0.0,1.0,0.0,inf,1,0
3,0.8,14,14,-13.141599999999997,11.08,24.221599999999995,0.0,1.0,0.0,inf,14,0
4,0.8,1,0,0.0456,0.0456,0.0,1.0,1.0,inf,inf,0,0
5,0.8,7,7,-7.310799999999999,5.199999999999999,12.510799999999998,0.0,1.0,0.0,inf,7,0
6,0.8,17,17,-10.294799999999999,12.37,22.6648,0.17647058823529413,1.0,0.24919046646634974,inf,14,0
8,0.8,1,1,-0.7944,0.75,1.5444,0.0,1.0,0.0,inf,1,0
9,0.8,19,17,-10.513599999999999,11.8112,22.324799999999996,0.10526315789473684,0.8947368421052632,0.2449729978168448,41.89750692520777,17,2
10,0.8,12,10,-7.4628,9.551200000000001,17.014000000000003,0.16666666666666666,1.0,0.2114539306846999,inf,10,0
11,0.8,15,15,-12.255999999999998,11.899999999999999,24.156,0.06666666666666667,1.0,0.04187122799337067,inf,14,0
12,0.8,19,18,-8.9736,15.315600000000002,24.2892,0.2631578947368421,1.0,0.3862778355309953,inf,14,0
13,0.8,1,1,-1.0444,0.94,1.9844,0.0,1.0,0.0,inf,1,0
14,0.8,20,19,-12.137999999999998,15.625600000000002,27.7636,0.2,0.95,0.2736260053619303,inf,16,0
15,0.8,3,3,-3.1332,2.62,5.7532,0.0,1.0,0.0,inf,3,0
16,0.8,2,2,-1.8588,1.39,3.2488,0.0,1.0,0.0,inf,2,0
18,0.8,9,9,-8.9096,6.41,15.3196,0.0,1.0,0.0,inf,9,0
19,0.8,2,2,0.6612,1.31,0.6488,0.5,1.0,1.6330907698199923,inf,1,0
20,0.8,33,32,-23.7052,25.9856,49.6908,0.12121212121212122,1.0,0.1906062634015761,inf,29,0
