original_index,window,rule,mae_threshold,recovery_level,deadline,benchmark_R,strategy_R,mae_bar,recovery_bar,exit_type
181,20,RULE_A,0.7,0.2,6,-2.14,-1.35,6.0,,DEADLINE_EXIT
182,20,RULE_A,0.7,0.2,6,-1.83,-1.14,4.0,,DEADLINE_EXIT
183,20,RULE_A,0.7,0.2,6,-1.25,-1.11,5.0,,DEADLINE_EXIT
184,21,RULE_A,0.7,0.2,6,3.94,0.94,1.0,5.0,RECOVERY_EXIT
185,22,RULE_A,0.7,0.2,6,-2.77,-0.63,3.0,,DEADLINE_EXIT
186,22,RULE_A,0.7,0.2,6,-1.24,-0.08,3.0,,DEADLINE_EXIT
187,22,RULE_A,0.7,0.2,6,-1.29,-1.03,1.0,,DEADLINE_EXIT
188,22,RULE_A,0.7,0.2,6,0.39,0.06,5.0,,DEADLINE_EXIT
189,22,RULE_A,0.7,0.2,6,-0.96,-1.07,1.0,,DEADLINE_EXIT
190,22,RULE_A,0.7,0.2,6,-0.85,-1.22,4.0,,DEADLINE_EXIT
191,22,RULE_A,0.7,0.2,6,-2.0,0.27,7.0,11.0,RECOVERY_EXIT
192,22,RULE_A,0.7,0.2,6,-1.49,0.22,4.0,5.0,RECOVERY_EXIT
193,22,RULE_A,0.7,0.2,6,-1.14,-1.74,2.0,,DEADLINE_EXIT
194,22,RULE_A,0.7,0.2,6,-0.05,-0.47,4.0,,DEADLINE_EXIT
95,12,RULE_B,0.8,0.2,6,-0.76,-1.46,5.0,,DEADLINE_EXIT
96,12,RULE_B,0.8,0.2,6,-1.45,-1.5,2.0,,DEADLINE_EXIT
97,12,RULE_B,0.8,0.2,6,-1.36,-0.91,2.0,,DEADLINE_EXIT
98,12,RULE_B,0.8,0.2,6,-2.61,-1.32,6.0,,DEADLINE_EXIT
99,12,RULE_B,0.8,0.2,6,1.04,0.67,4.0,10.0,RECOVERY_EXIT
100,12,RULE_B,0.8,0.2,6,-1.52,-0.45,3.0,,DEADLINE_EXIT
101,12,RULE_B,0.8,0.2,6,1.58,0.9,1.0,6.0,RECOVERY_EXIT
102,12,RULE_B,0.8,0.2,6,-1.31,-1.01,4.0,,DEADLINE_EXIT
103,12,RULE_B,0.8,0.2,6,0.25,0.08,5.0,,DEADLINE_EXIT
104,12,RULE_B,0.8,0.2,6,-0.64,-0.46,5.0,,DEADLINE_EXIT
105,12,RULE_B,0.8,0.2,6,-1.46,-1.05,5.0,,DEADLINE_EXIT
106,12,RULE_B,0.8,0.2,6,-0.63,0.71,8.0,13.0,RECOVERY_EXIT
107,12,RULE_B,0.8,0.2,6,1.46,-0.31,2.0,,DEADLINE_EXIT
108,12,RULE_B,0.8,0.2,6,-2.49,-1.17,1.0,,DEADLINE_EXIT
109,12,RULE_B,0.8,0.2,6,1.37,1.37,,,BENCHMARK
110,12,RULE_B,0.8,0.2,6,-1.29,0.23,4.0,5.0,RECOVERY_EXIT
111,12,RULE_B,0.8,0.2,6,-4.12,-2.89,2.0,,DEADLINE_EXIT
112,12,RULE_B,0.8,0.2,6,-1.57,-0.31,3.0,,DEADLINE_EXIT
113,12,RULE_B,0.8,0.2,6,-1.76,-1.27,4.0,,DEADLINE_EXIT
114,13,RULE_B,0.8,0.2,6,1.46,-0.19,4.0,,DEADLINE_EXIT
115,14,RULE_B,0.8,0.2,6,-0.77,-1.25,6.0,,DEADLINE_EXIT
116,14,RULE_B,0.8,0.2,6,0.17,-0.65,4.0,,DEADLINE_EXIT
117,14,RULE_B,0.8,0.2,6,-0.69,-0.76,3.0,,DEADLINE_EXIT
118,14,RULE_B,0.8,0.2,6,-0.71,-0.92,6.0,,DEADLINE_EXIT
119,14,RULE_B,0.8,0.2,6,-1.83,0.25,1.0,3.0,RECOVERY_EXIT
120,14,RULE_B,0.8,0.2,6,-0.21,-0.23,2.0,,DEADLINE_EXIT
121,14,RULE_B,0.8,0.2,6,-0.66,-0.5,1.0,,DEADLINE_EXIT
122,14,RULE_B,0.8,0.2,6,0.36,0.37,5.0,6.0,RECOVERY_EXIT
123,14,RULE_B,0.8,0.2,6,-0.7,-0.38,5.0,,DEADLINE_EXIT
124,14,RULE_B,0.8,0.2,6,-1.59,-1.2,3.0,,DEADLINE_EXIT
125,14,RULE_B,0.8,0.2,6,-0.86,0.29,5.0,9.0,RECOVERY_EXIT
126,14,RULE_B,0.8,0.2,6,-0.92,-1.48,3.0,,DEADLINE_EXIT
127,14,RULE_B,0.8,0.2,6,1.08,0.23,8.0,10.0,RECOVERY_EXIT
128,14,RULE_B,0.8,0.2,6,-0.26,-1.29,2.0,,DEADLINE_EXIT
129,14,RULE_B,0.8,0.2,6,0.34,-1.62,8.0,,DEADLINE_EXIT
130,14,RULE_B,0.8,0.2,6,1.49,-0.18,2.0,,DEADLINE_EXIT
131,14,RULE_B,0.8,0.2,6,1.72,1.72,,,BENCHMARK
132,14,RULE_B,0.8,0.2,6,-0.28,-1.13,3.0,,DEADLINE_EXIT
133,14,RULE_B,0.8,0.2,6,-1.67,-1.31,4.0,,DEADLINE_EXIT
134,14,RULE_B,0.8,0.2,6,-0.63,-0.44,5.0,,DEADLINE_EXIT
135,15,RULE_B,0.8,0.2,6,-0.66,-0.84,4.0,,DEADLINE_EXIT
136,15,RULE_B,0.8,0.2,6,-1.7,0.26,7.0,12.0,RECOVERY_EXIT
137,15,RULE_B,0.8,0.2,6,-1.17,-0.58,5.0,,DEADLINE_EXIT
138,16,RULE_B,0.8,0.2,6,1.92,0.76,7.0,12.0,RECOVERY_EXIT
139,16,RULE_B,0.8,0.2,6,-0.77,0.48,4.0,9.0,RECOVERY_EXIT
140,18,RULE_B,0.8,0.2,6,-2.22,-1.35,6.0,,DEADLINE_EXIT
141,18,RULE_B,0.8,0.2,6,0.02,-0.68,3.0,,DEADLINE_EXIT
142,18,RULE_B,0.8,0.2,6,-1.71,-0.52,6.0,,DEADLINE_EXIT
143,18,RULE_B,0.8,0.2,6,-0.72,-0.18,7.0,,DEADLINE_EXIT
144,18,RULE_B,0.8,0.2,6,-0.79,-0.51,8.0,,DEADLINE_EXIT
145,18,RULE_B,0.8,0.2,6,-0.57,0.41,3.0,5.0,RECOVERY_EXIT
146,18,RULE_B,0.8,0.2,6,0.36,0.22,1.0,4.0,RECOVERY_EXIT
147,18,RULE_B,0.8,0.2,6,-0.21,-0.44,12.0,,DEADLINE_EXIT
148,18,RULE_B,0.8,0.2,6,-0.85,-0.87,4.0,,DEADLINE_EXIT
149,19,RULE_B,0.8,0.2,6,-3.62,-1.55,3.0,,DEADLINE_EXIT
150,19,RULE_B,0.8,0.2,6,3.2,0.66,1.0,2.0,RECOVERY_EXIT
151,20,RULE_B,0.8,0.2,6,-2.01,-1.12,4.0,,DEADLINE_EXIT
152,20,RULE_B,0.8,0.2,6,2.81,-1.21,3.0,,DEADLINE_EXIT
153,20,RULE_B,0.8,0.2,6,-1.63,-1.84,6.0,,DEADLINE_EXIT
154,20,RULE_B,0.8,0.2,6,-0.83,-1.49,2.0,,DEADLINE_EXIT
155,20,RULE_B,0.8,0.2,6,-0.47,-0.51,4.0,,DEADLINE_EXIT
156,20,RULE_B,0.8,0.2,6,2.48,0.36,10.0,13.0,RECOVERY_EXIT
157,20,RULE_B,0.8,0.2,6,-1.99,-0.01,7.0,,DEADLINE_EXIT
158,20,RULE_B,0.8,0.2,6,1.6,0.24,2.0,7.0,RECOVERY_EXIT
159,20,RULE_B,0.8,0.2,6,-1.01,-0.74,3.0,,DEADLINE_EXIT
160,20,RULE_B,0.8,0.2,6,-0.53,-0.25,1.0,,DEADLINE_EXIT
161,20,RULE_B,0.8,0.2,6,-1.65,0.28,3.0,9.0,RECOVERY_EXIT
162,20,RULE_B,0.8,0.2,6,1.38,0.0,6.0,,DEADLINE_EXIT
163,20,RULE_B,0.8,0.2,6,-2.13,-1.16,1.0,,DEADLINE_EXIT
164,20,RULE_B,0.8,0.2,6,0.85,0.43,2.0,8.0,RECOVERY_EXIT
165,20,RULE_B,0.8,0.2,6,-1.62,-0.27,3.0,,DEADLINE_EXIT
166,20,RULE_B,0.8,0.2,6,0.82,-0.77,6.0,,DEADLINE_EXIT
167,20,RULE_B,0.8,0.2,6,0.66,0.2,4.0,7.0,RECOVERY_EXIT
168,20,RULE_B,0.8,0.2,6,-4.76,0.53,3.0,9.0,RECOVERY_EXIT
169,20,RULE_B,0.8,0.2,6,-0.64,-1.86,5.0,,DEADLINE_EXIT
170,20,RULE_B,0.8,0.2,6,-0.33,-1.61,1.0,,DEADLINE_EXIT
171,20,RULE_B,0.8,0.2,6,-0.46,0.39,2.0,7.0,RECOVERY_EXIT
172,20,RULE_B,0.8,0.2,6,-1.05,1.64,2.0,6.0,RECOVERY_EXIT
173,20,RULE_B,0.8,0.2,6,-2.57,-1.51,6.0,,DEADLINE_EXIT
174,20,RULE_B,0.8,0.2,6,0.34,-0.53,1.0,,DEADLINE_EXIT
175,20,RULE_B,0.8,0.2,6,-1.25,0.43,2.0,4.0,RECOVERY_EXIT
176,20,RULE_B,0.8,0.2,6,-2.55,-1.84,6.0,,DEADLINE_EXIT
177,20,RULE_B,0.8,0.2,6,-3.23,-2.6,5.0,,DEADLINE_EXIT
178,20,RULE_B,0.8,0.2,6,-0.42,-0.67,2.0,,DEADLINE_EXIT
179,20,RULE_B,0.8,0.2,6,0.87,0.87,,,BENCHMARK
180,20,RULE_B,0.8,0.2,6,-1.73,-1.54,8.0,,DEADLINE_EXIT
181,20,RULE_B,0.8,0.2,6,-2.14,-1.35,6.0,,DEADLINE_EXIT
182,20,RULE_B,0.8,0.2,6,-1.83,-1.14,4.0,,DEADLINE_EXIT
183,20,RULE_B,0.8,0.2,6,-1.25,-1.11,5.0,,DEADLINE_EXIT
184,21,RULE_B,0.8,0.2,6,3.94,0.94,1.0,5.0,RECOVERY_EXIT
185,22,RULE_B,0.8,0.2,6,-2.77,-0.63,3.0,,DEADLINE_EXIT
186,22,RULE_B,0.8,0.2,6,-1.24,-0.08,3.0,,DEADLINE_EXIT
187,22,RULE_B,0.8,0.2,6,-1.29,-1.03,1.0,,DEADLINE_EXIT
188,22,RULE_B,0.8,0.2,6,0.39,0.28,6.0,12.0,RECOVERY_EXIT
189,22,RULE_B,0.8,0.2,6,-0.96,-1.18,2.0,,DEADLINE_EXIT
190,22,RULE_B,0.8,0.2,6,-0.85,-1.22,4.0,,DEADLINE_EXIT
191,22,RULE_B,0.8,0.2,6,-2.0,-2.0,14.0,,DEADLINE_EXIT
192,22,RULE_B,0.8,0.2,6,-1.49,0.22,4.0,5.0,RECOVERY_EXIT
193,22,RULE_B,0.8,0.2,6,-1.14,-1.74,2.0,,DEADLINE_EXIT
194,22,RULE_B,0.8,0.2,6,-0.05,-0.49,7.0,,DEADLINE_EXIT
95,12,RULE_C,0.8,0.1,6,-0.76,-1.46,5.0,,DEADLINE_EXIT
96,12,RULE_C,0.8,0.1,6,-1.45,-1.5,2.0,,DEADLINE_EXIT
97,12,RULE_C,0.8,0.1,6,-1.36,-0.91,2.0,,DEADLINE_EXIT
98,12,RULE_C,0.8,0.1,6,-2.61,-1.32,6.0,,DEADLINE_EXIT
99,12,RULE_C,0.8,0.1,6,1.04,0.67,4.0,10.0,RECOVERY_EXIT
100,12,RULE_C,0.8,0.1,6,-1.52,-0.45,3.0,,DEADLINE_EXIT
101,12,RULE_C,0.8,0.1,6,1.58,0.9,1.0,6.0,RECOVERY_EXIT
102,12,RULE_C,0.8,0.1,6,-1.31,-1.01,4.0,,DEADLINE_EXIT
103,12,RULE_C,0.8,0.1,6,0.25,0.08,5.0,,DEADLINE_EXIT
104,12,RULE_C,0.8,0.1,6,-0.64,-0.46,5.0,,DEADLINE_EXIT
105,12,RULE_C,0.8,0.1,6,-1.46,-1.05,5.0,,DEADLINE_EXIT
106,12,RULE_C,0.8,0.1,6,-0.63,0.71,8.0,13.0,RECOVERY_EXIT
107,12,RULE_C,0.8,0.1,6,1.46,-0.31,2.0,,DEADLINE_EXIT
108,12,RULE_C,0.8,0.1,6,-2.49,-1.17,1.0,,DEADLINE_EXIT
109,12,RULE_C,0.8,0.1,6,1.37,1.37,,,BENCHMARK
110,12,RULE_C,0.8,0.1,6,-1.29,0.23,4.0,5.0,RECOVERY_EXIT
111,12,RULE_C,0.8,0.1,6,-4.12,-2.89,2.0,,DEADLINE_EXIT
112,12,RULE_C,0.8,0.1,6,-1.57,-0.31,3.0,,DEADLINE_EXIT
113,12,RULE_C,0.8,0.1,6,-1.76,-1.27,4.0,,DEADLINE_EXIT
114,13,RULE_C,0.8,0.1,6,1.46,-0.19,4.0,,DEADLINE_EXIT
115,14,RULE_C,0.8,0.1,6,-0.77,-1.25,6.0,,DEADLINE_EXIT
116,14,RULE_C,0.8,0.1,6,0.17,-0.65,4.0,,DEADLINE_EXIT
117,14,RULE_C,0.8,0.1,6,-0.69,-0.76,3.0,,DEADLINE_EXIT
118,14,RULE_C,0.8,0.1,6,-0.71,-0.92,6.0,,DEADLINE_EXIT
119,14,RULE_C,0.8,0.1,6,-1.83,0.25,1.0,3.0,RECOVERY_EXIT
120,14,RULE_C,0.8,0.1,6,-0.21,-0.23,2.0,,DEADLINE_EXIT
121,14,RULE_C,0.8,0.1,6,-0.66,-0.5,1.0,,DEADLINE_EXIT
122,14,RULE_C,0.8,0.1,6,0.36,0.37,5.0,6.0,RECOVERY_EXIT
123,14,RULE_C,0.8,0.1,6,-0.7,-0.38,5.0,,DEADLINE_EXIT
124,14,RULE_C,0.8,0.1,6,-1.59,-1.2,3.0,,DEADLINE_EXIT
125,14,RULE_C,0.8,0.1,6,-0.86,0.15,5.0,7.0,RECOVERY_EXIT
126,14,RULE_C,0.8,0.1,6,-0.92,-1.48,3.0,,DEADLINE_EXIT
127,14,RULE_C,0.8,0.1,6,1.08,0.23,8.0,10.0,RECOVERY_EXIT
128,14,RULE_C,0.8,0.1,6,-0.26,-1.29,2.0,,DEADLINE_EXIT
129,14,RULE_C,0.8,0.1,6,0.34,-1.62,8.0,,DEADLINE_EXIT
130,14,RULE_C,0.8,0.1,6,1.49,-0.18,2.0,,DEADLINE_EXIT
131,14,RULE_C,0.8,0.1,6,1.72,1.72,,,BENCHMARK
132,14,RULE_C,0.8,0.1,6,-0.28,-1.13,3.0,,DEADLINE_EXIT
133,14,RULE_C,0.8,0.1,6,-1.67,-1.31,4.0,,DEADLINE_EXIT
134,14,RULE_C,0.8,0.1,6,-0.63,-0.44,5.0,,DEADLINE_EXIT
135,15,RULE_C,0.8,0.1,6,-0.66,-0.84,4.0,,DEADLINE_EXIT
136,15,RULE_C,0.8,0.1,6,-1.7,0.26,7.0,12.0,RECOVERY_EXIT
137,15,RULE_C,0.8,0.1,6,-1.17,-0.58,5.0,,DEADLINE_EXIT
138,16,RULE_C,0.8,0.1,6,1.92,0.76,7.0,12.0,RECOVERY_EXIT
139,16,RULE_C,0.8,0.1,6,-0.77,0.48,4.0,9.0,RECOVERY_EXIT
140,18,RULE_C,0.8,0.1,6,-2.22,-1.35,6.0,,DEADLINE_EXIT
141,18,RULE_C,0.8,0.1,6,0.02,-0.68,3.0,,DEADLINE_EXIT
142,18,RULE_C,0.8,0.1,6,-1.71,-0.52,6.0,,DEADLINE_EXIT
143,18,RULE_C,0.8,0.1,6,-0.72,-0.18,7.0,,DEADLINE_EXIT
144,18,RULE_C,0.8,0.1,6,-0.79,-0.51,8.0,,DEADLINE_EXIT
145,18,RULE_C,0.8,0.1,6,-0.57,0.41,3.0,5.0,RECOVERY_EXIT
146,18,RULE_C,0.8,0.1,6,0.36,0.22,1.0,4.0,RECOVERY_EXIT
147,18,RULE_C,0.8,0.1,6,-0.21,-0.44,12.0,,DEADLINE_EXIT
148,18,RULE_C,0.8,0.1,6,-0.85,-0.87,4.0,,DEADLINE_EXIT
149,19,RULE_C,0.8,0.1,6,-3.62,-1.55,3.0,,DEADLINE_EXIT
150,19,RULE_C,0.8,0.1,6,3.2,0.66,1.0,2.0,RECOVERY_EXIT
151,20,RULE_C,0.8,0.1,6,-2.01,-1.12,4.0,,DEADLINE_EXIT
152,20,RULE_C,0.8,0.1,6,2.81,-1.21,3.0,,DEADLINE_EXIT
153,20,RULE_C,0.8,0.1,6,-1.63,-1.84,6.0,,DEADLINE_EXIT
154,20,RULE_C,0.8,0.1,6,-0.83,-1.49,2.0,,DEADLINE_EXIT
155,20,RULE_C,0.8,0.1,6,-0.47,-0.51,4.0,,DEADLINE_EXIT
156,20,RULE_C,0.8,0.1,6,2.48,0.36,10.0,13.0,RECOVERY_EXIT
157,20,RULE_C,0.8,0.1,6,-1.99,-0.01,7.0,,DEADLINE_EXIT
158,20,RULE_C,0.8,0.1,6,1.6,0.24,2.0,7.0,RECOVERY_EXIT
159,20,RULE_C,0.8,0.1,6,-1.01,-0.74,3.0,,DEADLINE_EXIT
160,20,RULE_C,0.8,0.1,6,-0.53,-0.25,1.0,,DEADLINE_EXIT
161,20,RULE_C,0.8,0.1,6,-1.65,0.28,3.0,9.0,RECOVERY_EXIT
162,20,RULE_C,0.8,0.1,6,1.38,0.0,6.0,,DEADLINE_EXIT
163,20,RULE_C,0.8,0.1,6,-2.13,-1.16,1.0,,DEADLINE_EXIT
164,20,RULE_C,0.8,0.1,6,0.85,0.43,2.0,8.0,RECOVERY_EXIT
165,20,RULE_C,0.8,0.1,6,-1.62,-0.27,3.0,,DEADLINE_EXIT
166,20,RULE_C,0.8,0.1,6,0.82,-0.77,6.0,,DEADLINE_EXIT
167,20,RULE_C,0.8,0.1,6,0.66,0.19,4.0,6.0,RECOVERY_EXIT
168,20,RULE_C,0.8,0.1,6,-4.76,0.53,3.0,9.0,RECOVERY_EXIT
169,20,RULE_C,0.8,0.1,6,-0.64,-1.86,5.0,,DEADLINE_EXIT
170,20,RULE_C,0.8,0.1,6,-0.33,0.18,1.0,5.0,RECOVERY_EXIT
171,20,RULE_C,0.8,0.1,6,-0.46,0.17,2.0,4.0,RECOVERY_EXIT
172,20,RULE_C,0.8,0.1,6,-1.05,0.14,2.0,5.0,RECOVERY_EXIT
173,20,RULE_C,0.8,0.1,6,-2.57,-1.51,6.0,,DEADLINE_EXIT
174,20,RULE_C,0.8,0.1,6,0.34,-0.53,1.0,,DEADLINE_EXIT
175,20,RULE_C,0.8,0.1,6,-1.25,0.43,2.0,4.0,RECOVERY_EXIT
176,20,RULE_C,0.8,0.1,6,-2.55,-1.84,6.0,,DEADLINE_EXIT
177,20,RULE_C,0.8,0.1,6,-3.23,-2.6,5.0,,DEADLINE_EXIT
178,20,RULE_C,0.8,0.1,6,-0.42,-0.67,2.0,,DEADLINE_EXIT
179,20,RULE_C,0.8,0.1,6,0.87,0.87,,,BENCHMARK
180,20,RULE_C,0.8,0.1,6,-1.73,-1.54,8.0,,DEADLINE_EXIT
181,20,RULE_C,0.8,0.1,6,-2.14,-1.35,6.0,,DEADLINE_EXIT
182,20,RULE_C,0.8,0.1,6,-1.83,-1.14,4.0,,DEADLINE_EXIT
183,20,RULE_C,0.8,0.1,6,-1.25,-1.11,5.0,,DEADLINE_EXIT
184,21,RULE_C,0.8,0.1,6,3.94,0.94,1.0,5.0,RECOVERY_EXIT
185,22,RULE_C,0.8,0.1,6,-2.77,-0.63,3.0,,DEADLINE_EXIT
186,22,RULE_C,0.8,0.1,6,-1.24,-0.08,3.0,,DEADLINE_EXIT
187,22,RULE_C,0.8,0.1,6,-1.29,-1.03,1.0,,DEADLINE_EXIT
