mae_threshold,horizon,recovery_level,observations,reached_trades,not_reached_trades,reached_pct,reached_win_rate,not_reached_win_rate,win_rate_difference,reached_mean_final_R,not_reached_mean_final_R
0.6,1,-0.5,195,92,103,0.4717948717948718,0.31521739130434784,,,-0.3216304347826087,
0.6,1,-0.4,195,56,139,0.28717948717948716,0.35714285714285715,,,-0.155,
0.6,1,-0.3,195,36,159,0.18461538461538463,0.3611111111111111,,,-0.17861111111111116,
0.6,1,-0.2,195,23,172,0.11794871794871795,0.4782608695652174,,,0.08956521739130441,
0.6,1,-0.1,195,15,180,0.07692307692307693,0.6,,,0.46333333333333326,
0.6,1,0.0,195,11,184,0.05641025641025641,0.6363636363636364,,,0.47272727272727266,
0.6,1,0.1,195,8,187,0.041025641025641026,0.625,,,0.4412499999999999,
0.6,1,0.2,195,7,188,0.035897435897435895,0.5714285714285714,,,0.15,
0.6,1,0.3,195,3,192,0.015384615384615385,1.0,,,1.4766666666666666,
0.6,1,0.4,195,2,193,0.010256410256410256,1.0,,,2.035,
0.6,2,-0.5,195,110,85,0.5641025641025641,0.3090909090909091,,,-0.34790909090909095,
0.6,2,-0.4,195,83,112,0.4256410256410256,0.3614457831325301,,,-0.2850602409638554,
0.6,2,-0.3,195,60,135,0.3076923076923077,0.31666666666666665,,,-0.4181666666666667,
0.6,2,-0.2,195,44,151,0.22564102564102564,0.36363636363636365,,,-0.20477272727272727,
0.6,2,-0.1,195,29,166,0.14871794871794872,0.5172413793103449,,,0.0813793103448276,
0.6,2,0.0,195,18,177,0.09230769230769231,0.6111111111111112,,,0.16555555555555557,
0.6,2,0.1,195,13,182,0.06666666666666667,0.6153846153846154,,,0.3523076923076923,
0.6,2,0.2,195,11,184,0.05641025641025641,0.5454545454545454,,,0.23181818181818173,
0.6,2,0.3,195,6,189,0.03076923076923077,0.6666666666666666,,,0.4916666666666667,
0.6,2,0.4,195,5,190,0.02564102564102564,0.6,,,0.518,
0.6,3,-0.5,195,120,75,0.6153846153846154,0.325,,,-0.31666666666666665,
0.6,3,-0.4,195,96,99,0.49230769230769234,0.3541666666666667,,,-0.25718749999999996,
0.6,3,-0.3,195,81,114,0.4153846153846154,0.35802469135802467,,,-0.27987654320987654,
0.6,3,-0.2,195,62,133,0.31794871794871793,0.43548387096774194,,,-0.06854838709677416,
0.6,3,-0.1,195,48,147,0.24615384615384617,0.5,,,0.06479166666666658,
0.6,3,0.0,195,35,160,0.1794871794871795,0.5428571428571428,,,0.025714285714285707,
0.6,3,0.1,195,25,170,0.1282051282051282,0.52,,,0.07119999999999999,
0.6,3,0.2,195,20,175,0.10256410256410256,0.6,,,0.20049999999999998,
0.6,3,0.3,195,11,184,0.05641025641025641,0.6363636363636364,,,0.2172727272727273,
0.6,3,0.4,195,10,185,0.05128205128205128,0.6,,,0.22999999999999998,
0.6,4,-0.5,195,128,67,0.6564102564102564,0.328125,,,-0.34203125,
0.6,4,-0.4,195,100,95,0.5128205128205128,0.37,,,-0.24719999999999995,
0.6,4,-0.3,195,86,109,0.441025641025641,0.37209302325581395,,,-0.2662790697674418,
0.6,4,-0.2,195,72,123,0.36923076923076925,0.4166666666666667,,,-0.10305555555555555,
0.6,4,-0.1,195,58,137,0.29743589743589743,0.4827586206896552,,,-0.013793103448275902,
0.6,4,0.0,195,45,150,0.23076923076923078,0.5333333333333333,,,0.09044444444444442,
0.6,4,0.1,195,36,159,0.18461538461538463,0.5277777777777778,,,0.13777777777777775,
0.6,4,0.2,195,31,164,0.15897435897435896,0.6129032258064516,,,0.24935483870967742,
0.6,4,0.3,195,22,173,0.11282051282051282,0.6818181818181818,,,0.5327272727272727,
0.6,4,0.4,195,18,177,0.09230769230769231,0.6111111111111112,,,0.3150000000000001,
0.6,5,-0.5,195,133,62,0.6820512820512821,0.3233082706766917,,,-0.3602255639097744,
0.6,5,-0.4,195,105,90,0.5384615384615384,0.37142857142857144,,,-0.24457142857142852,
0.6,5,-0.3,195,92,103,0.4717948717948718,0.3804347826086957,,,-0.25989130434782604,
0.6,5,-0.2,195,80,115,0.41025641025641024,0.425,,,-0.14762500000000003,
0.6,5,-0.1,195,66,129,0.3384615384615385,0.4696969696969697,,,-0.09030303030303033,
0.6,5,0.0,195,53,142,0.2717948717948718,0.5094339622641509,,,0.05905660377358489,
0.6,5,0.1,195,42,153,0.2153846153846154,0.47619047619047616,,,0.03666666666666665,
0.6,5,0.2,195,36,159,0.18461538461538463,0.5555555555555556,,,0.1297222222222222,
0.6,5,0.3,195,27,168,0.13846153846153847,0.6666666666666666,,,0.5418518518518519,
0.6,5,0.4,195,24,171,0.12307692307692308,0.625,,,0.44541666666666674,
0.6,6,-0.5,195,139,56,0.7128205128205128,0.3237410071942446,,,-0.35582733812949635,
0.6,6,-0.4,195,116,79,0.5948717948717949,0.3706896551724138,,,-0.24818965517241376,
0.6,6,-0.3,195,99,96,0.5076923076923077,0.3939393939393939,,,-0.23565656565656568,
0.6,6,-0.2,195,88,107,0.4512820512820513,0.4318181818181818,,,-0.14375000000000004,
0.6,6,-0.1,195,73,122,0.37435897435897436,0.4657534246575342,,,-0.11945205479452053,
0.6,6,0.0,195,61,134,0.3128205128205128,0.4918032786885246,,,-0.04016393442622951,
0.6,6,0.1,195,49,146,0.2512820512820513,0.5102040816326531,,,0.09448979591836734,
0.6,6,0.2,195,44,151,0.22564102564102564,0.5454545454545454,,,0.13522727272727275,
0.6,6,0.3,195,30,165,0.15384615384615385,0.6666666666666666,,,0.5646666666666665,
0.6,6,0.4,195,26,169,0.13333333333333333,0.6538461538461539,,,0.5176923076923077,
0.6,8,-0.5,195,142,53,0.7282051282051282,0.31690140845070425,,,-0.37133802816901407,
0.6,8,-0.4,195,122,73,0.6256410256410256,0.36065573770491804,,,-0.2733606557377049,
0.6,8,-0.3,195,108,87,0.5538461538461539,0.3888888888888889,,,-0.25453703703703706,
0.6,8,-0.2,195,96,99,0.49230769230769234,0.4375,,,-0.14802083333333332,
0.6,8,-0.1,195,83,112,0.4256410256410256,0.4819277108433735,,,-0.09156626506024097,
0.6,8,0.0,195,70,125,0.358974358974359,0.5,,,-0.029142857142857154,
0.6,8,0.1,195,61,134,0.3128205128205128,0.4918032786885246,,,-0.005737704918032785,
0.6,8,0.2,195,56,139,0.28717948717948716,0.5,,,-0.006964285714285724,
0.6,8,0.3,195,41,154,0.21025641025641026,0.5609756097560976,,,0.22999999999999998,
0.6,8,0.4,195,37,158,0.18974358974358974,0.5675675675675675,,,0.2743243243243244,
0.6,10,-0.5,195,146,49,0.7487179487179487,0.3150684931506849,,,-0.3785616438356164,
0.6,10,-0.4,195,126,69,0.6461538461538462,0.35714285714285715,,,-0.27642857142857136,
0.6,10,-0.3,195,114,81,0.5846153846153846,0.38596491228070173,,,-0.2385964912280702,
0.6,10,-0.2,195,100,95,0.5128205128205128,0.44,,,-0.1206,
0.6,10,-0.1,195,87,108,0.4461538461538462,0.4827586206896552,,,-0.07586206896551725,
0.6,10,0.0,195,75,120,0.38461538461538464,0.52,,,-0.0041333333333333664,
0.6,10,0.1,195,67,128,0.3435897435897436,0.5373134328358209,,,0.05477611940298506,
0.6,10,0.2,195,62,133,0.31794871794871793,0.5483870967741935,,,0.08838709677419355,
0.6,10,0.3,195,49,146,0.2512820512820513,0.6122448979591837,,,0.313061224489796,
0.6,10,0.4,195,44,151,0.22564102564102564,0.6136363636363636,,,0.32886363636363636,
0.6,12,-0.5,195,149,46,0.764102564102564,0.31543624161073824,,,-0.37731543624161074,
0.6,12,-0.4,195,131,64,0.6717948717948717,0.35877862595419846,,,-0.27572519083969466,
0.6,12,-0.3,195,119,76,0.6102564102564103,0.37815126050420167,,,-0.24504201680672263,
0.6,12,-0.2,195,103,92,0.5282051282051282,0.4368932038834951,,,-0.1267961165048544,
0.6,12,-0.1,195,94,101,0.48205128205128206,0.4574468085106383,,,-0.10117021276595745,
0.6,12,0.0,195,79,116,0.40512820512820513,0.5063291139240507,,,0.012531645569620248,
0.6,12,0.1,195,73,122,0.37435897435897436,0.5342465753424658,,,0.09972602739726026,
0.6,12,0.2,195,68,127,0.3487179487179487,0.5588235294117647,,,0.14691176470588235,
0.6,12,0.3,195,54,141,0.27692307692307694,0.6296296296296297,,,0.39870370370370367,
0.6,12,0.4,195,48,147,0.24615384615384617,0.625,,,0.3852083333333333,
0.7,1,-0.5,195,80,115,0.41025641025641024,0.3875,,,-0.14212499999999995,
0.7,1,-0.4,195,59,136,0.30256410256410254,0.4067796610169492,,,-0.10677966101694916,
0.7,1,-0.3,195,36,159,0.18461538461538463,0.3611111111111111,,,-0.25361111111111106,
0.7,1,-0.2,195,26,169,0.13333333333333333,0.4230769230769231,,,-0.11999999999999997,
0.7,1,-0.1,195,18,177,0.09230769230769231,0.5555555555555556,,,0.25555555555555554,
0.7,1,0.0,195,13,182,0.06666666666666667,0.6153846153846154,,,0.3523076923076923,
0.7,1,0.1,195,9,186,0.046153846153846156,0.6666666666666666,,,0.5444444444444445,
0.7,1,0.2,195,7,188,0.035897435897435895,0.5714285714285714,,,0.15,
0.7,1,0.3,195,3,192,0.015384615384615385,1.0,,,1.4766666666666666,
0.7,1,0.4,195,2,193,0.010256410256410256,1.0,,,2.035,
0.7,2,-0.5,195,100,95,0.5128205128205128,0.35,,,-0.23840000000000003,
0.7,2,-0.4,195,80,115,0.41025641025641024,0.3875,,,-0.20175,
0.7,2,-0.3,195,66,129,0.3384615384615385,0.3787878787878788,,,-0.2521212121212121,
0.7,2,-0.2,195,48,147,0.24615384615384617,0.4375,,,-0.019791666666666635,
0.7,2,-0.1,195,35,160,0.1794871794871795,0.6,,,0.37142857142857144,
0.7,2,0.0,195,23,172,0.11794871794871795,0.6521739130434783,,,0.36999999999999994,
0.7,2,0.1,195,15,180,0.07692307692307693,0.6,,,0.37200000000000005,
0.7,2,0.2,195,14,181,0.07179487179487179,0.5714285714285714,,,0.3514285714285715,
0.7,2,0.3,195,7,188,0.035897435897435895,0.7142857142857143,,,0.6171428571428572,
0.7,2,0.4,195,6,189,0.03076923076923077,0.6666666666666666,,,0.66,
0.7,3,-0.5,195,113,82,0.5794871794871795,0.35398230088495575,,,-0.22973451327433633,
0.7,3,-0.4,195,94,101,0.48205128205128206,0.3829787234042553,,,-0.18617021276595744,
0.7,3,-0.3,195,80,115,0.41025641025641024,0.4,,,-0.202625,
0.7,3,-0.2,195,62,133,0.31794871794871793,0.45161290322580644,,,-0.012096774193548413,
0.7,3,-0.1,195,49,146,0.2512820512820513,0.5102040816326531,,,0.15387755102040818,
0.7,3,0.0,195,36,159,0.18461538461538463,0.5555555555555556,,,0.09944444444444445,
0.7,3,0.1,195,27,168,0.13846153846153847,0.5555555555555556,,,0.2403703703703703,
0.7,3,0.2,195,21,174,0.1076923076923077,0.6190476190476191,,,0.34761904761904766,
0.7,3,0.3,195,14,181,0.07179487179487179,0.6428571428571429,,,0.4771428571428572,
0.7,3,0.4,195,12,183,0.06153846153846154,0.5833333333333334,,,0.37999999999999995,
0.7,4,-0.5,195,119,76,0.6102564102564103,0.35294117647058826,,,-0.26201680672268907,
0.7,4,-0.4,195,99,96,0.5076923076923077,0.3838383838383838,,,-0.19535353535353536,
0.7,4,-0.3,195,83,112,0.4256410256410256,0.39759036144578314,,,-0.2136144578313253,
0.7,4,-0.2,195,72,123,0.36923076923076925,0.4444444444444444,,,-0.05430555555555556,
0.7,4,-0.1,195,60,135,0.3076923076923077,0.5,,,0.0715,
0.7,4,0.0,195,48,147,0.24615384615384617,0.5208333333333334,,,0.11645833333333333,
0.7,4,0.1,195,37,158,0.18974358974358974,0.5405405405405406,,,0.20648648648648651,
0.7,4,0.2,195,31,164,0.15897435897435896,0.6129032258064516,,,0.28999999999999987,
