window,vol_bucket,trades,wins,losses,win_rate,mean_R,median_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak
1,40-60,29,14,15,0.4827586206896552,0.06303448275862066,-0.143,1.827999999999999,1.1553101104502972,-2.4135000000000004,4
5,40-60,6,2,4,0.3333333333333333,0.05075000000000005,-0.08049999999999995,0.3045000000000003,1.2626131953428203,-0.7805,2
7,40-60,3,0,3,0.0,-0.5346666666666667,-0.4805,-1.604,0.0,-1.5360000000000003,3
8,40-60,6,4,2,0.6666666666666666,0.7090833333333334,1.2445,4.2545,6.880442294402212,-0.518,1
9,40-60,31,10,21,0.3225806451612903,-0.3042903225806452,-1.0555,-9.433000000000002,0.533089145176459,-8.566500000000001,4
10,40-60,42,20,22,0.47619047619047616,0.05997619047619042,-0.1305,2.5189999999999975,1.1304606779397675,-4.708500000000001,3
12,40-60,37,21,16,0.5675675675675675,0.11882432432432424,0.2445,4.396499999999997,1.2752026540640353,-3.6330000000000005,3
