entry_timestamp,exit_timestamp,session_id,quality,hmm_state,vol_percentile,stop_points,target_points,rr,horizon,mae_threshold_R,recovery_threshold_R,recovery_deadline_bars,raw_points,net_points,net_R,exit_reason,holding_bars,window,validation_start,validation_end
2021-06-10 10:38:00-04:00,2021-06-10 10:45:00-04:00,2021-06-10,0.7993706287708305,2,0.46603501773049644,20.0,35.0,1.75,20,0.7,0.2,6,35.0,33.89,1.6945000000000001,target,7,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-06-15 10:23:00-04:00,2021-06-15 10:43:00-04:00,2021-06-15,1.0,2,0.543354086073501,20.0,35.0,1.75,20,0.7,0.2,6,17.75,16.64,0.8320000000000001,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-06-16 12:24:00-04:00,2021-06-16 12:37:00-04:00,2021-06-16,1.0,2,0.45130661669890393,20.0,35.0,1.75,20,0.7,0.2,6,-17.25,-18.36,-0.9179999999999999,recovery_deadline,13,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-06-17 12:07:00-04:00,2021-06-17 12:19:00-04:00,2021-06-17,0.9389952153110048,2,0.48475278046421666,20.0,35.0,1.75,20,0.7,0.2,6,35.0,33.89,1.6945000000000001,target,12,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-06-18 14:51:00-04:00,2021-06-18 15:11:00-04:00,2021-06-18,0.8894961004156077,2,0.4650981221792392,20.0,35.0,1.75,20,0.7,0.2,6,11.5,10.39,0.5195000000000001,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-07-01 10:17:00-04:00,2021-07-01 10:37:00-04:00,2021-07-01,0.9586770358936768,2,0.41941187137330754,20.0,35.0,1.75,20,0.7,0.2,6,-24.0,-25.11,-1.2555,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-07-01 11:11:00-04:00,2021-07-01 11:21:00-04:00,2021-07-01,1.0,2,0.42225278046421666,20.0,35.0,1.75,20,0.7,0.2,6,1.0,-0.10999999999999988,-0.005499999999999994,recovery_deadline,10,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-07-01 11:24:00-04:00,2021-07-01 11:36:00-04:00,2021-07-01,0.7984189723320159,2,0.5198813265635074,20.0,35.0,1.75,20,0.7,0.2,6,-18.75,-19.86,-0.993,recovery_deadline,12,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-07-06 12:02:00-04:00,2021-07-06 12:09:00-04:00,2021-07-06,0.828504938656959,2,0.5364180367504836,20.0,35.0,1.75,20,0.7,0.2,6,35.0,33.89,1.6945000000000001,target,7,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-07-08 14:30:00-04:00,2021-07-08 14:40:00-04:00,2021-07-08,0.7747220262129211,2,0.4175683027079304,20.0,35.0,1.75,20,0.7,0.2,6,-13.25,-14.36,-0.718,recovery_deadline,10,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2021-07-13 13:23:00-04:00,2021-07-13 13:38:00-04:00,2021-07-13,0.8145973154362416,2,0.4461285058027079,20.0,35.0,1.75,20,0.7,0.2,6,35.0,33.89,1.6945000000000001,target,15,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
