mae_threshold_R,decision_bar,triggered,failed,survived,failure_rate,survival_rate,mean_final_R,total_final_R,profit_factor,target_n,stop_n,timeout_n,recovery_n,target_rate,stop_rate,timeout_rate,recovery_rate
1.0,6,83,83,0,1.0,0.0,-1.0443999999999996,-86.68519999999997,0.0,0,83,0,0,0.0,1.0,0.0,0.0
1.0,5,69,69,0,1.0,0.0,-1.0443999999999996,-72.06359999999997,0.0,0,69,0,0,0.0,1.0,0.0,0.0
1.0,4,54,54,0,1.0,0.0,-1.0444000000000002,-56.39760000000001,0.0,0,54,0,0,0.0,1.0,0.0,0.0
1.0,3,34,34,0,1.0,0.0,-1.0444000000000002,-35.509600000000006,0.0,0,34,0,0,0.0,1.0,0.0,0.0
1.0,2,17,17,0,1.0,0.0,-1.0444,-17.7548,0.0,0,17,0,0,0.0,1.0,0.0,0.0
1.0,14,132,131,1,0.9924242424242424,0.007575757575757576,-1.0235666666666663,-135.11079999999995,0.01246634175435109,1,131,0,1,0.007575757575757576,0.9924242424242424,0.0,0.007575757575757576
1.0,12,126,125,1,0.9920634920634921,0.007936507936507936,-1.0225746031746028,-128.84439999999995,0.013064726158559943,1,125,0,1,0.007936507936507936,0.9920634920634921,0.0,0.007936507936507936
1.0,10,119,118,1,0.9915966386554622,0.008403361344537815,-1.0212907563025206,-121.53359999999995,0.013839752286610111,1,118,0,1,0.008403361344537815,0.9915966386554622,0.0,0.008403361344537815
1.0,8,102,101,1,0.9901960784313726,0.00980392156862745,-1.0174392156862742,-103.77879999999996,0.01616921554277221,1,101,0,1,0.00980392156862745,0.9901960784313726,0.0,0.00980392156862745
1.0,7,96,95,1,0.9895833333333334,0.010416666666666666,-1.0157541666666665,-97.51239999999999,0.01719042915599993,1,95,0,1,0.010416666666666666,0.9895833333333334,0.0,0.010416666666666666
0.95,14,145,138,7,0.9517241379310345,0.04827586206896552,-0.9204689655172411,-133.46799999999996,0.06066134036000429,3,134,8,7,0.020689655172413793,0.9241379310344827,0.05517241379310345,0.04827586206896552
0.95,12,140,133,7,0.95,0.05,-0.9204714285714283,-128.86599999999996,0.06269183883065234,3,130,7,7,0.02142857142857143,0.9285714285714286,0.05,0.05
0.95,10,134,127,7,0.9477611940298507,0.05223880597014925,-0.9149223880597015,-122.5996,0.06568570966965102,3,124,7,7,0.022388059701492536,0.9253731343283582,0.05223880597014925,0.05223880597014925
0.95,8,120,113,7,0.9416666666666667,0.058333333333333334,-0.8998166666666664,-107.97799999999997,0.07392287293348385,3,110,7,7,0.025,0.9166666666666666,0.058333333333333334,0.058333333333333334
