quality_bucket,trades,wins,losses,mean_R,median_R,total_R,mean_holding_bars,median_holding_bars,win_rate
0.75-0.80,100,42,58,-0.10337500000000004,-0.28049999999999997,-10.337500000000004,10.01,12.0,0.42
0.80-0.85,60,18,42,-0.28258333333333335,-0.9430000000000001,-16.955000000000002,8.416666666666666,7.5,0.3
0.85-0.90,57,26,31,-0.009885964912280755,-0.1805,-0.563500000000003,7.105263157894737,5.0,0.45614035087719296
0.90-0.95,40,15,25,-0.10862500000000005,-0.718,-4.345000000000002,7.175,5.0,0.375
0.95-1.00,100,47,53,-0.05137500000000007,-1.0555,-5.137500000000007,7.75,7.0,0.47
