architecture,trades,WR,mean_R,total_R,PF,max_DD_R,worst_streak,trading_days,profitable_days,losing_days,mean_daily_R,median_daily_R,worst_day_R,best_day_R,trades_per_day,months,profitable_months,losing_months,mean_monthly_R,median_monthly_R,worst_month_R,best_month_R
A_SELECTIVE,443,0.40632054176072235,-0.13360383747178323,-59.18649999999997,0.7451565470308487,-59.88150000000041,12,229,92,137,-0.25845633187772904,-0.3859999999999999,-4.2219999999999995,3.8420000000000005,1.9344978165938864,36,14,22,-1.6440694444444435,-0.20474999999999985,-11.040499999999998,4.813500000000004
B_SELECTIVE,357,0.41456582633053224,-0.10458963585434171,-37.33849999999999,0.8013640147998798,-36.84999999999996,8,199,77,122,-0.18763065326633163,-0.3649999999999999,-3.9719999999999995,3.9225,1.7939698492462313,34,10,24,-1.0981911764705878,-1.0554999999999999,-10.229499999999998,5.356
AB_SELECTIVE,375,0.416,-0.10453333333333327,-39.199999999999974,0.8005769025319612,-39.89499999999994,8,211,83,128,-0.18578199052132696,-0.34299999999999997,-3.9719999999999995,3.9225,1.7772511848341233,35,12,23,-1.1199999999999992,-1.0554999999999999,-10.229499999999998,4.757500000000001
