entry_timestamp,exit_timestamp,session_id,candidate,quality,rr,raw_points,net_points,net_R,exit_reason,holding_bars,vol_percentile,vol_bucket,window,entry_realized_vol_5,entry_realized_vol_15,entry_realized_vol_30,entry_realized_vol_60,entry_vol_ratio_5_30,entry_vol_ratio_5_60,entry_variance_5,entry_variance_30,entry_variance_60,entry_variance_ratio_5_30,entry_variance_ratio_5_60,entry_past_return_1,entry_past_return_3,entry_past_return_5,entry_past_return_10,entry_past_return_15,entry_past_return_30,entry_minutes_since_rth_open,entry_minutes_until_rth_close,entry_rth_progress,entry_hour,entry_minute,entry_minutes,entry_minutes_from_rth_open,entry_time_bucket,entry_vol_bucket,outcome,is_win,is_loss,abs_R
2021-05-06 10:09:00-04:00,2021-05-06 10:10:00-04:00,2021-05-05,B,0.9734032616281882,1.3,-20.0,-21.11,-1.0555,stop,1,0.8869263708706397,80-100,1,0.0014976676230481281,0.0035470909668544764,0.004713975173763225,0.005908918795098327,0.31770799969074115,0.2534588263914712,4.48601661825326e-07,7.407187312952009e-07,5.81922022117771e-07,0.6056302384049519,0.7708965201089035,-0.0009499772533633791,-0.001154756046442529,-0.001880452234892162,-0.0009499772533632699,-0.003497417710933679,-0.006871602858496083,39.0,411.0,0.08666666666666667,10,9,609,39,10:00-10:30,80-100,LOSS,False,True,1.0555
2021-05-06 10:18:00-04:00,2021-05-06 10:24:00-04:00,2021-05-05,B,0.7827695409518295,1.3,-20.0,-21.11,-1.0555,stop,6,0.8989127187463222,80-100,1,0.0016920305946676849,0.0033823887370181796,0.00492918872937525,0.006362866733600536,0.34326756137051817,0.26592268320386786,5.725935066582958e-07,8.098967176599996e-07,6.747678844926726e-07,0.7069957121355745,0.8485784813081358,-0.0015665507390493843,-0.001995059627850189,-0.0022371791056824027,-0.0024606219890249805,-0.0015665507390490124,-0.006010382716124882,48.0,402.0,0.10666666666666667,10,18,618,48,10:00-10:30,80-100,LOSS,False,True,1.0555
2021-05-06 13:19:00-04:00,2021-05-06 13:34:00-04:00,2021-05-05,B,0.8332185129482752,1.3,-15.0,-16.11,-0.8055,timeout,15,0.4756108601381508,40-60,1,0.0006637334478177161,0.0015936725602595093,0.001951071569968929,0.0029883863806552196,0.34018918528359576,0.22210429418172792,8.810841795039856e-08,1.268893423713674e-07,1.488408860014267e-07,0.6943720907034998,0.5919638099275626,-0.0002772207711553875,-0.0007021434139169451,-0.0005358908389280555,-0.0019573814278449272,-0.0029530668735293568,-0.0029714961465874636,229.0,221.0,0.5088888888888888,13,19,799,229,13:00-14:30,40-60,LOSS,False,True,0.8055
2021-05-06 13:57:00-04:00,2021-05-06 14:08:00-04:00,2021-05-05,B,0.8099680013742514,1.3,-20.0,-21.11,-1.0555,stop,11,0.4918114413492789,40-60,1,0.0005041790488878096,0.0014158619575371377,0.0020039707730769166,0.002785386799400136,0.251590021002995,0.18100863011068702,5.0839302667483264e-08,1.3386329531154983e-07,1.2930632703787553e-07,0.37978523200972486,0.39316949009457025,-0.00027784724137514574,-1.8525551367114864e-05,-0.0005000694645117791,-0.0012219508296748601,-0.001332963263181195,-0.0029043168914327407,267.0,183.0,0.5933333333333334,13,57,837,267,13:00-14:30,40-60,LOSS,False,True,1.0555
2021-05-07 12:40:00-04:00,2021-05-07 12:55:00-04:00,2021-05-06,B,0.9028119604386228,1.3,-12.75,-13.86,-0.693,timeout,15,0.4075584606052924,40-60,1,0.000438506170803639,0.0013124568232885908,0.0017428368326142865,0.0025995156328695646,0.2516048333370783,0.16868764521318877,3.8457532366574044e-08,1.0124934083723329e-07,1.126246920922209e-07,0.3798299529514737,0.34146625977084777,-9.107219299025047e-05,-0.0006555347395009751,-0.0006919407392137466,-0.0012378717470952006,-0.0020925648824755786,-0.0036545827455255306,190.0,260.0,0.4222222222222222,12,40,760,190,11:30-13:00,40-60,LOSS,False,True,0.693
2021-05-10 09:55:00-04:00,2021-05-10 10:07:00-04:00,2021-05-09,B,0.9510840230298668,1.3,26.0,24.89,1.2445,target,12,0.830833159814954,80-100,1,0.0014424786815987363,0.0020325199972232497,0.003944710215414425,0.004189150000377557,0.3656741820887322,0.344336841953315,4.1614894937336564e-07,5.18691289453164e-07,2.924829620943882e-07,0.8023056446775794,1.4228143287165862,0.0004620773229981376,-0.0009604374422302861,-0.0014956656190826178,-0.0020306074799712266,-0.0010896566813088796,-0.00908712542294859,25.0,425.0,0.05555555555555555,9,55,595,25,09:30-10:00,80-100,WIN,True,False,1.2445
2021-05-10 16:41:00-04:00,2021-05-10 16:53:00-04:00,2021-05-09,B,0.7941591179572481,1.3,26.0,24.89,1.2445,target,12,0.4936763867136222,40-60,1,0.0005183316345688085,0.0009073870188910188,0.002010402034150243,0.003725749503687243,0.25782486575522046,0.13912143960720763,5.373353667895458e-08,1.3472387796384783e-07,2.3135348940376228e-07,0.3988419684101847,0.23225729950058302,-0.0004310789222309342,-0.0004685552652936454,-0.0007683154593848599,-0.0007870474883449655,-0.00035612202241287207,-0.0028080440780983732,431.0,19.0,0.9577777777777777,16,41,1001,431,15:30-16:00,40-60,WIN,True,False,1.2445
2021-05-11 10:34:00-04:00,2021-05-11 10:41:00-04:00,2021-05-10,B,0.8895143887083986,1.3,-20.0,-21.11,-1.0555,stop,7,0.9190604658742156,80-100,1,0.0018449004457318943,0.004096222330635362,0.005377705099212072,0.00834566459482922,0.3430646366239392,0.22106093825948286,6.807315309323484e-07,9.639904044697174e-07,1.1608352921564327e-06,0.7061600694114925,0.5864152610899548,-0.0007219393884499823,-0.0011016982461421456,-0.0011016982461421378,-0.0035287458358314585,-0.006459885121097778,-0.007554493341815015,64.0,386.0,0.14222222222222222,10,34,634,64,10:30-11:30,80-100,LOSS,False,True,1.0555
2021-05-11 16:36:00-04:00,2021-05-11 16:51:00-04:00,2021-05-10,B,0.8210999961462951,1.3,-1.75,-2.86,-0.143,timeout,15,0.5424954055350855,40-60,1,0.00041468985975288226,0.001225487839845026,0.0021774213878212436,0.0044014865016086925,0.19044997999575378,0.09421586539032163,3.439353595637303e-08,1.5803879667137968e-07,3.228847237307255e-07,0.21762716928229808,0.10651955149496646,-9.388525351218717e-05,-0.0002628565006405414,-0.00026285650064055907,-0.0017260792277988832,-0.0011635546025137245,-0.003056128223551396,426.0,24.0,0.9466666666666667,16,36,996,426,15:30-16:00,40-60,LOSS,False,True,0.143
2021-05-12 10:15:00-04:00,2021-05-12 10:20:00-04:00,2021-05-11,B,0.9771066331594548,1.3,-20.0,-21.11,-1.0555,stop,5,0.853638001430395,80-100,1,0.001938902212943807,0.002608891621660005,0.004219612653421839,0.0062698695583551095,0.45949767720302,0.3092412361849,7.518683582716783e-07,5.935043648305898e-07,6.551877379798015e-07,1.2668286921298246,1.1475617058859813,-0.00034300741613437364,0.0001143619557139064,-0.0019421548784575007,-0.00215137780624959,-0.0014093898152432187,-0.0067432419711460625,45.0,405.0,0.1,10,15,615,45,10:00-10:30,80-100,LOSS,False,True,1.0555
