trades,wins,losses,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,positive_window_pct,worst_window_R,best_window_R,scenario,scenario_column
195,27,168,0.13846153846153847,-0.6917846153846152,-134.89799999999997,0.17724653450370587,-135.99599999999975,0.1,-23.705199999999998,0.6612,BENCHMARK,benchmark_R
195,7,188,0.035897435897435895,-0.7286646153846154,-142.0896,0.04694651778000762,-141.28959999999987,0.05,-23.8944,0.0456,THRESHOLD_EXIT,threshold_exit_R
195,7,187,0.035897435897435895,-0.6856389743589744,-133.6996,0.049745982197431676,-132.93959999999993,0.05,-22.5744,0.0456,SAME_BAR_CLOSE,same_bar_close_R
195,7,188,0.035897435897435895,-0.7286646153846154,-142.0896,0.04694651778000762,-141.28959999999987,0.05,-23.8944,0.0456,NEXT_BAR_OPEN,next_bar_open_R
195,17,178,0.08717948717948718,-0.6440492307692307,-125.58959999999999,0.06790323203115957,-125.04959999999998,0.05,-22.1444,0.0456,NEXT_BAR_CLOSE,next_bar_close_R
