trade_index,window,boundary_R,execution_model,crossing_bar,triggered,original_R,strategy_R,delta_R
95,12,0.95,BAR_CLOSE_BOUNDARY,5.0,True,-0.76,-1.11,-0.3500000000000001
96,12,0.95,BAR_CLOSE_BOUNDARY,2.0,True,-1.45,-0.8,0.6499999999999999
97,12,0.95,BAR_CLOSE_BOUNDARY,2.0,True,-1.36,-0.88,0.4800000000000001
98,12,0.95,BAR_CLOSE_BOUNDARY,7.0,True,-2.61,-0.98,1.63
99,12,0.95,BAR_CLOSE_BOUNDARY,,False,1.04,1.04,0.0
100,12,0.95,BAR_CLOSE_BOUNDARY,4.0,True,-1.52,-0.91,0.61
101,12,0.95,BAR_CLOSE_BOUNDARY,3.0,True,1.58,-0.41,-1.99
102,12,0.95,BAR_CLOSE_BOUNDARY,4.0,True,-1.31,-1.11,0.19999999999999996
103,12,0.95,BAR_CLOSE_BOUNDARY,,False,0.25,0.25,0.0
104,12,0.95,BAR_CLOSE_BOUNDARY,19.0,True,-0.64,-1.0,-0.36
105,12,0.95,BAR_CLOSE_BOUNDARY,6.0,True,-1.46,-0.64,0.82
106,12,0.95,BAR_CLOSE_BOUNDARY,20.0,True,-0.63,-0.63,0.0
107,12,0.95,BAR_CLOSE_BOUNDARY,,False,1.46,1.46,0.0
108,12,0.95,BAR_CLOSE_BOUNDARY,3.0,True,-2.49,-1.24,1.2500000000000002
109,12,0.95,BAR_CLOSE_BOUNDARY,,False,1.37,1.37,0.0
110,12,0.95,BAR_CLOSE_BOUNDARY,11.0,True,-1.29,-1.28,0.010000000000000009
111,12,0.95,BAR_CLOSE_BOUNDARY,2.0,True,-4.12,-1.17,2.95
112,12,0.95,BAR_CLOSE_BOUNDARY,3.0,True,-1.57,-0.84,0.7300000000000001
113,12,0.95,BAR_CLOSE_BOUNDARY,4.0,True,-1.76,-0.98,0.78
114,13,0.95,BAR_CLOSE_BOUNDARY,4.0,True,1.46,-0.94,-2.4
115,14,0.95,BAR_CLOSE_BOUNDARY,6.0,True,-0.77,-0.93,-0.16000000000000003
116,14,0.95,BAR_CLOSE_BOUNDARY,5.0,True,0.17,-0.75,-0.92
117,14,0.95,BAR_CLOSE_BOUNDARY,8.0,True,-0.69,-0.92,-0.2300000000000001
118,14,0.95,BAR_CLOSE_BOUNDARY,12.0,True,-0.71,-0.92,-0.21000000000000008
119,14,0.95,BAR_CLOSE_BOUNDARY,6.0,True,-1.83,-0.58,1.25
120,14,0.95,BAR_CLOSE_BOUNDARY,2.0,True,-0.21,-0.99,-0.78
121,14,0.95,BAR_CLOSE_BOUNDARY,1.0,True,-0.66,-0.87,-0.20999999999999996
122,14,0.95,BAR_CLOSE_BOUNDARY,,False,0.36,0.36,0.0
123,14,0.95,BAR_CLOSE_BOUNDARY,6.0,True,-0.7,-1.08,-0.3800000000000001
124,14,0.95,BAR_CLOSE_BOUNDARY,4.0,True,-1.59,-1.14,0.4500000000000002
125,14,0.95,BAR_CLOSE_BOUNDARY,18.0,True,-0.86,-1.11,-0.2500000000000001
126,14,0.95,BAR_CLOSE_BOUNDARY,5.0,True,-0.92,-1.02,-0.09999999999999998
127,14,0.95,BAR_CLOSE_BOUNDARY,,False,1.08,1.08,0.0
128,14,0.95,BAR_CLOSE_BOUNDARY,2.0,True,-0.26,-0.75,-0.49
129,14,0.95,BAR_CLOSE_BOUNDARY,8.0,True,0.34,-0.86,-1.2
130,14,0.95,BAR_CLOSE_BOUNDARY,3.0,True,1.49,-1.01,-2.5
131,14,0.95,BAR_CLOSE_BOUNDARY,,False,1.72,1.72,0.0
132,14,0.95,BAR_CLOSE_BOUNDARY,4.0,True,-0.28,-0.89,-0.61
133,14,0.95,BAR_CLOSE_BOUNDARY,4.0,True,-1.67,-1.14,0.53
134,14,0.95,BAR_CLOSE_BOUNDARY,5.0,True,-0.63,-1.13,-0.4999999999999999
135,15,0.95,BAR_CLOSE_BOUNDARY,5.0,True,-0.66,-0.82,-0.15999999999999992
136,15,0.95,BAR_CLOSE_BOUNDARY,7.0,True,-1.7,-1.16,0.54
137,15,0.95,BAR_CLOSE_BOUNDARY,5.0,True,-1.17,-0.66,0.5099999999999999
138,16,0.95,BAR_CLOSE_BOUNDARY,7.0,True,1.92,-0.69,-2.61
139,16,0.95,BAR_CLOSE_BOUNDARY,,False,-0.77,-0.77,0.0
140,18,0.95,BAR_CLOSE_BOUNDARY,10.0,True,-2.22,-1.0,1.2200000000000002
141,18,0.95,BAR_CLOSE_BOUNDARY,3.0,True,0.02,-0.33,-0.35000000000000003
142,18,0.95,BAR_CLOSE_BOUNDARY,13.0,True,-1.71,-1.31,0.3999999999999999
143,18,0.95,BAR_CLOSE_BOUNDARY,,False,-0.72,-0.72,0.0
144,18,0.95,BAR_CLOSE_BOUNDARY,,False,-0.79,-0.79,0.0
145,18,0.95,BAR_CLOSE_BOUNDARY,3.0,True,-0.57,-0.59,-0.020000000000000018
146,18,0.95,BAR_CLOSE_BOUNDARY,1.0,True,0.36,-0.94,-1.2999999999999998
