sample,trades,observed_total_R,observed_mean_R,observed_win_rate,observed_profit_factor,observed_max_drawdown_R,mc_negative_probability,bootstrap_negative_probability,mc_total_R_p05,mc_total_R_p50,mc_total_R_p95,mc_max_DD_p05,mc_max_DD_p50,mc_max_DD_p95,bootstrap_total_R_p05,bootstrap_total_R_p50,bootstrap_total_R_p95,bootstrap_mean_R_p05,bootstrap_mean_R_p50,bootstrap_mean_R_p95,bootstrap_win_rate_p05,bootstrap_win_rate_p50,bootstrap_win_rate_p95,bootstrap_max_DD_p05,bootstrap_max_DD_p50,bootstrap_max_DD_p95,mc_probability_DD_le_10R,mc_probability_DD_le_15R,mc_probability_DD_le_20R,mc_probability_DD_le_25R,mc_probability_DD_le_30R
FULL_DATASET,537,49.26520000000001,0.09174152700186221,0.5065176908752328,1.2375600347188738,-16.581599999999987,0.0,0.0213,49.265199999999716,49.26519999999987,49.26519999999999,-23.60049999999998,-14.899600000000017,-10.245179999999998,9.630620000000015,48.922000000000004,88.77686,0.017934115456238388,0.09110242085661081,0.16532003724394786,0.47113594040968343,0.5065176908752328,0.5418994413407822,-28.143299999999996,-15.157000000000002,-9.204600000000003,0.9621,0.4908,0.1462,0.0317,0.0063
DEVELOPMENT,320,14.920000000000003,0.046625000000000014,0.484375,1.1271310642881003,-16.581599999999987,0.0,0.1969,14.920000000000007,14.92000000000002,14.920000000000044,-21.85611999999998,-13.721599999999995,-9.145999999999999,-13.676519999999996,14.971000000000007,42.818119999999965,-0.04273912499999999,0.046784375000000024,0.1338066249999999,0.4375,0.484375,0.53125,-27.961079999999978,-14.084999999999992,-7.709800000000002,0.8926,0.3762,0.0926,0.0147,0.0009
HOLDOUT_OOS,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.381525158630006,-7.7644000000000055,0.0,0.0215,34.34519999999991,34.34519999999999,34.34520000000002,-15.997599999999991,-10.050199999999998,-6.771839999999997,6.389179999999998,34.369400000000006,62.37557999999997,0.029443225806451603,0.15838433179723505,0.2874450691244238,0.4838709677419355,0.5391705069124424,0.5944700460829493,-18.78286,-10.171399999999995,-6.132000000000026,0.5072,0.0796,0.0082,0.0003,0.0
