decision_bar,outcome,trades,mean_early_MAE_R,median_early_MAE_R,mean_max_MFE_R,median_max_MFE_R,mean_final_close_R,mean_time_to_MFE,mean_time_to_MAE
1,WIN,2,0.89,0.89,3.5549999999999997,3.5549999999999997,2.39,11.5,2.0
1,LOSS,17,0.9029411764705882,0.86,1.1764705882352942,0.56,-0.5129411764705883,8.764705882352942,11.235294117647058
2,WIN,5,0.8719999999999999,0.85,2.4219999999999997,1.69,1.842,16.0,2.2
2,LOSS,47,0.9617021276595745,0.96,0.7138297872340427,0.33,-0.8506382978723405,6.808510638297872,11.787234042553191
3,WIN,11,0.859090909090909,0.84,1.8727272727272728,1.66,1.41,14.545454545454545,3.8181818181818183
3,LOSS,77,1.023246753246753,0.97,0.5929870129870131,0.26,-0.9954545454545454,6.103896103896104,12.545454545454545
5,WIN,22,0.8627272727272728,0.865,1.686363636363636,1.6549999999999998,1.1113636363636366,15.181818181818182,4.909090909090909
5,LOSS,119,1.152689075630252,1.04,0.5547899159663866,0.33,-1.0337815126050418,5.436974789915967,13.042016806722689
8,WIN,27,0.8981481481481483,0.86,1.661111111111111,1.65,1.0366666666666668,15.296296296296296,5.7407407407407405
8,LOSS,168,1.2323214285714286,1.085,0.5453571428571429,0.345,-0.959107142857143,5.565476190476191,13.279761904761905
10,WIN,31,0.8951612903225807,0.87,1.6183870967741936,1.58,1.0270967741935484,15.225806451612904,6.32258064516129
10,LOSS,191,1.2971204188481673,1.16,0.5569633507853403,0.36,-0.9848691099476441,5.287958115183246,13.738219895287958
