holding_bucket,trades,wins,losses,mean_R,median_R,total_R,mean_holding_bars,median_holding_bars,win_rate
0-2,61,21,40,-0.26369672131147553,-1.0555,-16.085500000000007,1.5245901639344261,2.0,0.3442622950819672
3-5,86,33,53,-0.17294186046511636,-1.0555,-14.873000000000008,3.9651162790697674,4.0,0.38372093023255816
6-10,71,31,40,-0.051274647887324026,-1.0555,-3.640500000000006,7.746478873239437,7.0,0.43661971830985913
11-15,139,63,76,-0.019708633093525184,-0.143,-2.7395000000000005,14.309352517985612,15.0,0.45323741007194246
16-20,0,0,0,,,0.0,,,
21-30,0,0,0,,,0.0,,,
31+,0,0,0,,,0.0,,,
