mae_threshold,recovery_level,deadline,development_trades,development_wins,development_losses,development_win_rate,development_mean_R,development_total_R,development_profit_factor,development_max_drawdown_R,development_benchmark_total_R,development_benchmark_mean_R,development_benchmark_win_rate,development_delta_R,development_delta_mean_R,development_delta_win_rate,development_delta_max_DD,development_mae_triggered,development_recovery_exits,development_deadline_exits,development_recovery_exit_pct,_score
0.6,0.4,5,95,21,74,0.22105263157894736,-0.5417894736842106,-51.470000000000006,0.13843321057917646,-51.37999999999999,-67.49,-0.7104210526315788,0.21052631578947367,16.01999999999999,0.16863157894736824,0.01052631578947369,17.66999999999998,95,11,84,0.11578947368421053,17.871315789473673
0.6,0.3,5,95,21,74,0.22105263157894736,-0.5467368421052632,-51.940000000000005,0.13056578506863073,-51.87999999999999,-67.49,-0.7104210526315788,0.21052631578947367,15.54999999999999,0.16368421052631565,0.01052631578947369,17.16999999999998,95,13,82,0.1368421052631579,17.348842105263145
0.6,-0.3,3,95,9,86,0.09473684210526316,-0.5614736842105262,-53.339999999999996,0.025575447570332484,-52.57999999999999,-67.49,-0.7104210526315788,0.21052631578947367,14.149999999999999,0.1489473684210526,-0.11578947368421051,16.469999999999978,95,34,61,0.35789473684210527,15.871473684210523
0.6,0.2,5,95,22,73,0.23157894736842105,-0.5609473684210527,-53.290000000000006,0.10796786072982928,-53.22999999999999,-67.49,-0.7104210526315788,0.21052631578947367,14.199999999999989,0.1494736842105261,0.02105263157894738,15.819999999999979,95,16,79,0.16842105263157894,15.85673684210525
0.6,0.1,5,95,22,73,0.23157894736842105,-0.5624210526315789,-53.43,0.10562437227987949,-53.36999999999999,-67.49,-0.7104210526315788,0.21052631578947367,14.059999999999995,0.1479999999999999,0.02105263157894738,15.679999999999978,95,18,77,0.18947368421052632,15.701999999999993
0.7,0.1,3,95,15,80,0.15789473684210525,-0.5669473684210528,-53.86000000000001,0.06509286582190593,-53.46000000000001,-67.49,-0.7104210526315788,0.21052631578947367,13.629999999999988,0.1434736842105261,-0.05263157894736842,15.58999999999996,95,12,83,0.12631578947368421,15.260736842105247
0.7,0.2,3,95,15,80,0.15789473684210525,-0.5669473684210528,-53.86000000000001,0.06509286582190593,-53.46000000000001,-67.49,-0.7104210526315788,0.21052631578947367,13.629999999999988,0.1434736842105261,-0.05263157894736842,15.58999999999996,95,8,87,0.08421052631578947,15.260736842105247
0.7,0.3,3,95,14,81,0.14736842105263157,-0.5696842105263158,-54.120000000000005,0.07122018191178994,-53.72,-67.49,-0.7104210526315788,0.21052631578947367,13.36999999999999,0.14073684210526305,-0.06315789473684211,15.32999999999997,95,6,89,0.06315789473684211,14.97336842105262
0.7,0.4,3,95,14,81,0.14736842105263157,-0.5696842105263158,-54.120000000000005,0.07122018191178994,-53.72,-67.49,-0.7104210526315788,0.21052631578947367,13.36999999999999,0.14073684210526305,-0.06315789473684211,15.32999999999997,95,4,91,0.042105263157894736,14.97336842105262
0.7,-0.3,3,95,10,85,0.10526315789473684,-0.5706315789473685,-54.21000000000001,0.0407007609272695,-53.45000000000001,-67.49,-0.7104210526315788,0.21052631578947367,13.279999999999987,0.13978947368421035,-0.10526315789473684,15.599999999999959,95,34,61,0.35789473684210527,14.909894736842087
0.6,-0.1,5,95,18,77,0.18947368421052632,-0.5727368421052633,-54.41000000000001,0.06704389574759945,-53.98999999999999,-67.49,-0.7104210526315788,0.21052631578947367,13.079999999999984,0.13768421052631552,-0.02105263157894735,15.059999999999981,95,29,66,0.30526315789473685,14.65484210526314
0.6,-0.2,3,95,9,86,0.09473684210526316,-0.5738947368421052,-54.519999999999996,0.02503576537911302,-53.75999999999999,-67.49,-0.7104210526315788,0.21052631578947367,12.969999999999999,0.1365263157894736,-0.11578947368421051,15.289999999999978,95,28,67,0.29473684210526313,14.567263157894734
0.8,0.4,8,95,25,70,0.2631578947368421,-0.5731578947368421,-54.449999999999996,0.18791946308724833,-54.95999999999998,-67.49,-0.7104210526315788,0.21052631578947367,13.04,0.13726315789473675,0.05263157894736842,14.08999999999999,89,16,73,0.1797752808988764,14.517631578947366
0.6,-0.4,3,95,6,89,0.06315789473684211,-0.5747368421052632,-54.60000000000001,0.021505376344086023,-53.809999999999995,-67.49,-0.7104210526315788,0.21052631578947367,12.889999999999986,0.13568421052631563,-0.14736842105263157,15.239999999999974,95,43,52,0.45263157894736844,14.48184210526314
0.7,-0.1,3,95,13,82,0.1368421052631579,-0.576,-54.72,0.04569236135333102,-53.96,-67.49,-0.7104210526315788,0.21052631578947367,12.769999999999996,0.13442105263157889,-0.07368421052631577,15.089999999999968,95,22,73,0.23157894736842105,14.346210526315783
