window,trades,model_trades,recovered,failed_recovery,changed_trades,original_total_R,strategy_total_R,delta_R,original_mean_R,strategy_mean_R,original_win_rate,strategy_win_rate,original_PF,strategy_PF,original_max_DD,strategy_max_DD
1,43,8,3,5,8,11.010800000000001,10.016,-0.9948000000000015,0.2560651162790698,0.23293023255813952,0.5813953488372093,0.5581395348837209,1.9460100350539558,1.8415675203334005,-2.777599999999998,-2.4487999999999985
2,1,1,1,0,1,-1.0444,0.2,1.2444,-1.0444,0.2,0.0,1.0,0.0,inf,0.0,0.0
3,38,14,2,12,14,-8.6272,-5.2056,3.4216000000000006,-0.22703157894736842,-0.13698947368421052,0.34210526315789475,0.39473684210526316,0.5840308582449374,0.7126898622394914,-8.399999999999999,-6.980799999999999
4,1,1,1,0,1,0.0456,0.38,0.33440000000000003,0.0456,0.38,1.0,1.0,inf,inf,0.0,0.0
5,43,7,1,6,7,1.6108,1.3416000000000003,-0.26919999999999966,0.03746046511627907,0.03120000000000001,0.4186046511627907,0.4418604651162791,1.1053499018966644,1.0848619791007768,-6.1724,-3.9748
6,69,17,4,13,17,12.706399999999999,15.2512,2.544800000000002,0.18415072463768115,0.22103188405797103,0.5652173913043478,0.5797101449275363,1.5570050850429602,1.8077794961971145,-5.4496,-5.067599999999999
7,3,0,0,0,0,-0.42319999999999997,-0.42319999999999997,0.0,-0.14106666666666665,-0.14106666666666665,0.3333333333333333,0.3333333333333333,0.3943903835145965,0.3943903835145965,-0.6988,-0.6988
8,6,1,0,1,1,3.1136,3.5279999999999996,0.41439999999999966,0.5189333333333334,0.588,0.6666666666666666,0.6666666666666666,3.9406875708349074,6.474860335195531,-0.7944,-0.3799999999999999
9,40,19,2,17,19,-10.216,-13.3024,-3.086400000000001,-0.25539999999999996,-0.33256,0.3,0.325,0.5392636155358722,0.40663026799414764,-13.276399999999995,-16.5816
10,41,12,4,8,12,12.529600000000002,12.172400000000001,-0.35720000000000063,0.30560000000000004,0.29688780487804883,0.5365853658536586,0.6097560975609756,1.9894184907925079,1.9985889610815781,-2.7176,-4.3788
11,35,15,1,14,15,-12.893999999999998,-9.038,3.855999999999998,-0.36839999999999995,-0.2582285714285714,0.2857142857142857,0.34285714285714286,0.3746847720659554,0.45875053897379386,-13.710799999999995,-9.8748
12,43,19,4,15,19,2.680800000000002,0.4143999999999983,-2.2664000000000035,0.06234418604651167,0.009637209302325542,0.4883720930232558,0.5116279069767442,1.1271919836028241,1.0205706570299624,-4.5608,-5.1532
13,1,1,0,1,1,-1.0444,-0.19,0.8544,-1.0444,-0.19,0.0,0.0,0.0,0.0,0.0,0.0
14,44,20,5,15,20,14.166400000000003,14.2944,0.12799999999999656,0.32196363636363645,0.32487272727272726,0.5681818181818182,0.5909090909090909,1.7517884056125157,1.9214346492019698,-3.1331999999999987,-3.5643999999999973
15,5,3,1,2,3,0.278,2.2512,1.9731999999999998,0.055600000000000004,0.45024,0.4,0.6,1.088727179879995,2.5853521126760564,-1.0444,-0.5800000000000001
16,8,2,2,0,2,2.3648,5.4636000000000005,3.0988000000000007,0.2956,0.6829500000000001,0.625,0.875,1.8145494626618903,6.231328992723094,-2.9031999999999996,-1.0443999999999996
17,5,0,0,0,0,3.2580000000000005,3.2580000000000005,0.0,0.6516000000000001,0.6516000000000001,0.6,0.6,2.7527437056165267,2.7527437056165267,-1.0444,-1.0444
18,20,9,2,7,9,-4.708,0.7115999999999999,5.4196,-0.2354,0.035579999999999994,0.35,0.5,0.6149568175870191,1.095419437888865,-9.446,-4.0264
19,2,2,1,1,2,0.6612,-0.89,-1.5512000000000001,0.3306,-0.445,0.5,0.5,1.6330907698199923,0.42580645161290326,0.0,0.0
20,71,33,9,24,33,2.507600000000003,7.012800000000003,4.5052,0.035318309859154975,0.09877183098591553,0.4225352112676056,0.5070422535211268,1.0640831680739267,1.2091949359838672,-5.5616,-7.7644
21,1,1,1,0,1,-1.0444,0.94,1.9844,-1.0444,0.94,0.0,1.0,0.0,inf,0.0,0.0
22,17,10,2,8,10,-3.6748,1.0792,4.754,-0.21616470588235293,0.06348235294117646,0.29411764705882354,0.47058823529411764,0.6810844586385254,1.1474558670820354,-6.7028,-3.3275999999999994
