candidate,window,vol_bucket,trades,WR,mean_R,total_R,PF,max_DD_R,worst_streak
A,1,20-40,8,0.375,-0.13362499999999997,-1.0689999999999997,0.5832358674463938,-2.0845000000000002,4
A,1,40-60,36,0.4166666666666667,-0.08709722222222231,-3.135500000000003,0.8031454043194373,-4.940500000000003,5
A,1,80-100,19,0.2631578947368421,-0.4633947368421054,-8.804500000000003,0.4041754077282262,-9.221500000000002,4
A,5,40-60,7,0.42857142857142855,0.08200000000000005,0.5740000000000003,1.4950409659335921,-0.7805,2
A,7,40-60,4,0.25,-0.352375,-1.4095,0.12125935162094763,-1.536,2
A,8,40-60,7,0.5714285714285714,0.5784285714285714,4.0489999999999995,6.554183813443073,-0.518,2
A,9,0-20,15,0.3333333333333333,-0.3796666666666667,-5.695,0.31632653061224486,-6.8895,6
A,9,40-60,38,0.2894736842105263,-0.38740789473684223,-14.721500000000004,0.43994902229323596,-14.361000000000006,7
A,9,60-80,26,0.46153846153846156,-0.07184615384615392,-1.8680000000000019,0.8735873316640723,-6.785000000000002,3
A,9,80-100,5,0.4,-0.1555000000000001,-0.7775000000000005,0.754460761092689,-3.1665,3
A,10,20-40,38,0.4473684210526316,-0.09694736842105268,-3.684000000000002,0.7776100932661253,-6.866500000000001,4
A,10,40-60,52,0.46153846153846156,0.028874999999999953,1.5014999999999976,1.0667956759642334,-7.405000000000001,5
A,10,60-80,39,0.4358974358974359,-0.14043589743589754,-5.477000000000005,0.764135911459455,-8.089000000000006,6
A,12,40-60,43,0.5116279069767442,0.047116279069767356,2.0259999999999962,1.0997882086391177,-4.0870000000000015,3
A,12,80-100,18,0.2777777777777778,-0.4305000000000001,-7.749000000000002,0.4352658237073205,-11.332500000000001,10
A,14,0-20,9,0.2222222222222222,-0.4707777777777779,-4.237000000000001,0.31256591222519664,-5.088500000000001,4
A,17,60-80,24,0.5,0.06585416666666657,1.5804999999999978,1.1247828833096476,-5.277500000000001,5
A,19,0-20,36,0.3888888888888889,-0.10376388888888889,-3.7355,0.7347605353782793,-6.970000000000001,10
A,21,60-80,18,0.3333333333333333,-0.3055000000000001,-5.499000000000002,0.5658455708195166,-7.249500000000001,6
A,22,60-80,1,0.0,-1.0555,-1.0555,0.0,0.0,1
B,1,20-40,6,0.5,0.07783333333333338,0.46700000000000025,1.3799837266069976,-0.4805,2
B,1,40-60,29,0.4827586206896552,0.06303448275862066,1.827999999999999,1.1553101104502972,-2.4135000000000004,4
B,1,80-100,14,0.21428571428571427,-0.5626428571428573,-7.8770000000000024,0.32156237888118505,-7.010500000000002,4
B,5,40-60,6,0.3333333333333333,0.05075000000000005,0.3045000000000003,1.2626131953428203,-0.7805,2
B,7,40-60,3,0.0,-0.5346666666666667,-1.604,0.0,-1.5360000000000003,3
B,8,40-60,6,0.6666666666666666,0.7090833333333334,4.2545,6.880442294402212,-0.518,1
B,9,0-20,11,0.2727272727272727,-0.5816363636363637,-6.3980000000000015,0.1028535371240272,-5.3425,4
B,9,40-60,31,0.3225806451612903,-0.3042903225806452,-9.433000000000002,0.533089145176459,-8.566500000000001,4
B,9,60-80,23,0.4782608695652174,0.015695652173912965,0.3609999999999982,1.0285015000789515,-5.955000000000001,4
B,9,80-100,3,0.3333333333333333,-0.28883333333333344,-0.8665000000000003,0.5895310279488393,-2.111,2
B,10,20-40,27,0.4444444444444444,-0.05411111111111116,-1.4610000000000012,0.8727629000653169,-5.472500000000001,4
B,10,40-60,42,0.47619047619047616,0.05997619047619042,2.5189999999999975,1.1304606779397675,-4.708500000000001,3
B,10,60-80,33,0.42424242424242425,-0.10587878787878795,-3.4940000000000024,0.8257747637687304,-5.088500000000001,4
B,12,40-60,37,0.5675675675675675,0.11882432432432424,4.396499999999997,1.2752026540640353,-3.6330000000000005,3
B,12,80-100,17,0.23529411764705882,-0.5143235294117647,-8.743500000000001,0.3627883248915934,-11.232500000000002,10
B,14,0-20,6,0.16666666666666666,-0.5534166666666667,-3.3205,0.18062924120913015,-2.9775,3
B,17,60-80,17,0.5882352941176471,0.26361764705882346,4.481499999999999,1.606550720714624,-3.1665,3
B,19,0-20,31,0.3548387096774194,-0.19743548387096777,-6.120500000000001,0.5681425295466572,-5.777500000000002,7
B,21,60-80,14,0.2857142857142857,-0.39835714285714297,-5.577000000000002,0.47162482235907144,-6.144000000000001,4
B,22,60-80,1,0.0,-1.0555,-1.0555,0.0,0.0,1
