mae_threshold,recovery_level,recovery_horizon,triggered_trades,recovery_exits,trades,wins,losses,win_rate,mean_R,total_R,delta_R,profit_factor,max_drawdown_R,positive_window_pct,worst_window_R,best_window_R
0.85,0.25,3,79,4,95,22,73,0.23157894736842105,-0.6977894736842104,-66.28999999999999,1.2000000000000028,0.16836030610964745,-67.84999999999997,0.1,-12.88,0.09
0.85,0.25,4,79,9,95,22,73,0.23157894736842105,-0.7237894736842104,-68.75999999999999,-1.269999999999996,0.13737297704177642,-70.35999999999996,0.1,-13.41,0.09
0.85,0.25,5,79,9,95,22,73,0.23157894736842105,-0.7237894736842104,-68.75999999999999,-1.269999999999996,0.13737297704177642,-70.35999999999996,0.1,-13.41,0.09
0.85,0.25,6,79,9,95,22,73,0.23157894736842105,-0.7237894736842104,-68.75999999999999,-1.269999999999996,0.13737297704177642,-70.35999999999996,0.1,-13.41,0.09
0.85,0.25,8,79,13,95,24,71,0.25263157894736843,-0.7068421052631578,-67.14999999999999,0.3400000000000034,0.13622330846411115,-68.74999999999997,0.1,-13.2,0.09
0.85,0.25,10,79,14,95,25,70,0.2631578947368421,-0.7021052631578946,-66.69999999999999,0.7900000000000063,0.13979881351560486,-68.29999999999997,0.1,-13.2,0.09
0.85,0.25,12,79,15,95,25,70,0.2631578947368421,-0.7052631578947367,-66.99999999999999,0.4900000000000091,0.13592984266185196,-68.59999999999997,0.1,-13.2,0.09
0.85,0.5,2,79,0,95,20,75,0.21052631578947367,-0.7104210526315788,-67.49,0.0,0.18559189091347894,-69.04999999999997,0.1,-14.0,0.09
0.85,0.5,3,79,2,95,22,73,0.23157894736842105,-0.6666315789473685,-63.330000000000005,4.1599999999999895,0.20549491908167097,-64.88999999999997,0.1,-12.88,0.09
0.85,0.5,4,79,5,95,22,73,0.23157894736842105,-0.6842105263157893,-64.99999999999999,2.490000000000009,0.18454397189813068,-66.84999999999997,0.1,-12.88,0.09
0.85,0.5,5,79,6,95,22,73,0.23157894736842105,-0.6965263157894735,-66.16999999999999,1.3200000000000074,0.16986576339229706,-68.01999999999997,0.1,-13.16,0.09
