feature,bucket,trades,win_rate,mean_R,total_R,mean_MFE_R,mean_MAE_R
vol_ratio_5_30,BOTTOM25,135,0.45925925925925926,0.017081481481481475,2.305999999999999,0.8585925925925926,0.7397777777777778
vol_ratio_5_30,MIDDLE50,268,0.44402985074626866,0.027017910447761227,7.240800000000009,0.9135820895522389,0.7264179104477612
vol_ratio_5_30,TOP25,134,0.4701492537313433,0.10231641791044777,13.7104,1.0556716417910448,0.776268656716418
vol_ratio_5_60,BOTTOM25,135,0.4962962962962963,0.09500740740740743,12.826000000000002,0.9026666666666667,0.6423703703703704
vol_ratio_5_60,MIDDLE50,268,0.4291044776119403,-0.021676119402985045,-5.809199999999992,0.8865671641791045,0.7713432835820897
vol_ratio_5_60,TOP25,134,0.4626865671641791,0.12119701492537314,16.2404,1.0652985074626866,0.7845522388059701
variance_ratio_5_30,BOTTOM25,135,0.45925925925925926,0.017081481481481475,2.305999999999999,0.8585925925925926,0.7397777777777778
variance_ratio_5_30,MIDDLE50,268,0.44402985074626866,0.027017910447761227,7.240800000000009,0.9135820895522389,0.7264179104477612
variance_ratio_5_30,TOP25,134,0.4701492537313433,0.10231641791044777,13.7104,1.0556716417910448,0.776268656716418
variance_ratio_5_60,BOTTOM25,135,0.4962962962962963,0.09500740740740743,12.826000000000002,0.9026666666666667,0.6423703703703704
variance_ratio_5_60,MIDDLE50,268,0.4291044776119403,-0.021676119402985045,-5.809199999999992,0.8865671641791045,0.7713432835820897
variance_ratio_5_60,TOP25,134,0.4626865671641791,0.12119701492537314,16.2404,1.0652985074626866,0.7845522388059701
