mae_min,mfe_max,trades,recovery_rate,mean_R,total_R
1.0,1.5,97,0.0,-1.0443999999999996,-101.30679999999997
1.0,1.25,95,0.0,-1.0443999999999993,-99.21799999999995
1.0,1.0,93,0.0,-1.0443999999999996,-97.12919999999995
1.0,0.75,89,0.0,-1.0443999999999998,-92.95159999999997
1.0,0.5,77,0.0,-1.0443999999999996,-80.41879999999996
1.25,1.5,59,0.0,-1.0444,-61.6196
1.25,1.0,57,0.0,-1.0443999999999998,-59.53079999999999
1.25,1.25,57,0.0,-1.0443999999999998,-59.53079999999999
1.25,0.75,55,0.0,-1.0444000000000002,-57.442000000000014
1.0,0.25,53,0.0,-1.0444000000000002,-55.35320000000001
1.25,0.5,47,0.0,-1.0444000000000004,-49.08680000000002
1.25,0.25,36,0.0,-1.0444000000000004,-37.59840000000001
0.75,0.25,91,0.07692307692307693,-0.8401142857142854,-76.45039999999997
0.75,0.75,163,0.09815950920245399,-0.8045226993865028,-131.13719999999995
0.75,0.5,141,0.10638297872340426,-0.7961021276595746,-112.25040000000001
0.75,1.25,182,0.11538461538461539,-0.7551692307692306,-137.44079999999997
0.75,1.0,175,0.12,-0.7466285714285711,-130.65999999999994
0.75,1.5,186,0.12365591397849462,-0.7338623655913977,-136.49839999999998
