mae_threshold,trades,wins,losses,win_rate,mean_R,total_R,profit_factor,max_drawdown_R
0.6,195,47,148,0.24102564102564103,-0.6827692307692307,-133.14,0.2703857957036387,-134.69999999999996
0.7,195,47,148,0.24102564102564103,-0.6827692307692307,-133.14,0.2703857957036387,-134.69999999999996
0.75,195,47,148,0.24102564102564103,-0.6827692307692307,-133.14,0.2703857957036387,-134.69999999999996
0.8,184,40,144,0.21739130434782608,-0.7464673913043478,-137.35,0.23956372494740336,-138.65
0.85,173,36,137,0.20809248554913296,-0.807514450867052,-139.7,0.213666554092086,-139.70000000000002
0.9,165,31,134,0.18787878787878787,-0.8563030303030305,-141.29000000000002,0.19812712826333712,-141.29
0.95,155,27,128,0.17419354838709677,-0.9228387096774193,-143.04,0.17030162412993038,-143.04
1.0,145,21,124,0.14482758620689656,-1.0313103448275862,-149.54,0.12262379723069701,-149.54
