entry_vol_bucket,trades,wins,losses,mean_R,median_R,total_R,mean_holding_bars,median_holding_bars,win_rate
40-60,154,71,83,0.01471103896103891,-0.14925,2.2654999999999923,8.753246753246753,8.0,0.461038961038961
20-40,33,15,18,-0.03012121212121213,-0.143,-0.9940000000000002,12.121212121212121,15.0,0.45454545454545453
60-80,88,39,49,-0.06004545454545463,-1.0555,-5.284000000000008,5.693181818181818,5.0,0.4431818181818182
0-20,48,15,33,-0.3299791666666667,-0.46799999999999997,-15.839000000000002,12.4375,15.0,0.3125
80-100,34,8,26,-0.5143235294117647,-1.0555,-17.487000000000002,3.735294117647059,2.5,0.23529411764705882
