group,trades,pct_adverse,mean_R,median_R,mean_MAE_8,median_MAE_8,mean_MFE_8,median_MFE_8,mean_close_8,median_close_8,mean_MFE_minus_MAE,median_MFE_minus_MAE
RECOVERY,27,0.13846153846153847,1.0763407407407408,1.3256,0.8981481481481483,0.86,0.7755555555555554,0.45,0.16185185185185186,-0.01,-0.12259259259259257,-0.48
FAILURE,168,0.8615384615384616,-0.9759476190476187,-1.0444,1.2323214285714286,1.085,0.37375,0.255,-0.7113690476190476,-0.71,-0.8585714285714287,-0.815
