feature,bucket,trades,win_rate,mean_R,total_R,mean_MFE_R,mean_MAE_R
past_return_5,BOTTOM25,135,0.4740740740740741,0.11093333333333336,14.976000000000003,1.065925925925926,0.7805925925925925
past_return_5,MIDDLE50,268,0.4552238805970149,0.0283985074626866,7.610800000000009,0.9135074626865671,0.7622014925373136
past_return_5,TOP25,134,0.43283582089552236,0.005002985074626878,0.6704000000000017,0.8469402985074628,0.6635820895522387
past_return_10,BOTTOM25,135,0.4148148148148148,0.02834074074074077,3.826000000000004,1.006296296296296,0.8064444444444445
past_return_10,MIDDLE50,268,0.4664179104477612,0.05011492537313435,13.430800000000005,0.9303358208955225,0.7410074626865671
past_return_10,TOP25,134,0.4701492537313433,0.04477910447761196,6.000400000000003,0.8733582089552239,0.6799253731343284
past_return_15,BOTTOM25,135,0.4666666666666667,0.13893333333333338,18.756000000000007,1.0501481481481483,0.7394814814814815
past_return_15,MIDDLE50,268,0.44776119402985076,0.008659701492537327,2.3208000000000037,0.9161940298507464,0.7524626865671642
past_return_15,TOP25,134,0.4552238805970149,0.016271641791044813,2.180400000000005,0.8574626865671642,0.7244776119402986
past_return_30,BOTTOM25,135,0.4666666666666667,0.03515555555555556,4.746,0.9084444444444445,0.7257037037037037
past_return_30,MIDDLE50,268,0.45149253731343286,0.06242835820895526,16.73080000000001,0.9594402985074627,0.720037313432836
past_return_30,TOP25,134,0.44776119402985076,0.013286567164179133,1.7804000000000038,0.9137313432835822,0.8032089552238807
