mfe_bucket,trades,win_rate,mean_R,total_R
"(-inf, 0.25]",114,0.0,-0.9158035087719298,-104.4016
"(0.25, 0.5]",83,0.1566265060240964,-0.7129542168674698,-59.1752
"(0.5, 0.75]",67,0.23880597014925373,-0.4941014925373134,-33.1048
"(0.75, 1.0]",53,0.5471698113207547,-0.07006037735849054,-3.7131999999999987
"(1.0, 1.5]",75,0.6266666666666667,0.13293333333333338,9.970000000000002
"(1.5, 2.0]",108,0.9444444444444444,1.3942111111111113,150.5748
"(2.0, inf]",37,1.0,1.7056,63.1072
