mae_bucket,trades,win_rate,mean_R,total_R
"(-inf, 0.25]",84,0.9761904761904762,1.239052380952381,104.0804
"(0.25, 0.5]",99,0.8080808080808081,0.792468686868687,78.4544
"(0.5, 0.75]",79,0.569620253164557,0.46306835443037975,36.5824
"(0.75, 1.0]",92,0.40217391304347827,-0.05146521739130433,-4.734799999999998
"(1.0, 1.5]",177,0.0,-1.0444,-184.8588
"(1.5, 2.0]",5,0.0,-1.0444,-5.2219999999999995
"(2.0, inf]",1,0.0,-1.0444,-1.0444
