rule_type,decision_bar,threshold_a,threshold_b,window,trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R
MAE,1,0.5,,9,40,0.3,-0.2324,-9.296,0.5626070427041575,-12.356399999999997
MAE,1,0.5,,10,41,0.4878048780487805,0.24779512195121953,10.159600000000001,1.8741395925110134,-2.4019999999999984
MAE,1,0.5,,11,35,0.2857142857142857,-0.30011428571428567,-10.503999999999998,0.42380691168403745,-11.320799999999998
MAE,1,0.5,,12,43,0.4186046511627907,0.0016465116279069916,0.07080000000000064,1.003736147757256,-4.341199999999999
MAE,1,0.5,,13,1,0.0,-1.0444,-1.0444,0.0,0.0
MAE,1,0.5,,14,44,0.5454545454545454,0.3708272727272728,16.3164,2.0886309047237788,-2.541999999999998
MAE,1,0.5,,15,5,0.4,0.055600000000000004,0.278,1.088727179879995,-1.0444
MAE,1,0.5,,16,8,0.625,0.2956,2.3648,1.8145494626618903,-2.9031999999999996
MAE,1,0.5,,17,5,0.4,0.2056,1.028,1.4313528029540115,-2.3832
MAE,1,0.5,,18,20,0.3,-0.2989,-5.978,0.5100642538683451,-8.836
MAE,1,0.5,,19,2,0.0,-0.7194,-1.4388,0.0,-0.3944000000000001
MAE,1,0.5,,20,71,0.4084507042253521,0.04616338028169018,3.2776000000000027,1.0914896942899883,-7.771600000000001
MAE,1,0.5,,21,1,0.0,-0.25439999999999996,-0.25439999999999996,0.0,0.0
MAE,1,0.5,,22,17,0.29411764705882354,-0.14204705882352942,-2.4148,0.7647035896636396,-5.4428
MAE,1,0.75,,1,43,0.5813953488372093,0.2560651162790698,11.010800000000001,1.9460100350539558,-2.777599999999998
MAE,1,0.75,,2,1,0.0,-1.0444,-1.0444,0.0,0.0
MAE,1,0.75,,3,38,0.34210526315789475,-0.20729473684210528,-7.8772,0.605942971485743,-7.649999999999999
MAE,1,0.75,,4,1,1.0,0.0456,0.0456,inf,0.0
MAE,1,0.75,,5,43,0.4186046511627907,0.05653023255813955,2.4308000000000005,1.1679889426399446,-5.3524
MAE,1,0.75,,6,69,0.5652173913043478,0.18415072463768115,12.706399999999999,1.5570050850429602,-5.4496
MAE,1,0.75,,7,3,0.3333333333333333,-0.14106666666666665,-0.42319999999999997,0.3943903835145965,-0.6988
