window,trades,total_R,mean_R,win_rate,profit_factor,max_drawdown_R,share_of_total_R
12,43,0.4143999999999983,0.009637209302325542,0.5116279069767442,1.0205706570299624,-5.1532,0.012065732620569926
13,1,-0.19,-0.19,0.0,0.0,0.0,-0.005532068527770983
14,44,14.2944,0.32487272727272726,0.5909090909090909,1.9214346492019698,-3.5643999999999973,0.41619789664931334
15,5,2.2512,0.45024,0.6,2.5853521126760564,-0.5800000000000001,0.0655462772090423
16,8,5.4636000000000005,0.6829500000000001,0.875,6.231328992723094,-1.0443999999999996,0.15907899793857655
17,5,3.2580000000000005,0.6516000000000001,0.6,2.7527437056165267,-1.0444,0.0948604171761993
18,20,0.7115999999999999,0.035579999999999994,0.5,1.095419437888865,-4.0264,0.020719052444009636
19,2,-0.89,-0.445,0.5,0.42580645161290326,0.0,-0.025913373630085133
20,71,7.012800000000003,0.09877183098591553,0.5070422535211268,1.2091949359838672,-7.7644,0.20418573774501245
21,1,0.94,0.94,1.0,inf,0.0,0.027369181137393284
22,17,1.0792,0.06348235294117646,0.47058823529411764,1.1474558670820354,-3.3275999999999994,0.03142214923773918
