window,train_start,validation_start,validation_end,stop_points,rr,horizon,trades,wins,losses,WR,mean_R,total_R,PF,max_DD_R,worst_streak
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15.0,1.0,10,124,57,67,0.4596774193548387,-0.11405376344086017,-14.142666666666662,0.7781820843397431,-19.728000000000005,9
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15.0,1.0,15,119,56,63,0.47058823529411764,-0.11475630252100837,-13.655999999999995,0.7874398140461566,-19.76333333333334,9
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15.0,1.0,20,118,56,62,0.4745762711864407,-0.12851977401129938,-15.165333333333326,0.7672410264805797,-21.30600000000001,9
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15.0,1.3,10,119,46,73,0.3865546218487395,-0.1487899159663866,-17.706000000000007,0.7359362882538926,-19.91533333333335,9
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15.0,1.3,15,113,44,69,0.3893805309734513,-0.16574041297935105,-18.72866666666667,0.7315758797618933,-22.59333333333335,9
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15.0,1.3,20,112,44,68,0.39285714285714285,-0.1912619047619048,-21.421333333333337,0.6999757231694337,-25.002666666666688,9
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15.0,1.5,10,116,42,74,0.3620689655172414,-0.16049425287356323,-18.617333333333335,0.7279201862839663,-21.51733333333334,9
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15.0,1.5,15,110,40,70,0.36363636363636365,-0.17703030303030307,-19.473333333333336,0.7251340924061354,-22.762000000000008,9
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15.0,1.5,20,109,40,69,0.3669724770642202,-0.18653822629969424,-20.33266666666667,0.717429169677766,-24.588000000000015,9
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15.0,1.75,10,113,37,76,0.3274336283185841,-0.23078466076696166,-26.078666666666667,0.6314351398206077,-26.417333333333353,9
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15.0,1.75,15,107,35,72,0.32710280373831774,-0.23786292834890965,-25.451333333333334,0.6500476661900046,-28.13600000000002,9
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,15.0,1.75,20,104,33,71,0.3173076923076923,-0.2557307692307692,-26.596,0.6386609423400904,-29.138000000000023,9
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20.0,1.0,10,116,48,68,0.41379310344827586,-0.13082327586206893,-15.175499999999996,0.7175941864468285,-15.970000000000008,8
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20.0,1.0,15,108,48,60,0.4444444444444444,-0.1419583333333333,-15.331499999999995,0.7299841493483619,-17.629500000000007,8
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20.0,1.0,20,106,46,60,0.4339622641509434,-0.1780235849056603,-18.870499999999993,0.6841360840272834,-19.567500000000006,8
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20.0,1.3,10,109,40,69,0.3669724770642202,-0.17820642201834855,-19.42449999999999,0.6458097808249151,-20.410499999999995,8
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20.0,1.3,15,101,39,62,0.38613861386138615,-0.200549504950495,-20.255499999999994,0.6486683375684044,-21.643999999999995,8
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20.0,1.3,20,97,35,62,0.36082474226804123,-0.23230412371134018,-22.533499999999997,0.6273360235504248,-22.652499999999993,8
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20.0,1.5,10,109,38,71,0.3486238532110092,-0.18394036697247695,-20.049499999999988,0.6419923932646463,-21.415999999999997,8
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20.0,1.5,15,101,36,65,0.3564356435643564,-0.21156435643564345,-21.367999999999988,0.6384891934187709,-24.51749999999999,8
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20.0,1.5,20,97,33,64,0.3402061855670103,-0.2378453608247422,-23.070999999999994,0.6294678348015322,-24.650999999999993,8
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20.0,1.75,10,106,37,69,0.3490566037735849,-0.16057075471698104,-17.02049999999999,0.6783547820171211,-18.985500000000005,8
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20.0,1.75,15,97,34,63,0.35051546391752575,-0.19828350515463913,-19.233499999999996,0.6600894245723172,-22.618999999999993,8
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,20.0,1.75,20,93,32,61,0.34408602150537637,-0.18977419354838704,-17.648999999999994,0.7029313000227232,-21.84,8
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,25.0,1.0,10,107,43,64,0.40186915887850466,-0.10393271028037379,-11.120799999999996,0.7354810473435835,-13.053599999999996,8
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,25.0,1.0,15,96,41,55,0.4270833333333333,-0.15908749999999997,-15.272399999999998,0.6730518924473367,-16.90599999999999,7
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,25.0,1.0,20,93,39,54,0.41935483870967744,-0.16891612903225803,-15.709199999999996,0.67554773470804,-16.14719999999999,7
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,25.0,1.3,10,104,39,65,0.375,-0.11863076923076922,-12.337599999999998,0.7057291418213044,-16.113999999999997,8
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,25.0,1.3,15,93,36,57,0.3870967741935484,-0.1731096774193548,-16.099199999999996,0.6598578515469843,-19.146399999999996,7
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,25.0,1.3,20,89,33,56,0.3707865168539326,-0.17541123595505617,-15.6116,0.682474210029614,-17.93599999999999,7
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,25.0,1.5,10,104,37,67,0.3557692307692308,-0.14718846153846152,-15.307599999999997,0.63592168353756,-16.423999999999996,8
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,25.0,1.5,15,92,34,58,0.3695652173913043,-0.19353043478260865,-17.804799999999997,0.6149081219503754,-19.672399999999985,7
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,25.0,1.5,20,88,31,57,0.3522727272727273,-0.2037181818181818,-17.9272,0.6390797007497363,-20.34159999999999,7
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,25.0,1.75,10,104,38,66,0.36538461538461536,-0.13988076923076923,-14.5476,0.650972639418048,-16.163999999999994,8
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,25.0,1.75,15,91,33,58,0.3626373626373626,-0.20187252747252743,-18.370399999999997,0.6026750181679759,-20.207599999999992,7
1,2019-05-06 09:30:00-04:00,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,25.0,1.75,20,86,28,58,0.32558139534883723,-0.2335860465116278,-20.08839999999999,0.5958491264495465,-23.557199999999984,7
2,2019-08-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00,15.0,1.0,10,19,7,12,0.3684210526315789,-0.33715789473684216,-6.406000000000001,0.5029484792054625,-9.184,5
2,2019-08-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00,15.0,1.0,15,19,7,12,0.3684210526315789,-0.33715789473684216,-6.406000000000001,0.5029484792054625,-9.184,5
