trade_index,mae_threshold_R,crossing_bar,next_mae_threshold_R,next_crossing_bar,bars_until_next_threshold,future_max_favorable_close_R,final_R
89,0.75,8,0.8,10.0,2.0,1.1,-1.0444
89,0.8,10,0.9,10.0,0.0,0.94,-1.0444
89,0.9,10,1.0,10.0,0.0,0.94,-1.0444
89,1.0,10,1.1,10.0,0.0,0.94,-1.0444
89,1.1,10,1.2,11.0,1.0,0.94,-1.0444
89,1.2,11,1.25,11.0,0.0,0.37,-1.0444
89,1.25,11,,,,0.37,-1.0444
90,0.25,2,0.5,4.0,2.0,0.88,-1.0444
90,0.5,4,0.6,4.0,0.0,0.88,-1.0444
90,0.6,4,0.7,6.0,2.0,0.88,-1.0444
90,0.7,6,0.75,6.0,0.0,0.88,-1.0444
90,0.75,6,0.8,6.0,0.0,0.88,-1.0444
90,0.8,6,0.9,8.0,2.0,0.88,-1.0444
90,0.9,8,1.0,8.0,0.0,0.82,-1.0444
90,1.0,8,1.1,8.0,0.0,0.82,-1.0444
90,1.1,8,,,,0.82,-1.0444
91,0.25,1,0.5,2.0,1.0,1.76,-1.0444
91,0.5,2,0.6,2.0,0.0,1.76,-1.0444
91,0.6,2,0.7,3.0,1.0,1.76,-1.0444
91,0.7,3,0.75,3.0,0.0,1.76,-1.0444
91,0.75,3,0.8,11.0,8.0,1.76,-1.0444
91,0.8,11,0.9,12.0,1.0,1.76,-1.0444
91,0.9,12,1.0,12.0,0.0,1.76,-1.0444
91,1.0,12,1.1,13.0,1.0,1.76,-1.0444
91,1.1,13,1.2,15.0,2.0,1.76,-1.0444
91,1.2,15,1.25,15.0,0.0,1.76,-1.0444
91,1.25,15,,,,1.76,-1.0444
92,0.25,1,0.5,2.0,1.0,0.82,-0.6844
92,0.5,2,0.6,2.0,0.0,0.71,-0.6844
92,0.6,2,0.7,2.0,0.0,0.71,-0.6844
92,0.7,2,0.75,2.0,0.0,0.71,-0.6844
92,0.75,2,0.8,2.0,0.0,0.71,-0.6844
92,0.8,2,0.9,4.0,2.0,0.71,-0.6844
92,0.9,4,,,,0.64,-0.6844
93,0.25,1,0.5,2.0,1.0,0.86,-0.3143999999999999
93,0.5,2,0.6,3.0,1.0,0.86,-0.3143999999999999
93,0.6,3,0.7,5.0,2.0,0.86,-0.3143999999999999
93,0.7,5,0.75,5.0,0.0,0.86,-0.3143999999999999
93,0.75,5,0.8,6.0,1.0,0.86,-0.3143999999999999
93,0.8,6,0.9,6.0,0.0,0.73,-0.3143999999999999
93,0.9,6,,,,0.73,-0.3143999999999999
94,0.25,2,0.5,5.0,3.0,1.28,-1.0444
94,0.5,5,0.6,5.0,0.0,1.28,-1.0444
94,0.6,5,0.7,5.0,0.0,1.28,-1.0444
94,0.7,5,0.75,7.0,2.0,1.28,-1.0444
94,0.75,7,0.8,7.0,0.0,1.28,-1.0444
94,0.8,7,0.9,16.0,9.0,1.28,-1.0444
94,0.9,16,1.0,16.0,0.0,1.28,-1.0444
94,1.0,16,1.1,16.0,0.0,1.28,-1.0444
94,1.1,16,1.2,16.0,0.0,1.28,-1.0444
94,1.2,16,1.25,17.0,1.0,1.28,-1.0444
94,1.25,17,,,,1.0,-1.0444
95,0.25,1,0.5,1.0,0.0,1.63,-1.0444
95,0.5,1,0.6,1.0,0.0,1.63,-1.0444
95,0.6,1,0.7,1.0,0.0,1.63,-1.0444
95,0.7,1,0.75,4.0,3.0,1.63,-1.0444
95,0.75,4,0.8,5.0,1.0,1.63,-1.0444
95,0.8,5,0.9,5.0,0.0,1.63,-1.0444
95,0.9,5,1.0,5.0,0.0,1.63,-1.0444
95,1.0,5,1.1,5.0,0.0,1.63,-1.0444
95,1.1,5,1.2,5.0,0.0,1.63,-1.0444
95,1.2,5,1.25,5.0,0.0,1.63,-1.0444
95,1.25,5,,,,1.63,-1.0444
96,0.25,1,0.5,1.0,0.0,2.2,-1.0444
96,0.5,1,0.6,1.0,0.0,2.2,-1.0444
96,0.6,1,0.7,2.0,1.0,2.2,-1.0444
96,0.7,2,0.75,2.0,0.0,2.2,-1.0444
96,0.75,2,0.8,2.0,0.0,2.2,-1.0444
96,0.8,2,0.9,2.0,0.0,2.2,-1.0444
96,0.9,2,1.0,2.0,0.0,2.2,-1.0444
96,1.0,2,1.1,5.0,3.0,2.2,-1.0444
96,1.1,5,1.2,5.0,0.0,2.2,-1.0444
96,1.2,5,1.25,5.0,0.0,2.2,-1.0444
96,1.25,5,,,,2.2,-1.0444
97,0.25,1,0.5,2.0,1.0,1.36,-1.0444
97,0.5,2,0.6,2.0,0.0,1.36,-1.0444
97,0.6,2,0.7,2.0,0.0,1.36,-1.0444
97,0.7,2,0.75,2.0,0.0,1.36,-1.0444
97,0.75,2,0.8,2.0,0.0,1.36,-1.0444
97,0.8,2,0.9,2.0,0.0,1.36,-1.0444
97,0.9,2,1.0,3.0,1.0,1.36,-1.0444
97,1.0,3,1.1,3.0,0.0,1.36,-1.0444
97,1.1,3,1.2,4.0,1.0,1.36,-1.0444
97,1.2,4,1.25,4.0,0.0,1.36,-1.0444
97,1.25,4,,,,1.36,-1.0444
98,0.25,1,0.5,1.0,0.0,2.61,-1.0444
98,0.5,1,0.6,4.0,3.0,2.61,-1.0444
98,0.6,4,0.7,5.0,1.0,2.61,-1.0444
98,0.7,5,0.75,6.0,1.0,2.61,-1.0444
98,0.75,6,0.8,6.0,0.0,2.61,-1.0444
98,0.8,6,0.9,6.0,0.0,2.61,-1.0444
98,0.9,6,1.0,7.0,1.0,2.61,-1.0444
98,1.0,7,1.1,7.0,0.0,2.61,-1.0444
98,1.1,7,1.2,12.0,5.0,2.61,-1.0444
98,1.2,12,1.25,12.0,0.0,2.61,-1.0444
98,1.25,12,,,,2.61,-1.0444
99,0.25,1,0.5,2.0,1.0,0.83,0.9956
99,0.5,2,0.6,2.0,0.0,0.83,0.9956
99,0.6,2,0.7,3.0,1.0,0.83,0.9956
99,0.7,3,0.75,3.0,0.0,0.83,0.9956
99,0.75,3,0.8,4.0,1.0,0.83,0.9956
99,0.8,4,0.9,4.0,0.0,0.48,0.9956
99,0.9,4,,,,0.48,0.9956
100,0.25,1,0.5,1.0,0.0,1.84,-1.0444
100,0.5,1,0.6,3.0,2.0,1.84,-1.0444
100,0.6,3,0.7,3.0,0.0,1.84,-1.0444
100,0.7,3,0.75,3.0,0.0,1.84,-1.0444
100,0.75,3,0.8,3.0,0.0,1.84,-1.0444
100,0.8,3,0.9,4.0,1.0,1.84,-1.0444
100,0.9,4,1.0,4.0,0.0,1.84,-1.0444
100,1.0,4,1.1,5.0,1.0,1.84,-1.0444
100,1.1,5,1.2,5.0,0.0,1.84,-1.0444
100,1.2,5,1.25,10.0,5.0,1.84,-1.0444
100,1.25,10,,,,1.84,-1.0444
101,0.25,1,0.5,1.0,0.0,0.41,1.7056
101,0.5,1,0.6,1.0,0.0,0.41,1.7056
101,0.6,1,0.7,1.0,0.0,0.41,1.7056
101,0.7,1,0.75,1.0,0.0,0.41,1.7056
101,0.75,1,0.8,1.0,0.0,0.41,1.7056
101,0.8,1,0.9,3.0,2.0,0.41,1.7056
101,0.9,3,,,,0.23,1.7056
102,0.25,1,0.5,3.0,2.0,1.31,-1.0444
102,0.5,3,0.6,4.0,1.0,1.31,-1.0444
102,0.6,4,0.7,4.0,0.0,1.31,-1.0444
102,0.7,4,0.75,4.0,0.0,1.31,-1.0444
102,0.75,4,0.8,4.0,0.0,1.31,-1.0444
102,0.8,4,0.9,4.0,0.0,1.31,-1.0444
102,0.9,4,1.0,4.0,0.0,1.31,-1.0444
102,1.0,4,1.1,4.0,0.0,1.31,-1.0444
102,1.1,4,1.2,4.0,0.0,1.31,-1.0444
102,1.2,4,1.25,4.0,0.0,1.31,-1.0444
102,1.25,4,,,,1.31,-1.0444
103,0.25,1,0.5,2.0,1.0,0.64,0.2056
103,0.5,2,0.6,3.0,1.0,0.64,0.2056
103,0.6,3,0.7,5.0,2.0,0.64,0.2056
103,0.7,5,0.75,5.0,0.0,0.51,0.2056
103,0.75,5,0.8,5.0,0.0,0.51,0.2056
103,0.8,5,,,,0.51,0.2056
104,0.25,1,0.5,4.0,3.0,1.0,-1.0444
104,0.5,4,0.6,4.0,0.0,1.0,-1.0444
104,0.6,4,0.7,5.0,1.0,1.0,-1.0444
104,0.7,5,0.75,5.0,0.0,1.0,-1.0444
104,0.75,5,0.8,5.0,0.0,1.0,-1.0444
104,0.8,5,0.9,19.0,14.0,1.0,-1.0444
104,0.9,19,1.0,19.0,0.0,0.64,-1.0444
104,1.0,19,1.1,20.0,1.0,0.64,-1.0444
104,1.1,20,,,,,-1.0444
105,0.25,3,0.5,4.0,1.0,1.56,-1.0444
105,0.5,4,0.6,4.0,0.0,1.56,-1.0444
105,0.6,4,0.7,5.0,1.0,1.56,-1.0444
105,0.7,5,0.75,5.0,0.0,1.56,-1.0444
105,0.75,5,0.8,5.0,0.0,1.56,-1.0444
105,0.8,5,0.9,5.0,0.0,1.56,-1.0444
105,0.9,5,1.0,6.0,1.0,1.56,-1.0444
105,1.0,6,1.1,6.0,0.0,1.56,-1.0444
105,1.1,6,1.2,6.0,0.0,1.56,-1.0444
105,1.2,6,1.25,10.0,4.0,1.56,-1.0444
105,1.25,10,,,,1.56,-1.0444
106,0.25,1,0.5,5.0,4.0,0.88,-1.0444
106,0.5,5,0.6,6.0,1.0,0.88,-1.0444
106,0.6,6,0.7,8.0,2.0,0.88,-1.0444
106,0.7,8,0.75,8.0,0.0,0.88,-1.0444
106,0.75,8,0.8,8.0,0.0,0.88,-1.0444
106,0.8,8,0.9,19.0,11.0,0.88,-1.0444
106,0.9,19,1.0,20.0,1.0,0.63,-1.0444
106,1.0,20,1.1,20.0,0.0,,-1.0444
106,1.1,20,,,,,-1.0444
107,0.25,1,0.5,2.0,1.0,0.81,1.4156
107,0.5,2,0.6,2.0,0.0,0.47,1.4156
107,0.6,2,0.7,2.0,0.0,0.47,1.4156
107,0.7,2,0.75,2.0,0.0,0.47,1.4156
107,0.75,2,0.8,2.0,0.0,0.47,1.4156
107,0.8,2,,,,0.47,1.4156
108,0.25,1,0.5,1.0,0.0,2.49,-1.0444
108,0.5,1,0.6,1.0,0.0,2.49,-1.0444
108,0.6,1,0.7,1.0,0.0,2.49,-1.0444
108,0.7,1,0.75,1.0,0.0,2.49,-1.0444
108,0.75,1,0.8,1.0,0.0,2.49,-1.0444
108,0.8,1,0.9,2.0,1.0,2.49,-1.0444
108,0.9,2,1.0,3.0,1.0,2.49,-1.0444
108,1.0,3,1.1,3.0,0.0,2.49,-1.0444
108,1.1,3,1.2,3.0,0.0,2.49,-1.0444
108,1.2,3,1.25,3.0,0.0,2.49,-1.0444
108,1.25,3,,,,2.49,-1.0444
109,0.25,1,0.5,1.0,0.0,0.42,1.3256
109,0.5,1,0.6,1.0,0.0,0.42,1.3256
109,0.6,1,0.7,2.0,1.0,0.42,1.3256
109,0.7,2,0.75,2.0,0.0,-0.13,1.3256
109,0.75,2,,,,-0.13,1.3256
110,0.25,1,0.5,4.0,3.0,2.13,-1.0444
110,0.5,4,0.6,4.0,0.0,2.13,-1.0444
110,0.6,4,0.7,4.0,0.0,2.13,-1.0444
110,0.7,4,0.75,4.0,0.0,2.13,-1.0444
110,0.75,4,0.8,4.0,0.0,2.13,-1.0444
110,0.8,4,0.9,11.0,7.0,2.13,-1.0444
110,0.9,11,1.0,11.0,0.0,2.13,-1.0444
110,1.0,11,1.1,11.0,0.0,2.13,-1.0444
110,1.1,11,1.2,11.0,0.0,2.13,-1.0444
110,1.2,11,1.25,11.0,0.0,2.13,-1.0444
110,1.25,11,,,,2.13,-1.0444
111,0.25,2,0.5,2.0,0.0,4.12,-1.0444
111,0.5,2,0.6,2.0,0.0,4.12,-1.0444
111,0.6,2,0.7,2.0,0.0,4.12,-1.0444
111,0.7,2,0.75,2.0,0.0,4.12,-1.0444
111,0.75,2,0.8,2.0,0.0,4.12,-1.0444
111,0.8,2,0.9,2.0,0.0,4.12,-1.0444
111,0.9,2,1.0,2.0,0.0,4.12,-1.0444
111,1.0,2,1.1,2.0,0.0,4.12,-1.0444
111,1.1,2,1.2,2.0,0.0,4.12,-1.0444
111,1.2,2,1.25,2.0,0.0,4.12,-1.0444
111,1.25,2,,,,4.12,-1.0444
112,0.25,1,0.5,2.0,1.0,1.84,-1.0444
112,0.5,2,0.6,2.0,0.0,1.84,-1.0444
112,0.6,2,0.7,3.0,1.0,1.84,-1.0444
112,0.7,3,0.75,3.0,0.0,1.84,-1.0444
112,0.75,3,0.8,3.0,0.0,1.84,-1.0444
112,0.8,3,0.9,3.0,0.0,1.84,-1.0444
112,0.9,3,1.0,4.0,1.0,1.84,-1.0444
112,1.0,4,1.1,4.0,0.0,1.84,-1.0444
112,1.1,4,1.2,5.0,1.0,1.84,-1.0444
112,1.2,5,1.25,6.0,1.0,1.84,-1.0444
112,1.25,6,,,,1.84,-1.0444
113,0.25,2,0.5,3.0,1.0,1.76,-1.0444
113,0.5,3,0.6,3.0,0.0,1.76,-1.0444
113,0.6,3,0.7,4.0,1.0,1.76,-1.0444
113,0.7,4,0.75,4.0,0.0,1.76,-1.0444
113,0.75,4,0.8,4.0,0.0,1.76,-1.0444
113,0.8,4,0.9,4.0,0.0,1.76,-1.0444
113,0.9,4,1.0,4.0,0.0,1.76,-1.0444
113,1.0,4,1.1,4.0,0.0,1.76,-1.0444
113,1.1,4,1.2,9.0,5.0,1.76,-1.0444
113,1.2,9,1.25,9.0,0.0,1.76,-1.0444
113,1.25,9,,,,1.76,-1.0444
114,0.25,1,0.5,4.0,3.0,2.07,-1.0444
114,0.5,4,0.6,4.0,0.0,2.07,-1.0444
114,0.6,4,0.7,4.0,0.0,2.07,-1.0444
114,0.7,4,0.75,4.0,0.0,2.07,-1.0444
114,0.75,4,0.8,4.0,0.0,2.07,-1.0444
114,0.8,4,0.9,4.0,0.0,2.07,-1.0444
114,0.9,4,1.0,4.0,0.0,2.07,-1.0444
114,1.0,4,1.1,4.0,0.0,2.07,-1.0444
114,1.1,4,1.2,5.0,1.0,2.07,-1.0444
114,1.2,5,1.25,5.0,0.0,2.07,-1.0444
114,1.25,5,,,,2.07,-1.0444
115,0.25,1,0.5,1.0,0.0,1.34,-1.0444
115,0.5,1,0.6,1.0,0.0,1.34,-1.0444
115,0.6,1,0.7,1.0,0.0,1.34,-1.0444
115,0.7,1,0.75,6.0,5.0,1.34,-1.0444
115,0.75,6,0.8,6.0,0.0,1.34,-1.0444
115,0.8,6,0.9,6.0,0.0,1.34,-1.0444
115,0.9,6,1.0,6.0,0.0,1.34,-1.0444
115,1.0,6,1.1,7.0,1.0,1.34,-1.0444
115,1.1,7,1.2,7.0,0.0,1.34,-1.0444
115,1.2,7,1.25,7.0,0.0,1.34,-1.0444
115,1.25,7,,,,1.34,-1.0444
116,0.25,1,0.5,2.0,1.0,0.82,0.1256
116,0.5,2,0.6,2.0,0.0,0.82,0.1256
116,0.6,2,0.7,2.0,0.0,0.82,0.1256
116,0.7,2,0.75,3.0,1.0,0.82,0.1256
116,0.75,3,0.8,4.0,1.0,0.82,0.1256
116,0.8,4,0.9,5.0,1.0,0.82,0.1256
116,0.9,5,,,,0.82,0.1256
117,0.25,1,0.5,1.0,0.0,0.92,-1.0444
117,0.5,1,0.6,1.0,0.0,0.92,-1.0444
117,0.6,1,0.7,3.0,2.0,0.92,-1.0444
117,0.7,3,0.75,3.0,0.0,0.92,-1.0444
117,0.75,3,0.8,3.0,0.0,0.92,-1.0444
117,0.8,3,0.9,8.0,5.0,0.92,-1.0444
117,0.9,8,1.0,8.0,0.0,0.76,-1.0444
117,1.0,8,,,,0.76,-1.0444
118,0.25,1,0.5,4.0,3.0,0.93,-1.0444
118,0.5,4,0.6,4.0,0.0,0.93,-1.0444
118,0.6,4,0.7,6.0,2.0,0.93,-1.0444
118,0.7,6,0.75,6.0,0.0,0.93,-1.0444
118,0.75,6,0.8,6.0,0.0,0.93,-1.0444
118,0.8,6,0.9,7.0,1.0,0.93,-1.0444
118,0.9,7,1.0,12.0,5.0,0.93,-1.0444
118,1.0,12,,,,0.93,-1.0444
119,0.25,1,0.5,1.0,0.0,2.34,-1.0444
119,0.5,1,0.6,1.0,0.0,2.34,-1.0444
119,0.6,1,0.7,1.0,0.0,2.34,-1.0444
119,0.7,1,0.75,1.0,0.0,2.34,-1.0444
119,0.75,1,0.8,1.0,0.0,2.34,-1.0444
119,0.8,1,0.9,2.0,1.0,2.34,-1.0444
119,0.9,2,1.0,13.0,11.0,2.34,-1.0444
119,1.0,13,1.1,13.0,0.0,2.34,-1.0444
119,1.1,13,1.2,13.0,0.0,2.34,-1.0444
119,1.2,13,1.25,13.0,0.0,2.34,-1.0444
119,1.25,13,,,,2.34,-1.0444
120,0.25,1,0.5,1.0,0.0,1.55,-1.0444
120,0.5,1,0.6,2.0,1.0,1.55,-1.0444
120,0.6,2,0.7,2.0,0.0,1.55,-1.0444
120,0.7,2,0.75,2.0,0.0,1.55,-1.0444
120,0.75,2,0.8,2.0,0.0,1.55,-1.0444
120,0.8,2,0.9,2.0,0.0,1.55,-1.0444
120,0.9,2,1.0,2.0,0.0,1.55,-1.0444
120,1.0,2,1.1,3.0,1.0,1.55,-1.0444
120,1.1,3,1.2,10.0,7.0,1.55,-1.0444
120,1.2,10,1.25,10.0,0.0,1.55,-1.0444
120,1.25,10,,,,1.55,-1.0444
121,0.25,1,0.5,1.0,0.0,0.92,-1.0444
121,0.5,1,0.6,1.0,0.0,0.92,-1.0444
121,0.6,1,0.7,1.0,0.0,0.92,-1.0444
121,0.7,1,0.75,1.0,0.0,0.92,-1.0444
121,0.75,1,0.8,1.0,0.0,0.92,-1.0444
121,0.8,1,0.9,1.0,0.0,0.92,-1.0444
121,0.9,1,1.0,2.0,1.0,0.92,-1.0444
121,1.0,2,1.1,2.0,0.0,0.87,-1.0444
121,1.1,2,,,,0.87,-1.0444
122,0.25,1,0.5,5.0,4.0,0.37,1.7056
122,0.5,5,0.6,5.0,0.0,-0.01,1.7056
122,0.6,5,0.7,5.0,0.0,-0.01,1.7056
122,0.7,5,0.75,5.0,0.0,-0.01,1.7056
122,0.75,5,0.8,5.0,0.0,-0.01,1.7056
122,0.8,5,0.9,5.0,0.0,-0.01,1.7056
122,0.9,5,,,,-0.01,1.7056
123,0.25,4,0.5,4.0,0.0,1.08,-1.0444
123,0.5,4,0.6,4.0,0.0,1.08,-1.0444
123,0.6,4,0.7,4.0,0.0,1.08,-1.0444
123,0.7,4,0.75,4.0,0.0,1.08,-1.0444
123,0.75,4,0.8,5.0,1.0,1.08,-1.0444
123,0.8,5,0.9,6.0,1.0,1.08,-1.0444
123,0.9,6,1.0,6.0,0.0,0.75,-1.0444
123,1.0,6,1.1,6.0,0.0,0.75,-1.0444
123,1.1,6,,,,0.75,-1.0444
124,0.25,1,0.5,1.0,0.0,1.83,-1.0444
124,0.5,1,0.6,2.0,1.0,1.83,-1.0444
124,0.6,2,0.7,2.0,0.0,1.83,-1.0444
124,0.7,2,0.75,2.0,0.0,1.83,-1.0444
124,0.75,2,0.8,3.0,1.0,1.83,-1.0444
124,0.8,3,0.9,4.0,1.0,1.83,-1.0444
124,0.9,4,1.0,4.0,0.0,1.83,-1.0444
124,1.0,4,1.1,4.0,0.0,1.83,-1.0444
124,1.1,4,1.2,4.0,0.0,1.83,-1.0444
124,1.2,4,1.25,4.0,0.0,1.83,-1.0444
124,1.25,4,,,,1.83,-1.0444
125,0.25,3,0.5,3.0,0.0,1.11,-1.0444
125,0.5,3,0.6,3.0,0.0,1.11,-1.0444
125,0.6,3,0.7,3.0,0.0,1.11,-1.0444
125,0.7,3,0.75,3.0,0.0,1.11,-1.0444
125,0.75,3,0.8,5.0,2.0,1.11,-1.0444
125,0.8,5,0.9,18.0,13.0,1.11,-1.0444
125,0.9,18,1.0,18.0,0.0,0.86,-1.0444
125,1.0,18,1.1,18.0,0.0,0.86,-1.0444
125,1.1,18,1.2,18.0,0.0,0.86,-1.0444
125,1.2,18,1.25,18.0,0.0,0.86,-1.0444
125,1.25,18,,,,0.86,-1.0444
126,0.25,1,0.5,2.0,1.0,1.58,-1.0444
126,0.5,2,0.6,2.0,0.0,1.58,-1.0444
126,0.6,2,0.7,2.0,0.0,1.58,-1.0444
126,0.7,2,0.75,2.0,0.0,1.58,-1.0444
126,0.75,2,0.8,3.0,1.0,1.58,-1.0444
126,0.8,3,0.9,4.0,1.0,1.58,-1.0444
126,0.9,4,1.0,5.0,1.0,1.58,-1.0444
126,1.0,5,1.1,5.0,0.0,1.58,-1.0444
126,1.1,5,1.2,7.0,2.0,1.58,-1.0444
126,1.2,7,1.25,7.0,0.0,1.58,-1.0444
126,1.25,7,,,,1.58,-1.0444
127,0.25,1,0.5,6.0,5.0,0.58,1.0356
127,0.5,6,0.6,7.0,1.0,0.58,1.0356
127,0.6,7,0.7,8.0,1.0,0.42,1.0356
127,0.7,8,0.75,8.0,0.0,0.32,1.0356
127,0.75,8,0.8,8.0,0.0,0.32,1.0356
127,0.8,8,,,,0.32,1.0356
128,0.25,1,0.5,1.0,0.0,1.37,-1.0444
128,0.5,1,0.6,2.0,1.0,1.37,-1.0444
128,0.6,2,0.7,2.0,0.0,1.37,-1.0444
128,0.7,2,0.75,2.0,0.0,1.37,-1.0444
128,0.75,2,0.8,2.0,0.0,1.37,-1.0444
128,0.8,2,0.9,2.0,0.0,1.37,-1.0444
128,0.9,2,1.0,2.0,0.0,1.37,-1.0444
128,1.0,2,1.1,4.0,2.0,1.37,-1.0444
128,1.1,4,1.2,4.0,0.0,1.37,-1.0444
128,1.2,4,1.25,4.0,0.0,1.37,-1.0444
128,1.25,4,,,,1.37,-1.0444
129,0.25,1,0.5,7.0,6.0,1.62,-1.0444
129,0.5,7,0.6,7.0,0.0,1.62,-1.0444
129,0.6,7,0.7,7.0,0.0,1.62,-1.0444
129,0.7,7,0.75,7.0,0.0,1.62,-1.0444
129,0.75,7,0.8,8.0,1.0,1.62,-1.0444
129,0.8,8,0.9,8.0,0.0,1.62,-1.0444
129,0.9,8,1.0,9.0,1.0,1.62,-1.0444
129,1.0,9,1.1,9.0,0.0,1.62,-1.0444
129,1.1,9,1.2,10.0,1.0,1.62,-1.0444
129,1.2,10,1.25,10.0,0.0,1.62,-1.0444
129,1.25,10,,,,1.62,-1.0444
130,0.25,1,0.5,1.0,0.0,1.01,-1.0444
130,0.5,1,0.6,2.0,1.0,1.01,-1.0444
130,0.6,2,0.7,2.0,0.0,1.01,-1.0444
130,0.7,2,0.75,2.0,0.0,1.01,-1.0444
130,0.75,2,0.8,2.0,0.0,1.01,-1.0444
130,0.8,2,0.9,2.0,0.0,1.01,-1.0444
130,0.9,2,1.0,3.0,1.0,1.01,-1.0444
130,1.0,3,,,,0.74,-1.0444
131,0.25,1,0.5,2.0,1.0,0.26,1.7056
131,0.5,2,0.6,3.0,1.0,0.26,1.7056
131,0.6,3,0.7,3.0,0.0,0.26,1.7056
131,0.7,3,0.75,3.0,0.0,0.26,1.7056
131,0.75,3,,,,0.26,1.7056
132,0.25,2,0.5,3.0,1.0,1.52,-1.0444
132,0.5,3,0.6,3.0,0.0,1.52,-1.0444
132,0.6,3,0.7,3.0,0.0,1.52,-1.0444
132,0.7,3,0.75,3.0,0.0,1.52,-1.0444
132,0.75,3,0.8,3.0,0.0,1.52,-1.0444
132,0.8,3,0.9,4.0,1.0,1.52,-1.0444
132,0.9,4,1.0,4.0,0.0,1.52,-1.0444
132,1.0,4,1.1,8.0,4.0,1.52,-1.0444
132,1.1,8,1.2,8.0,0.0,1.52,-1.0444
132,1.2,8,1.25,8.0,0.0,1.52,-1.0444
132,1.25,8,,,,1.52,-1.0444
133,0.25,1,0.5,4.0,3.0,1.67,-1.0444
133,0.5,4,0.6,4.0,0.0,1.67,-1.0444
133,0.6,4,0.7,4.0,0.0,1.67,-1.0444
133,0.7,4,0.75,4.0,0.0,1.67,-1.0444
133,0.75,4,0.8,4.0,0.0,1.67,-1.0444
133,0.8,4,0.9,4.0,0.0,1.67,-1.0444
133,0.9,4,1.0,4.0,0.0,1.67,-1.0444
133,1.0,4,1.1,4.0,0.0,1.67,-1.0444
133,1.1,4,1.2,4.0,0.0,1.67,-1.0444
133,1.2,4,1.25,4.0,0.0,1.67,-1.0444
133,1.25,4,,,,1.67,-1.0444
134,0.25,1,0.5,2.0,1.0,1.16,-1.0444
134,0.5,2,0.6,3.0,1.0,1.16,-1.0444
134,0.6,3,0.7,4.0,1.0,1.16,-1.0444
134,0.7,4,0.75,5.0,1.0,1.16,-1.0444
134,0.75,5,0.8,5.0,0.0,1.16,-1.0444
134,0.8,5,0.9,5.0,0.0,1.16,-1.0444
134,0.9,5,1.0,5.0,0.0,1.16,-1.0444
134,1.0,5,1.1,5.0,0.0,1.16,-1.0444
134,1.1,5,1.2,6.0,1.0,1.16,-1.0444
134,1.2,6,1.25,6.0,0.0,1.16,-1.0444
134,1.25,6,,,,1.16,-1.0444
135,0.25,1,0.5,2.0,1.0,0.96,-1.0444
135,0.5,2,0.6,2.0,0.0,0.96,-1.0444
135,0.6,2,0.7,4.0,2.0,0.96,-1.0444
135,0.7,4,0.75,4.0,0.0,0.96,-1.0444
135,0.75,4,0.8,4.0,0.0,0.96,-1.0444
135,0.8,4,0.9,5.0,1.0,0.96,-1.0444
135,0.9,5,1.0,10.0,5.0,0.96,-1.0444
135,1.0,10,1.1,10.0,0.0,0.96,-1.0444
135,1.1,10,1.2,13.0,3.0,0.96,-1.0444
135,1.2,13,,,,0.87,-1.0444
136,0.25,6,0.5,7.0,1.0,1.73,-1.0444
136,0.5,7,0.6,7.0,0.0,1.73,-1.0444
136,0.6,7,0.7,7.0,0.0,1.73,-1.0444
136,0.7,7,0.75,7.0,0.0,1.73,-1.0444
136,0.75,7,0.8,7.0,0.0,1.73,-1.0444
136,0.8,7,0.9,7.0,0.0,1.73,-1.0444
136,0.9,7,1.0,7.0,0.0,1.73,-1.0444
136,1.0,7,1.1,7.0,0.0,1.73,-1.0444
136,1.1,7,1.2,7.0,0.0,1.73,-1.0444
136,1.2,7,1.25,7.0,0.0,1.73,-1.0444
136,1.25,7,,,,1.73,-1.0444
137,0.25,1,0.5,4.0,3.0,1.56,-1.0444
137,0.5,4,0.6,4.0,0.0,1.56,-1.0444
137,0.6,4,0.7,5.0,1.0,1.56,-1.0444
137,0.7,5,0.75,5.0,0.0,1.56,-1.0444
137,0.75,5,0.8,5.0,0.0,1.56,-1.0444
137,0.8,5,0.9,5.0,0.0,1.56,-1.0444
137,0.9,5,1.0,5.0,0.0,1.56,-1.0444
137,1.0,5,1.1,6.0,1.0,1.56,-1.0444
137,1.1,6,1.2,6.0,0.0,1.56,-1.0444
137,1.2,6,1.25,6.0,0.0,1.56,-1.0444
137,1.25,6,,,,1.56,-1.0444
138,0.25,1,0.5,6.0,5.0,0.69,-1.0444
138,0.5,6,0.6,6.0,0.0,0.69,-1.0444
138,0.6,6,0.7,7.0,1.0,0.69,-1.0444
138,0.7,7,0.75,7.0,0.0,0.42,-1.0444
138,0.75,7,0.8,7.0,0.0,0.42,-1.0444
138,0.8,7,0.9,7.0,0.0,0.42,-1.0444
138,0.9,7,1.0,7.0,0.0,0.42,-1.0444
138,1.0,7,,,,0.42,-1.0444
139,0.25,2,0.5,2.0,0.0,0.77,-0.8144
139,0.5,2,0.6,2.0,0.0,0.77,-0.8144
139,0.6,2,0.7,4.0,2.0,0.77,-0.8144
139,0.7,4,0.75,4.0,0.0,0.77,-0.8144
139,0.75,4,0.8,4.0,0.0,0.77,-0.8144
139,0.8,4,0.9,4.0,0.0,0.77,-0.8144
139,0.9,4,,,,0.77,-0.8144
140,0.25,4,0.5,4.0,0.0,2.22,-1.0444
